C,Date
294.00933837890625,2004-07-13
292.7112121582031,2004-07-14
286.9349060058594,2004-07-15
283.1055908203125,2004-07-16
285.5072021484375,2004-07-19
285.8964538574219,2004-07-20
285.1824951171875,2004-07-21
289.46612548828125,2004-07-22
287.5838928222656,2004-07-23
284.3387756347656,2004-07-26
284.92291259765625,2004-07-27
286.285888671875,2004-07-28
290.0191650390625,2004-07-29
288.7746887207031,2004-07-30
290.2811584472656,2004-08-02
288.447265625,2004-08-03
290.80517578125,2004-08-04
287.0717468261719,2004-08-05
282.8800048828125,2004-08-06
284.7138366699219,2004-08-09
289.36419677734375,2004-08-10
290.47760009765625,2004-08-11
287.5303039550781,2004-08-12
288.2508239746094,2004-08-13
293.2286071777344,2004-08-16
295.7828674316406,2004-08-17
298.92681884765625,2004-08-18
297.7478332519531,2004-08-19
300.9571533203125,2004-08-20
300.10577392578125,2004-08-23
300.76055908203125,2004-08-24
303.2495422363281,2004-08-25
304.2975158691406,2004-08-26
306.00042724609375,2004-08-27
303.9700012207031,2004-08-30
305.0833740234375,2004-08-31
304.23193359375,2004-09-01
307.96533203125,2004-09-02
306.7862854003906,2004-09-03
309.209716796875,2004-09-07
306.6553649902344,2004-09-08
307.5067138671875,2004-09-09
309.4062194824219,2004-09-10
307.8341979980469,2004-09-13
309.07867431640625,2004-09-14
307.7032775878906,2004-09-15
309.0132141113281,2004-09-16
307.5067138671875,2004-09-17
297.3548583984375,2004-09-20
298.99224853515625,2004-09-21
290.6741943359375,2004-09-22
287.3993225097656,2004-09-23
289.1678161621094,2004-09-24
285.6308288574219,2004-09-27
290.2156677246094,2004-09-28
292.7700500488281,2004-09-29
288.97125244140625,2004-09-30
293.8835144042969,2004-10-01
292.9665222167969,2004-10-04
291.59112548828125,2004-10-05
293.0320129394531,2004-10-06
293.1629943847656,2004-10-07
291.8530578613281,2004-10-08
293.8179931640625,2004-10-11
293.42498779296875,2004-10-12
288.9057922363281,2004-10-13
286.2203674316406,2004-10-14
287.7923278808594,2004-10-15
289.6261901855469,2004-10-18
285.4998779296875,2004-10-19
283.5351257324219,2004-10-20
281.3082580566406,2004-10-21
278.7537536621094,2004-10-22
278.88470458984375,2004-10-25
283.862548828125,2004-10-26
287.8577880859375,2004-10-27
292.5508117675781,2004-10-28
293.27789306640625,2004-10-29
292.8813781738281,2004-11-01
296.78106689453125,2004-11-02
299.3589172363281,2004-11-03
304.64666748046875,2004-11-04
304.9111633300781,2004-11-05
305.7043762207031,2004-11-08
305.4399719238281,2004-11-09
304.38238525390625,2004-11-10
305.7705078125,2004-11-11
311.1243896484375,2004-11-12
308.4803771972656,2004-11-15
304.38238525390625,2004-11-16
305.2415771484375,2004-11-17
303.45697021484375,2004-11-18
298.4335021972656,2004-11-19
298.56573486328125,2004-11-22
298.8301696777344,2004-11-23
300.8791809082031,2004-11-24
300.2181396484375,2004-11-26
297.17767333984375,2004-11-29
295.7895812988281,2004-11-30
303.6553039550781,2004-12-01
302.46551513671875,2004-12-02
301.7384033203125,2004-12-03
305.1755065917969,2004-12-06
304.0518493652344,2004-12-07
305.96875,2004-12-08
306.9601745605469,2004-12-09
303.45697021484375,2004-12-10
309.1413269042969,2004-12-13
309.8023681640625,2004-12-14
312.7106628417969,2004-12-15
310.9921875,2004-12-16
308.14996337890625,2004-12-17
308.61260986328125,2004-12-20
311.9175720214844,2004-12-21
319.320556640625,2004-12-22
322.2288513183594,2004-12-23
319.320556640625,2004-12-27
319.58502197265625,2004-12-28
317.3376159667969,2004-12-29
317.4698181152344,2004-12-30
318.4613037109375,2004-12-31
319.0562744140625,2005-01-03
316.3461608886719,2005-01-04
320.3120422363281,2005-01-05
323.4186706542969,2005-01-06
321.5679016113281,2005-01-07
319.5189514160156,2005-01-10
318.7256774902344,2005-01-11
317.7342529296875,2005-01-12
314.62762451171875,2005-01-13
314.0327453613281,2005-01-14
318.39508056640625,2005-01-18
317.535888671875,2005-01-19
315.751220703125,2005-01-20
316.808837890625,2005-01-21
319.651123046875,2005-01-24
320.6424560546875,2005-01-25
320.44415283203125,2005-01-26
320.9729309082031,2005-01-27
319.783203125,2005-01-28
324.21173095703125,2005-01-31
327.0541076660156,2005-02-01
328.3759460449219,2005-02-02
327.77581787109375,2005-02-03
331.977294921875,2005-02-04
331.6437072753906,2005-02-07
329.9764404296875,2005-02-08
327.97589111328125,2005-02-09
326.6420593261719,2005-02-10
329.4429931640625,2005-02-11
328.44281005859375,2005-02-14
329.4429931640625,2005-02-15
327.97589111328125,2005-02-16
325.4416198730469,2005-02-17
323.9078674316406,2005-02-18
319.7730407714844,2005-02-22
322.6407165527344,2005-02-23
322.1072082519531,2005-02-24
321.9737548828125,2005-02-25
318.2392578125,2005-02-28
319.3063659667969,2005-03-01
320.9735412597656,2005-03-02
319.90655517578125,2005-03-03
322.7740478515625,2005-03-04
323.2410583496094,2005-03-07
323.2410583496094,2005-03-08
319.3063659667969,2005-03-09
321.1069641113281,2005-03-10
318.7061462402344,2005-03-11
321.5738220214844,2005-03-14
318.7727966308594,2005-03-15
315.9051818847656,2005-03-16
315.0382995605469,2005-03-17
312.43743896484375,2005-03-18
305.16815185546875,2005-03-21
296.3653259277344,2005-03-22
296.4320373535156,2005-03-23
296.8988037109375,2005-03-24
298.5660400390625,2005-03-28
295.7652282714844,2005-03-29
299.5663757324219,2005-03-30
299.6997375488281,2005-03-31
297.5657043457031,2005-04-01
297.3657531738281,2005-04-04
299.6997375488281,2005-04-05
301.1003112792969,2005-04-06
303.1676330566406,2005-04-07
302.76739501953125,2005-04-08
304.1679382324219,2005-04-11
309.7698669433594,2005-04-12
305.501708984375,2005-04-13
302.76739501953125,2005-04-14
305.1015319824219,2005-04-15
308.1693115234375,2005-04-18
309.1029357910156,2005-04-19
307.6357727050781,2005-04-20
308.5694274902344,2005-04-21
308.90289306640625,2005-04-22
311.97052001953125,2005-04-25
310.90350341796875,2005-04-26
313.7711486816406,2005-04-27
310.94378662109375,2005-04-28
316.12738037109375,2005-04-29
313.232666015625,2005-05-02
315.05023193359375,2005-05-03
316.194580078125,2005-05-04
315.588623046875,2005-05-05
313.6365051269531,2005-05-06
315.3868103027344,2005-05-09
312.2227783203125,2005-05-10
314.376953125,2005-05-11
312.4246826171875,2005-05-12
309.0588073730469,2005-05-13
315.05023193359375,2005-05-16
317.4736633300781,2005-05-17
321.37811279296875,2005-05-18
322.05133056640625,2005-05-19
321.78204345703125,2005-05-20
320.43572998046875,2005-05-23
321.1761474609375,2005-05-24
319.4258728027344,2005-05-25
318.95465087890625,2005-05-26
318.28143310546875,2005-05-27
317.1369934082031,2005-05-31
321.2434387207031,2005-06-01
321.1761474609375,2005-06-02
320.1663513183594,2005-06-03
321.04144287109375,2005-06-06
320.8395690917969,2005-06-07
321.4454345703125,2005-06-08
320.9742431640625,2005-06-09
320.7049865722656,2005-06-10
320.43572998046875,2005-06-13
319.1566467285156,2005-06-14
319.08935546875,2005-06-15
320.0317687988281,2005-06-16
319.4931640625,2005-06-17
318.8873291015625,2005-06-20
318.5507507324219,2005-06-21
319.3585205078125,2005-06-22
315.588623046875,2005-06-23
316.0600280761719,2005-06-24
314.84808349609375,2005-06-27
316.53118896484375,2005-06-28
314.91558837890625,2005-06-29
311.21307373046875,2005-06-30
310.7418212890625,2005-07-01
312.7613525390625,2005-07-05
311.6842346191406,2005-07-06
311.4823303222656,2005-07-07
313.0979919433594,2005-07-08
310.405029296875,2005-07-11
309.66455078125,2005-07-12
307.9143981933594,2005-07-13
313.0306701660156,2005-07-14
312.49212646484375,2005-07-15
302.9329833984375,2005-07-18
298.89373779296875,2005-07-19
297.6147155761719,2005-07-20
297.2109069824219,2005-07-21
299.0284729003906,2005-07-22
299.7688903808594,2005-07-25
300.24017333984375,2005-07-26
298.82635498046875,2005-07-27
