PCG,Date
1.6330244541168213,1982-01-05
1.6330244541168213,1982-01-06
1.6231857538223267,1982-01-07
1.6428613662719727,1982-01-08
1.6231857538223267,1982-01-11
1.6133495569229126,1982-01-12
1.6231857538223267,1982-01-13
1.6133495569229126,1982-01-14
1.6035116910934448,1982-01-15
1.6133495569229126,1982-01-18
1.6035116910934448,1982-01-19
1.6035116910934448,1982-01-20
1.6133495569229126,1982-01-21
1.6133495569229126,1982-01-22
1.6231857538223267,1982-01-25
1.6428613662719727,1982-01-26
1.6330244541168213,1982-01-27
1.6625362634658813,1982-01-28
1.6920499801635742,1982-01-29
1.6822112798690796,1982-02-01
1.7018861770629883,1982-02-02
1.7018861770629883,1982-02-03
1.7117242813110352,1982-02-04
1.7215614318847656,1982-02-05
1.7018861770629883,1982-02-08
1.6920499801635742,1982-02-09
1.7018861770629883,1982-02-10
1.6822112798690796,1982-02-11
1.6723731756210327,1982-02-12
1.6625362634658813,1982-02-16
1.6526986360549927,1982-02-17
1.6526986360549927,1982-02-18
1.6920499801635742,1982-02-19
1.7215614318847656,1982-02-22
1.731398344039917,1982-02-23
1.731398344039917,1982-02-24
1.7609118223190308,1982-02-25
1.7707490921020508,1982-02-26
1.7707490921020508,1982-03-01
1.780585765838623,1982-03-02
1.7707490921020508,1982-03-03
1.731398344039917,1982-03-04
1.731398344039917,1982-03-05
1.780585765838623,1982-03-08
1.7749059200286865,1982-03-09
1.7749059200286865,1982-03-10
1.7343372106552124,1982-03-11
1.724194884300232,1982-03-12
1.724194884300232,1982-03-15
1.7343372106552124,1982-03-16
1.7343372106552124,1982-03-17
1.7546217441558838,1982-03-18
1.7546217441558838,1982-03-19
1.7749059200286865,1982-03-22
1.7749059200286865,1982-03-23
1.7749059200286865,1982-03-24
1.7749059200286865,1982-03-25
1.7647645473480225,1982-03-26
1.7647645473480225,1982-03-29
1.7546217441558838,1982-03-30
1.7647645473480225,1982-03-31
1.7546217441558838,1982-04-01
1.7647645473480225,1982-04-02
1.7546217441558838,1982-04-05
1.7647645473480225,1982-04-06
1.7850499153137207,1982-04-07
1.7850499153137207,1982-04-08
1.8053326606750488,1982-04-12
1.8154759407043457,1982-04-13
1.8154759407043457,1982-04-14
1.8053326606750488,1982-04-15
1.7951918840408325,1982-04-16
1.7951918840408325,1982-04-19
1.7850499153137207,1982-04-20
1.8154759407043457,1982-04-21
1.8357597589492798,1982-04-22
1.8661879301071167,1982-04-23
1.8864719867706299,1982-04-26
1.8560446500778198,1982-04-27
1.8560446500778198,1982-04-28
1.8661879301071167,1982-04-29
1.8864719867706299,1982-04-30
1.8966151475906372,1982-05-03
1.9270415306091309,1982-05-04
1.9270415306091309,1982-05-05
1.9473263025283813,1982-05-06
1.9270415306091309,1982-05-07
1.916899561882019,1982-05-10
1.9371845722198486,1982-05-11
1.916899561882019,1982-05-12
1.90675687789917,1982-05-13
1.916899561882019,1982-05-14
1.90675687789917,1982-05-17
1.8966151475906372,1982-05-18
1.90675687789917,1982-05-19
1.9473263025283813,1982-05-20
1.9777538776397705,1982-05-21
1.9980381727218628,1982-05-24
2.018322706222534,1982-05-25
1.9980381727218628,1982-05-26
1.9878958463668823,1982-05-27
1.9777538776397705,1982-05-28
1.9980381727218628,1982-06-01
1.9878958463668823,1982-06-02
1.9777538776397705,1982-06-03
1.9878958463668823,1982-06-04
1.9878958463668823,1982-06-07
1.9777538776397705,1982-06-08
1.967288851737976,1982-06-09
1.9463603496551514,1982-06-10
1.967288851737976,1982-06-11
1.967288851737976,1982-06-14
1.967288851737976,1982-06-15
1.9777534008026123,1982-06-16
1.9568244218826294,1982-06-17
1.9568244218826294,1982-06-18
1.967288851737976,1982-06-21
1.9568244218826294,1982-06-22
1.9358958005905151,1982-06-23
1.9463603496551514,1982-06-24
1.9254313707351685,1982-06-25
1.9568244218826294,1982-06-28
1.967288851737976,1982-06-29
1.9882173538208008,1982-06-30
1.9777534008026123,1982-07-01
1.9568244218826294,1982-07-02
1.9463603496551514,1982-07-06
1.9568244218826294,1982-07-07
1.967288851737976,1982-07-08
1.9882173538208008,1982-07-09
2.0196094512939453,1982-07-12
2.009145975112915,1982-07-13
1.9986817836761475,1982-07-14
1.9986817836761475,1982-07-15
2.0196094512939453,1982-07-16
2.0196094512939453,1982-07-19
2.0196094512939453,1982-07-20
2.009145975112915,1982-07-21
2.0196094512939453,1982-07-22
2.0196094512939453,1982-07-23
2.0196094512939453,1982-07-26
1.9358958005905151,1982-07-27
1.9254313707351685,1982-07-28
1.9358958005905151,1982-07-29
1.9463603496551514,1982-07-30
1.9986817836761475,1982-08-02
1.9986817836761475,1982-08-03
1.9986817836761475,1982-08-04
1.9568244218826294,1982-08-05
1.967288851737976,1982-08-06
1.9463603496551514,1982-08-09
1.9568244218826294,1982-08-10
1.9986817836761475,1982-08-11
1.9986817836761475,1982-08-12
2.0510032176971436,1982-08-13
2.0614676475524902,1982-08-16
2.1765754222869873,1982-08-17
2.1137893199920654,1982-08-18
2.145181179046631,1982-08-19
2.260288953781128,1982-08-20
2.249826192855835,1982-08-23
2.2393603324890137,1982-08-24
2.260288953781128,1982-08-25
2.260288953781128,1982-08-26
2.228896141052246,1982-08-27
2.218432664871216,1982-08-30
2.228896141052246,1982-08-31
2.228896141052246,1982-09-01
2.260288953781128,1982-09-02
2.302147388458252,1982-09-03
2.2707533836364746,1982-09-07
2.260288953781128,1982-09-08
2.238762140274048,1982-09-09
2.217235565185547,1982-09-10
2.2602896690368652,1982-09-13
2.2925777435302734,1982-09-14
2.3141067028045654,1982-09-15
2.3356330394744873,1982-09-16
2.3248679637908936,1982-09-17
2.3141067028045654,1982-09-20
2.3248679637908936,1982-09-21
2.3463966846466064,1982-09-22
2.3571581840515137,1982-09-23
2.3356330394744873,1982-09-24
2.3356330394744873,1982-09-27
2.3356330394744873,1982-09-28
2.3356330394744873,1982-09-29
2.3356330394744873,1982-09-30
2.3356330394744873,1982-10-01
