GM,Date
36.83672332763672,2019-04-08
36.648109436035156,2019-04-09
37.01590347290039,2019-04-10
37.09135818481445,2019-04-11
37.44972610473633,2019-04-12
37.31768798828125,2019-04-15
37.40256881713867,2019-04-16
37.71378707885742,2019-04-17
38.006141662597656,2019-04-18
37.25167465209961,2019-04-22
37.56290054321289,2019-04-23
37.45915603637695,2019-04-24
36.883880615234375,2019-04-25
37.42142868041992,2019-04-26
37.732643127441406,2019-04-29
36.73298645019531,2019-04-30
36.54436492919922,2019-05-01
36.072818756103516,2019-05-02
36.59151840209961,2019-05-03
35.92193603515625,2019-05-06
36.33688735961914,2019-05-07
36.03510284423828,2019-05-08
35.44095993041992,2019-05-09
35.733314514160156,2019-05-10
34.47901916503906,2019-05-13
34.93170166015625,2019-05-14
35.24291229248047,2019-05-15
35.25234603881836,2019-05-16
34.893978118896484,2019-05-17
34.86568832397461,2019-05-20
35.01658630371094,2019-05-21
33.52650833129883,2019-05-22
33.13041687011719,2019-05-23
33.1209831237793,2019-05-24
32.86634826660156,2019-05-28
32.80976867675781,2019-05-29
32.83805847167969,2019-05-30
31.442298889160156,2019-05-31
31.78181266784668,2019-06-03
33.69625473022461,2019-06-04
33.80000305175781,2019-06-05
33.542640686035156,2019-06-06
33.828590393066406,2019-06-07
34.324256896972656,2019-06-10
34.50536346435547,2019-06-11
34.00017166137695,2019-06-12
34.33378219604492,2019-06-13
33.99064254760742,2019-06-14
34.44816970825195,2019-06-17
34.98194885253906,2019-06-18
35.05820083618164,2019-06-19
35.22978973388672,2019-06-20
35.1916618347168,2019-06-21
35.22978973388672,2019-06-24
35.916072845458984,2019-06-25
36.345008850097656,2019-06-26
36.52611541748047,2019-06-27
36.726280212402344,2019-06-28
36.93599319458008,2019-07-01
36.54518127441406,2019-07-02
36.37360382080078,2019-07-03
36.69768524169922,2019-07-05
36.44032669067383,2019-07-08
36.29735565185547,2019-07-09
36.3164176940918,2019-07-10
36.63096237182617,2019-07-11
37.37445068359375,2019-07-12
37.517425537109375,2019-07-15
37.58414840698242,2019-07-16
37.32678985595703,2019-07-17
37.28866958618164,2019-07-18
37.631813049316406,2019-07-19
37.99402618408203,2019-07-22
38.80423355102539,2019-07-23
38.966278076171875,2019-07-24
38.84236145019531,2019-07-25
38.861427307128906,2019-07-26
38.775634765625,2019-07-29
38.53733444213867,2019-07-30
38.4515495300293,2019-07-31
38.27044677734375,2019-08-01
37.91776657104492,2019-08-02
37.18381118774414,2019-08-05
37.25054168701172,2019-08-06
37.54602813720703,2019-08-07
38.22278594970703,2019-08-08
37.75571823120117,2019-08-09
37.040836334228516,2019-08-12
37.18381118774414,2019-08-13
35.449012756347656,2019-08-14
34.76271438598633,2019-08-15
35.267913818359375,2019-08-16
35.61105728149414,2019-08-19
35.22978973388672,2019-08-20
35.382293701171875,2019-08-21
35.51573944091797,2019-08-22
34.37191390991211,2019-08-23
34.55302047729492,2019-08-26
34.209869384765625,2019-08-27
34.7341194152832,2019-08-28
35.18212127685547,2019-08-29
35.353694915771484,2019-08-30
35.18212127685547,2019-09-03
36.44986343383789,2019-09-04
37.28746032714844,2019-09-05
37.335594177246094,2019-09-06
38.105796813964844,2019-09-09
38.105796813964844,2019-09-10
37.99026870727539,2019-09-11
37.61479187011719,2019-09-12
37.41261672973633,2019-09-13
35.82406997680664,2019-09-16
36.86384201049805,2019-09-17
36.757938385009766,2019-09-18
36.372833251953125,2019-09-19
35.97810745239258,2019-09-20
35.85295486450195,2019-09-23
35.40045928955078,2019-09-24
35.72779083251953,2019-09-25
36.20917510986328,2019-09-26
36.026248931884766,2019-09-27
36.08401107788086,2019-09-30
34.765045166015625,2019-10-01
33.388301849365234,2019-10-02
33.6771240234375,2019-10-03
33.6097297668457,2019-10-04
33.4556884765625,2019-10-07
32.618099212646484,2019-10-08
32.8684196472168,2019-10-09
33.36904525756836,2019-10-10
34.245155334472656,2019-10-11
34.177764892578125,2019-10-14
34.90945816040039,2019-10-15
35.28493118286133,2019-10-16
34.84206008911133,2019-10-17
34.82280349731445,2019-10-18
34.59174346923828,2019-10-21
34.95759201049805,2019-10-22
35.24641799926758,2019-10-23
34.485836029052734,2019-10-24
35.37157440185547,2019-10-25
35.275299072265625,2019-10-28
36.78682327270508,2019-10-29
36.49800109863281,2019-10-30
35.77593231201172,2019-10-31
36.55576705932617,2019-11-01
36.960121154785156,2019-11-04
36.80607604980469,2019-11-05
36.9890022277832,2019-11-06
37.056392669677734,2019-11-07
37.22968673706055,2019-11-08
37.27783203125,2019-11-11
37.15266418457031,2019-11-12
35.804813385009766,2019-11-13
35.42933654785156,2019-11-14
35.51598358154297,2019-11-15
35.256046295166016,2019-11-18
35.024986267089844,2019-11-19
33.96595764160156,2019-11-20
33.3786735534668,2019-11-21
34.014095306396484,2019-11-22
34.47621536254883,2019-11-25
34.572486877441406,2019-11-26
34.793922424316406,2019-11-27
34.65913772583008,2019-11-29
34.54361343383789,2019-12-02
34.206642150878906,2019-12-03
34.46657943725586,2019-12-04
34.35954666137695,2019-12-05
34.5833625793457,2019-12-06
34.42766571044922,2019-12-09
34.16493225097656,2019-12-10
34.29143142700195,2019-12-11
35.12828063964844,2019-12-12
34.69039535522461,2019-12-13
35.13801956176758,2019-12-16
35.33263397216797,2019-12-17
36.30571365356445,2019-12-18
36.25706481933594,2019-12-19
36.24732971191406,2019-12-20
35.780250549316406,2019-12-23
35.595367431640625,2019-12-24
35.4980583190918,2019-12-26
35.57590103149414,2019-12-27
35.459129333496094,2019-12-30
35.61482238769531,2019-12-31
36.37382888793945,2020-01-02
35.34236526489258,2020-01-03
34.87527847290039,2020-01-06
34.203853607177734,2020-01-07
33.717315673828125,2020-01-08
34.135738372802734,2020-01-09
33.717315673828125,2020-01-10
34.03842544555664,2020-01-13
34.203853607177734,2020-01-14
34.203853607177734,2020-01-15
34.59308624267578,2020-01-16
34.64174270629883,2020-01-17
34.048160552978516,2020-01-21
33.97031021118164,2020-01-22
33.94112777709961,2020-01-23
33.38646697998047,2020-01-24
32.51069641113281,2020-01-27
32.7344970703125,2020-01-28
32.69557189941406,2020-01-29
32.43284606933594,2020-01-30
32.49123001098633,2020-01-31
32.812347412109375,2020-02-03
33.444847106933594,2020-02-04
34.08708190917969,2020-02-05
33.40592575073242,2020-02-06
32.724769592285156,2020-02-07
33.32808303833008,2020-02-10
34.06761932373047,2020-02-11
34.534698486328125,2020-02-12
34.340087890625,2020-02-13
33.82434844970703,2020-02-14
33.48377227783203,2020-02-18
33.98004150390625,2020-02-19
34.340087890625,2020-02-20
33.717315673828125,2020-02-21
32.19930648803711,2020-02-24
30.895374298095703,2020-02-25
31.138643264770508,2020-02-26
29.88336944580078,2020-02-27
29.67902183532715,2020-02-28
30.574256896972656,2020-03-02
29.698482513427734,2020-03-03
30.681293487548828,2020-03-04
29.647092819213867,2020-03-05
28.258310317993164,2020-03-06
24.318496704101562,2020-03-09
26.711933135986328,2020-03-10
25.60878562927246,2020-03-11
22.69332504272461,2020-03-12
24.33819580078125,2020-03-13
20.68402099609375,2020-03-16
20.014251708984375,2020-03-17
16.547212600708008,2020-03-18
17.443519592285156,2020-03-19
17.86705207824707,2020-03-20
17.33517837524414,2020-03-23
20.79236602783203,2020-03-24
21.16664695739746,2020-03-25
22.220544815063477,2020-03-26
21.05830192565918,2020-03-27
20.999202728271484,2020-03-30
20.46733283996582,2020-03-31
18.970199584960938,2020-04-01
17.916297912597656,2020-04-02
17.768558502197266,2020-04-03
19.255834579467773,2020-04-06
20.97950553894043,2020-04-07
22.78196907043457,2020-04-08
23.697975158691406,2020-04-09
22.663774490356445,2020-04-13
22.634225845336914,2020-04-14
21.334089279174805,2020-04-15
20.55597686767578,2020-04-16
22.141752243041992,2020-04-17
22.043254852294922,2020-04-20
20.920406341552734,2020-04-21
20.97950553894043,2020-04-22
21.196195602416992,2020-04-23
21.619728088378906,2020-04-24
22.112201690673828,2020-04-27
21.84626579284668,2020-04-28
23.422191619873047,2020-04-29
21.954608917236328,2020-04-30
20.58552360534668,2020-05-01
20.437780380249023,2020-05-04
20.940107345581055,2020-05-05
21.560625076293945,2020-05-06
22.10235023498535,2020-05-07
23.56993293762207,2020-05-08
22.456932067871094,2020-05-11
22.220544815063477,2020-05-12
21.137100219726562,2020-05-13
21.974308013916016,2020-05-14
22.28948974609375,2020-05-15
24.436691284179688,2020-05-18
24.318496704101562,2020-05-19
25.09661102294922,2020-05-20
25.41179656982422,2020-05-21
25.589086532592773,2020-05-22
26.987720489501953,2020-05-26
27.37185287475586,2020-05-27
26.27855682373047,2020-05-28
25.49059295654297,2020-05-29
26.53464126586914,2020-06-01
26.997570037841797,2020-06-02
28.632591247558594,2020-06-03
28.72123908996582,2020-06-04
30.14942169189453,2020-06-05
30.218364715576172,2020-06-08
29.41070556640625,2020-06-09
28.317407608032227,2020-06-10
26.10126304626465,2020-06-11
27.539295196533203,2020-06-12
27.352153778076172,2020-06-15
27.36200523376465,2020-06-16
26.751333236694336,2020-06-17
26.682384490966797,2020-06-18
26.189908981323242,2020-06-19
25.973222732543945,2020-06-22
25.855022430419922,2020-06-23
24.89961814880371,2020-06-24
24.850370407104492,2020-06-25
24.091957092285156,2020-06-26
24.9193172454834,2020-06-29
24.9193172454834,2020-06-30
24.584434509277344,2020-07-01
24.86022186279297,2020-07-02
25.34284782409668,2020-07-06
24.751876831054688,2020-07-07
24.56473731994629,2020-07-08
23.067604064941406,2020-07-09
24.023008346557617,2020-07-10
24.485937118530273,2020-07-13
25.25420379638672,2020-07-14
26.475543975830078,2020-07-15
26.445999145507812,2020-07-16
26.052013397216797,2020-07-17
25.618637084960938,2020-07-20
25.756528854370117,2020-07-21
25.90427017211914,2020-07-22
26.35734748840332,2020-07-23
25.855022430419922,2020-07-24
25.31330108642578,2020-07-27
25.933820724487305,2020-07-28
25.500442504882812,2020-07-29
24.820825576782227,2020-07-30
24.515485763549805,2020-07-31
25.25420379638672,2020-08-03
25.41179656982422,2020-08-04
25.933820724487305,2020-08-05
26.21945571899414,2020-08-06
26.317951202392578,2020-08-07
27.55899429321289,2020-08-10
28.09086799621582,2020-08-11
27.608240127563477,2020-08-12
27.13546371459961,2020-08-13
27.440797805786133,2020-08-14
29.558448791503906,2020-08-17
29.391006469726562,2020-08-18
28.78033447265625,2020-08-19
28.396203994750977,2020-08-20
28.130264282226562,2020-08-21
29.85393524169922,2020-08-24
29.243263244628906,2020-08-25
29.036422729492188,2020-08-26
29.243263244628906,2020-08-27
29.568300247192383,2020-08-28
29.18416404724121,2020-08-31
29.341758728027344,2020-09-01
30.49415397644043,2020-09-02
29.036422729492188,2020-09-03
29.54859733581543,2020-09-04
31.892791748046875,2020-09-08
31.469257354736328,2020-09-09
29.716039657592773,2020-09-10
30.00167465209961,2020-09-11
30.710844039916992,2020-09-14
31.104825973510742,2020-09-15
31.31166648864746,2020-09-16
31.43971061706543,2020-09-17
31.026029586791992,2020-09-18
29.54859733581543,2020-09-21
28.997024536132812,2020-09-22
28.898530960083008,2020-09-23
28.6719913482666,2020-09-24
28.563644409179688,2020-09-25
28.997024536132812,2020-09-28
28.30755615234375,2020-09-29
29.1447696685791,2020-09-30
29.922880172729492,2020-10-01
30.00167465209961,2020-10-02
30.49415397644043,2020-10-05
29.942581176757812,2020-10-06
31.144222259521484,2020-10-07
31.725341796875,2020-10-08
31.676097869873047,2020-10-09
31.725341796875,2020-10-12
31.390460968017578,2020-10-13
31.193471908569336,2020-10-14
32.09962844848633,2020-10-15
32.94668960571289,2020-10-16
32.84819030761719,2020-10-19
35.06433868408203,2020-10-20
35.231781005859375,2020-10-21
36.84710693359375,2020-10-22
36.27582931518555,2020-10-23
35.28102493286133,2020-10-26
34.36501693725586,2020-10-27
33.577056884765625,2020-10-28
34.36501693725586,2020-10-29
34.01043701171875,2020-10-30
34.03013610839844,2020-11-02
34.81809616088867,2020-11-03
34.709754943847656,2020-11-04
36.58116149902344,2020-11-05
36.90619659423828,2020-11-06
38.373775482177734,2020-11-09
40.461883544921875,2020-11-10
39.94970703125,2020-11-11
38.728363037109375,2020-11-12
40.570220947265625,2020-11-13
41.4960823059082,2020-11-16
41.34833908081055,2020-11-17
42.077205657958984,2020-11-18
42.17569351196289,2020-11-19
42.392391204833984,2020-11-20
44.09635925292969,2020-11-23
45.76093292236328,2020-11-24
44.77597427368164,2020-11-25
44.38199234008789,2020-11-27
43.18035125732422,2020-11-30
44.00770950317383,2020-12-01
43.909217834472656,2020-12-02
43.42658996582031,2020-12-03
43.73192596435547,2020-12-04
43.64328384399414,2020-12-07
43.14094924926758,2020-12-08
43.761478424072266,2020-12-09
42.224945068359375,2020-12-10
41.28923797607422,2020-12-11
40.99375534057617,2020-12-14
41.03315353393555,2020-12-15
40.7967643737793,2020-12-16
41.3975830078125,2020-12-17
40.39292526245117,2020-12-18
40.58992385864258,2020-12-21
40.28459167480469,2020-12-22
41.8112678527832,2020-12-23
40.95436096191406,2020-12-24
41.03315353393555,2020-12-28
40.94451141357422,2020-12-29
41.210445404052734,2020-12-30
41.01345443725586,2020-12-31
39.900455474853516,2021-01-04
41.03315353393555,2021-01-05
42.33329391479492,2021-01-06
42.66817855834961,2021-01-07
42.41209030151367,2021-01-08
44.3327522277832,2021-01-11
47.1004638671875,2021-01-12
47.99677276611328,2021-01-13
50.754638671875,2021-01-14
49.21812057495117,2021-01-15
54.01483917236328,2021-01-19
55.01948928833008,2021-01-20
54.25122833251953,2021-01-21
54.56641387939453,2021-01-22
52.5866584777832,2021-01-25
51.2569694519043,2021-01-26
48.59759521484375,2021-01-27
50.27201461791992,2021-01-28
