Date,TFCF
2015-02-02,32.46
2015-01-30,31.85
2015-01-29,32.57
2015-01-28,32.35
2015-01-27,32.98
2015-01-26,33.42
2015-01-23,33.24
2015-01-22,33.38
2015-01-21,32.65
2015-01-20,32.78
2015-01-16,33.59
2015-01-15,33.12
2015-01-14,33.3
2015-01-13,33.56
2015-01-12,33.81
2015-01-09,33.84
2015-01-08,34.12
2015-01-07,33.96
2015-01-06,35.27
2015-01-05,35.77
2015-01-02,36.52
2014-12-31,36.89
2014-12-30,37.18
2014-12-29,37.49
2014-12-26,37.32
2014-12-24,37.33
2014-12-23,37.3
2014-12-22,37.49
2014-12-19,37.05
2014-12-18,36.4
2014-12-17,35.8
2014-12-16,34.83
2014-12-15,35.16
2014-12-12,35.46
2014-12-11,35.75
2014-12-10,35.61
2014-12-09,35.76
2014-12-08,36.19
2014-12-05,36.52
2014-12-04,36.15
2014-12-03,35.67
2014-12-02,35.79
2014-12-01,35.72
2014-11-28,35.36
2014-11-26,34.86
2014-11-25,35.15
2014-11-24,34.45
2014-11-21,33.95
2014-11-20,33.8
2014-11-19,33.66
2014-11-18,33.77
2014-11-17,33.82
2014-11-14,33.71
2014-11-13,33.55
2014-11-12,33.19
2014-11-11,33.39
2014-11-10,33.29
2014-11-07,33.24
2014-11-06,33.93
2014-11-05,33.41
2014-11-04,31.99
2014-11-03,33.11
2014-10-31,33.17
2014-10-30,33.29
2014-10-29,33.11
2014-10-28,33.11
2014-10-27,32.65
2014-10-24,32.24
2014-10-23,32.38
2014-10-22,31.64
2014-10-21,32.54
2014-10-20,31.96
2014-10-17,31.64
2014-10-16,31.56
2014-10-15,30.87
2014-10-14,30.96
2014-10-13,30.71
2014-10-10,31.34
2014-10-09,32.2
2014-10-08,33.11
2014-10-07,32.69
2014-10-06,32.98
2014-10-03,33.03
2014-10-02,32.37
2014-10-01,32.86
2014-09-30,33.31
2014-09-29,33.25
2014-09-26,33.4
2014-09-25,32.77
2014-09-24,33.46
2014-09-23,33.2
2014-09-22,33.49
2014-09-19,34.13
2014-09-18,33.93
2014-09-17,33.61
2014-09-16,33.74
2014-09-15,33.92
2014-09-12,34.09
2014-09-11,34.26
2014-09-10,34.5
2014-09-09,34.66
2014-09-08,34.9
2014-09-05,35.11
2014-09-04,35.13
2014-09-03,35.28
2014-09-02,34.93
2014-08-29,34.44
2014-08-28,34.6
2014-08-27,34.83
2014-08-26,34.52
2014-08-25,34.55
2014-08-22,34.7
2014-08-21,34.65
2014-08-20,34.62
2014-08-19,34.73
2014-08-18,34.87
2014-08-15,34.72
2014-08-14,34.62
2014-08-13,34.24
2014-08-12,34.01
2014-08-11,33.68
2014-08-08,33.55
2014-08-07,33.08
2014-08-06,31.67
2014-08-05,31.03
2014-08-04,31.37
2014-08-01,31.87
2014-07-31,31.66
2014-07-30,31.97
2014-07-29,32.03
2014-07-28,32.25
2014-07-25,32.57
2014-07-24,32.57
2014-07-23,32.25
2014-07-22,32.72
2014-07-21,32.49
2014-07-18,32.76
2014-07-17,32.46
2014-07-16,32.57
2014-07-15,34.16
2014-07-14,34.42
2014-07-11,34.5
2014-07-10,34.62
2014-07-09,34.83
2014-07-08,34.1
2014-07-07,34.63
2014-07-03,35.14
2014-07-02,34.67
2014-07-01,34.33
2014-06-30,34.23
2014-06-27,34.34
2014-06-26,34.22
2014-06-25,34.08
2014-06-24,33.36
2014-06-23,33.53
2014-06-20,33.57
2014-06-19,34.2
2014-06-18,34.33
2014-06-17,34.39
2014-06-16,34.48
2014-06-13,34.39
2014-06-12,34.31
2014-06-11,35.02
2014-06-10,35.05
2014-06-09,35.36
2014-06-06,35.07
2014-06-05,35.1
2014-06-04,34.52
2014-06-03,34.41
2014-06-02,34.62
2014-05-30,34.46
2014-05-29,34.5
2014-05-28,34.16
2014-05-27,33.81
2014-05-23,34.04
2014-05-22,33.63
2014-05-21,33.72
2014-05-20,33.26
2014-05-19,33.28
2014-05-16,33.2
2014-05-15,33.26
2014-05-14,33.46
2014-05-13,34.07
2014-05-12,34.34
2014-05-09,33.45
2014-05-08,33.48
2014-05-07,31.4
2014-05-06,31.66
2014-05-05,32.0
2014-05-02,31.78
2014-05-01,31.69
2014-04-30,31.32
2014-04-29,31.29
2014-04-28,31.03
2014-04-25,31.78
2014-04-24,32.03
2014-04-23,31.9
2014-04-22,31.99
2014-04-21,31.7
2014-04-17,31.69
2014-04-16,31.32
2014-04-15,30.77
2014-04-14,31.09
2014-04-11,31.01
2014-04-10,31.54
2014-04-09,32.3
2014-04-08,31.65
2014-04-07,31.18
2014-04-04,32.19
2014-04-03,32.76
2014-04-02,32.52
2014-04-01,32.05
2014-03-31,31.12
2014-03-28,30.72
2014-03-27,30.97
2014-03-26,31.3
2014-03-25,31.64
2014-03-24,31.48
2014-03-21,31.83
2014-03-20,31.8
2014-03-19,32.0
2014-03-18,32.24
2014-03-17,31.8
2014-03-14,31.64
2014-03-13,31.45
2014-03-12,32.06
2014-03-11,32.28
2014-03-10,32.94
2014-03-07,33.14
2014-03-06,33.46
