HII,Date
117.38179016113281,2015-03-10
118.7322769165039,2015-03-11
120.21955108642578,2015-03-12
119.0912857055664,2015-03-13
119.1767349243164,2015-03-16
119.97166442871094,2015-03-17
120.9289779663086,2015-03-18
120.80077362060547,2015-03-19
122.28802490234375,2015-03-20
121.57003784179688,2015-03-23
121.57853698730469,2015-03-24
117.95443725585938,2015-03-25
118.21086883544922,2015-03-26
117.63819122314453,2015-03-27
121.29649353027344,2015-03-30
119.79216766357422,2015-03-31
120.20243835449219,2015-04-01
119.18531036376953,2015-04-02
120.84349822998047,2015-04-06
120.87765502929688,2015-04-07
120.3648452758789,2015-04-08
119.95455169677734,2015-04-09
121.37345123291016,2015-04-10
119.87764739990234,2015-04-13
118.80918884277344,2015-04-14
119.43319702148438,2015-04-15
120.14258575439453,2015-04-16
117.52708435058594,2015-04-17
118.09121704101562,2015-04-20
118.98870086669922,2015-04-21
119.45881652832031,2015-04-22
118.81775665283203,2015-04-23
119.28783416748047,2015-04-24
118.0570297241211,2015-04-27
117.28776550292969,2015-04-28
116.83475494384766,2015-04-29
112.47553253173828,2015-04-30
114.50128936767578,2015-05-01
115.95433807373047,2015-05-04
114.42437744140625,2015-05-05
114.30471801757812,2015-05-06
105.58633422851562,2015-05-07
101.50065612792969,2015-05-08
103.38109588623047,2015-05-11
103.14177703857422,2015-05-12
104.78289031982422,2015-05-13
106.11627960205078,2015-05-14
105.0478744506836,2015-05-15
105.56069946289062,2015-05-18
102.98792266845703,2015-05-19
104.38970947265625,2015-05-20
105.24444580078125,2015-05-21
105.01365661621094,2015-05-22
104.56066131591797,2015-05-26
106.25857543945312,2015-05-27
105.82984161376953,2015-05-28
106.32719421386719,2015-05-29
104.38916778564453,2015-06-01
104.56065368652344,2015-06-02
104.43201446533203,2015-06-03
102.3739013671875,2015-06-04
102.6225814819336,2015-06-05
101.97086334228516,2015-06-08
100.71026611328125,2015-06-09
101.8336410522461,2015-06-10
101.64498138427734,2015-06-11
