BDX,Date
15.777769088745117,1997-03-17
15.572869300842285,1997-03-18
15.654829978942871,1997-03-19
15.490904808044434,1997-03-20
15.449923515319824,1997-03-21
15.245013236999512,1997-03-24
15.245013236999512,1997-03-25
15.572869300842285,1997-03-26
15.163058280944824,1997-03-27
14.753241539001465,1997-03-31
14.630305290222168,1997-04-01
14.712265968322754,1997-04-02
14.548335075378418,1997-04-03
14.917169570922852,1997-04-04
15.163058280944824,1997-04-07
15.204031944274902,1997-04-08
14.958154678344727,1997-04-09
14.917169570922852,1997-04-10
14.220490455627441,1997-04-11
14.466367721557617,1997-04-14
14.630305290222168,1997-04-15
14.794219017028809,1997-04-16
14.712265968322754,1997-04-17
14.466367721557617,1997-04-18
14.548335075378418,1997-04-21
14.712265968322754,1997-04-22
15.326987266540527,1997-04-23
14.794219017028809,1997-04-24
14.589320182800293,1997-04-25
14.425394058227539,1997-04-28
14.835221290588379,1997-04-29
15.081084251403809,1997-04-30
14.712265968322754,1997-05-01
15.163058280944824,1997-05-02
15.695808410644531,1997-05-05
15.572869300842285,1997-05-06
15.572869300842285,1997-05-07
15.572869300842285,1997-05-08
15.613845825195312,1997-05-09
15.736801147460938,1997-05-12
15.900713920593262,1997-05-13
15.900713920593262,1997-05-14
16.18758201599121,1997-05-15
15.982678413391113,1997-05-16
15.982678413391113,1997-05-19
16.269554138183594,1997-05-20
15.941695213317871,1997-05-21
15.695808410644531,1997-05-22
16.269554138183594,1997-05-23
16.06464385986328,1997-05-27
15.941695213317871,1997-05-28
16.228565216064453,1997-05-29
16.14659309387207,1997-05-30
16.228565216064453,1997-06-02
16.269554138183594,1997-06-03
16.189023971557617,1997-06-04
15.983566284179688,1997-06-05
15.860299110412598,1997-06-06
15.695952415466309,1997-06-09
15.860299110412598,1997-06-10
16.558818817138672,1997-06-11
17.175151824951172,1997-06-12
17.175151824951172,1997-06-13
17.092973709106445,1997-06-16
17.216238021850586,1997-06-17
17.175151824951172,1997-06-18
17.298410415649414,1997-06-19
17.25732421875,1997-06-20
16.682083129882812,1997-06-23
17.339506149291992,1997-06-24
17.092973709106445,1997-06-25
