BAC,Date
0.45958060026168823,1975-09-09
0.45423686504364014,1975-09-10
0.44354891777038574,1975-09-11
0.44354891777038574,1975-09-12
0.42751696705818176,1975-09-15
0.411484956741333,1975-09-16
0.411484956741333,1975-09-17
0.42217299342155457,1975-09-18
0.43820464611053467,1975-09-19
0.42217299342155457,1975-09-22
0.4168289303779602,1975-09-23
0.42751696705818176,1975-09-24
0.4168289303779602,1975-09-25
0.4168289303779602,1975-09-26
0.411484956741333,1975-09-29
0.411484956741333,1975-09-30
0.406141072511673,1975-10-01
0.40079715847969055,1975-10-02
0.406141072511673,1975-10-03
0.3901093006134033,1975-10-06
0.38476526737213135,1975-10-07
0.39545318484306335,1975-10-08
0.40079715847969055,1975-10-09
0.40079715847969055,1975-10-10
0.39545318484306335,1975-10-13
0.39545318484306335,1975-10-14
0.38476526737213135,1975-10-15
0.38476526737213135,1975-10-16
0.38476526737213135,1975-10-17
0.3794213533401489,1975-10-20
0.3794213533401489,1975-10-21
0.3794213533401489,1975-10-22
0.3794213533401489,1975-10-23
0.36873340606689453,1975-10-24
0.36873340606689453,1975-10-27
0.36873340606689453,1975-10-28
0.36338916420936584,1975-10-29
0.3580453097820282,1975-10-30
0.35270166397094727,1975-10-31
0.35270166397094727,1975-11-03
0.37407732009887695,1975-11-04
0.38476526737213135,1975-11-05
0.38476526737213135,1975-11-06
0.38476526737213135,1975-11-07
0.37407732009887695,1975-11-10
0.3794213533401489,1975-11-11
0.38476526737213135,1975-11-12
0.3794213533401489,1975-11-13
0.36873340606689453,1975-11-14
0.36873340606689453,1975-11-17
0.36873340606689453,1975-11-18
0.36338916420936584,1975-11-19
0.36338916420936584,1975-11-20
0.35270166397094727,1975-11-21
0.34201356768608093,1975-11-24
0.34201356768608093,1975-11-25
0.3580453097820282,1975-11-26
0.36338916420936584,1975-11-28
0.36338916420936584,1975-12-01
0.36338916420936584,1975-12-02
0.34735745191574097,1975-12-03
0.34735745191574097,1975-12-04
0.34201356768608093,1975-12-05
0.34735745191574097,1975-12-08
0.34735745191574097,1975-12-09
0.3580453097820282,1975-12-10
0.3580453097820282,1975-12-11
0.35270166397094727,1975-12-12
0.35270166397094727,1975-12-15
0.36338916420936584,1975-12-16
0.37407732009887695,1975-12-17
0.36873340606689453,1975-12-18
0.3901093006134033,1975-12-19
0.3794213533401489,1975-12-22
0.3901093006134033,1975-12-23
0.40079715847969055,1975-12-24
0.411484956741333,1975-12-26
0.406141072511673,1975-12-29
0.406141072511673,1975-12-30
0.4168289303779602,1975-12-31
0.42217299342155457,1976-01-02
0.42217299342155457,1976-01-05
0.42751696705818176,1976-01-06
0.411484956741333,1976-01-07
0.411484956741333,1976-01-08
0.406141072511673,1976-01-09
0.39545318484306335,1976-01-12
0.39545318484306335,1976-01-13
0.406141072511673,1976-01-14
0.406141072511673,1976-01-15
0.406141072511673,1976-01-16
0.4168289303779602,1976-01-19
0.43820464611053467,1976-01-20
0.43286117911338806,1976-01-21
0.406141072511673,1976-01-22
0.411484956741333,1976-01-23
0.406141072511673,1976-01-26
0.406141072511673,1976-01-27
0.4168289303779602,1976-01-28
0.42751696705818176,1976-01-29
0.46492448449134827,1976-01-30
0.47561272978782654,1976-02-02
0.491644024848938,1976-02-03
0.5130206346511841,1976-02-04
0.5023324489593506,1976-02-05
0.48630043864250183,1976-02-06
0.48630043864250183,1976-02-09
0.48630043864250183,1976-02-10
0.491644024848938,1976-02-11
0.5076765418052673,1976-02-12
0.5076765418052673,1976-02-13
0.5076765418052673,1976-02-17
0.5023324489593506,1976-02-18
0.5183643698692322,1976-02-19
0.534396231174469,1976-02-20
0.5237080454826355,1976-02-23
0.5130206346511841,1976-02-24
0.5023324489593506,1976-02-25
0.5023324489593506,1976-02-26
0.49698853492736816,1976-02-27
0.49698853492736816,1976-03-01
0.491644024848938,1976-03-02
0.491644024848938,1976-03-03
0.47561272978782654,1976-03-04
0.47561272978782654,1976-03-05
0.48630043864250183,1976-03-08
0.491644024848938,1976-03-09
0.5023324489593506,1976-03-10
0.5130206346511841,1976-03-11
0.5130206346511841,1976-03-12
0.5023324489593506,1976-03-15
0.5076765418052673,1976-03-16
0.5183643698692322,1976-03-17
0.5183643698692322,1976-03-18
0.5183643698692322,1976-03-19
0.5183643698692322,1976-03-22
0.5183643698692322,1976-03-23
0.5237080454826355,1976-03-24
0.5130206346511841,1976-03-25
0.5130206346511841,1976-03-26
0.5130206346511841,1976-03-29
0.5130206346511841,1976-03-30
0.5237080454826355,1976-03-31
0.5237080454826355,1976-04-01
0.5237080454826355,1976-04-02
0.5237080454826355,1976-04-05
0.5290521383285522,1976-04-06
0.5237080454826355,1976-04-07
0.5183643698692322,1976-04-08
0.49698853492736816,1976-04-09
0.491644024848938,1976-04-12
0.491644024848938,1976-04-13
0.491644024848938,1976-04-14
0.491644024848938,1976-04-15
0.491644024848938,1976-04-19
0.5023324489593506,1976-04-20
0.5023324489593506,1976-04-21
0.5023324489593506,1976-04-22
0.49698853492736816,1976-04-23
0.49698853492736816,1976-04-26
0.49698853492736816,1976-04-27
0.49698853492736816,1976-04-28
0.49698853492736816,1976-04-29
0.49698853492736816,1976-04-30
0.491644024848938,1976-05-03
0.48095637559890747,1976-05-04
0.48095637559890747,1976-05-05
0.4702688157558441,1976-05-06
0.4702688157558441,1976-05-07
0.47561272978782654,1976-05-10
0.4702688157558441,1976-05-11
0.4702688157558441,1976-05-12
0.45958060026168823,1976-05-13
0.45958060026168823,1976-05-14
0.45958060026168823,1976-05-17
0.45423686504364014,1976-05-18
0.45423686504364014,1976-05-19
0.45423686504364014,1976-05-20
0.45958060026168823,1976-05-21
0.4488929808139801,1976-05-24
0.4488929808139801,1976-05-25
0.44354891777038574,1976-05-26
0.43286117911338806,1976-05-27
0.4168289303779602,1976-05-28
0.42217299342155457,1976-06-01
0.42217299342155457,1976-06-02
0.42751696705818176,1976-06-03
0.42217299342155457,1976-06-04
0.42217299342155457,1976-06-07
0.42217299342155457,1976-06-08
0.42217299342155457,1976-06-09
0.42751696705818176,1976-06-10
0.43286117911338806,1976-06-11
0.43820464611053467,1976-06-14
0.43820464611053467,1976-06-15
0.43820464611053467,1976-06-16
0.44354891777038574,1976-06-17
0.44354891777038574,1976-06-18
0.44354891777038574,1976-06-21
0.44354891777038574,1976-06-22
0.44354891777038574,1976-06-23
0.44354891777038574,1976-06-24
0.44354891777038574,1976-06-25
0.4488929808139801,1976-06-28
0.4488929808139801,1976-06-29
0.45423686504364014,1976-06-30
0.45958060026168823,1976-07-01
0.45958060026168823,1976-07-02
0.4702688157558441,1976-07-06
0.4702688157558441,1976-07-07
0.47561272978782654,1976-07-08
0.47561272978782654,1976-07-09
0.48095637559890747,1976-07-12
0.48095637559890747,1976-07-13
0.48630043864250183,1976-07-14
0.48630043864250183,1976-07-15
0.48630043864250183,1976-07-16
0.48630043864250183,1976-07-19
0.47561272978782654,1976-07-20
0.46492448449134827,1976-07-21
0.45423686504364014,1976-07-22
0.45423686504364014,1976-07-23
0.45423686504364014,1976-07-26
0.44354891777038574,1976-07-27
0.44354891777038574,1976-07-28
0.43820464611053467,1976-07-29
0.44354891777038574,1976-07-30
0.43820464611053467,1976-08-02
0.43820464611053467,1976-08-03
0.44354891777038574,1976-08-04
0.44354891777038574,1976-08-05
0.44354891777038574,1976-08-06
0.44354891777038574,1976-08-09
0.44354891777038574,1976-08-10
0.44354891777038574,1976-08-11
0.4488929808139801,1976-08-12
0.4488929808139801,1976-08-13
0.4488929808139801,1976-08-16
0.44354891777038574,1976-08-17
0.44354891777038574,1976-08-18
0.43820464611053467,1976-08-19
0.43820464611053467,1976-08-20
0.43820464611053467,1976-08-23
0.43286117911338806,1976-08-24
0.43286117911338806,1976-08-25
0.43286117911338806,1976-08-26
0.43286117911338806,1976-08-27
0.43286117911338806,1976-08-30
0.43286117911338806,1976-08-31
0.43286117911338806,1976-09-01
0.43286117911338806,1976-09-02
0.43286117911338806,1976-09-03
0.43286117911338806,1976-09-07
0.43286117911338806,1976-09-08
0.42217299342155457,1976-09-09
0.42217299342155457,1976-09-10
0.42217299342155457,1976-09-13
0.42217299342155457,1976-09-14
0.42751696705818176,1976-09-15
0.43286117911338806,1976-09-16
0.45423686504364014,1976-09-17
0.45423686504364014,1976-09-20
0.46492448449134827,1976-09-21
0.45958060026168823,1976-09-22
0.45958060026168823,1976-09-23
0.45423686504364014,1976-09-24
0.45958060026168823,1976-09-27
0.4488929808139801,1976-09-28
0.4488929808139801,1976-09-29
0.4488929808139801,1976-09-30
0.42751696705818176,1976-10-01
0.42751696705818176,1976-10-04
0.42217299342155457,1976-10-05
0.4168289303779602,1976-10-06
0.4168289303779602,1976-10-07
0.42217299342155457,1976-10-08
0.42217299342155457,1976-10-11
0.42217299342155457,1976-10-12
0.411484956741333,1976-10-13
0.411484956741333,1976-10-14
0.411484956741333,1976-10-15
0.4168289303779602,1976-10-18
0.42217299342155457,1976-10-19
0.42751696705818176,1976-10-20
0.42217299342155457,1976-10-21
0.42217299342155457,1976-10-22
0.42217299342155457,1976-10-25
0.42217299342155457,1976-10-26
0.42217299342155457,1976-10-27
0.42217299342155457,1976-10-28
0.43286117911338806,1976-10-29
0.43286117911338806,1976-11-01
0.42751696705818176,1976-11-03
0.42751696705818176,1976-11-04
