ATO,Date
79.46975708007812,2018-07-24
79.2768325805664,2018-07-25
80.0748291015625,2018-07-26
79.69775390625,2018-07-27
79.373291015625,2018-07-30
80.56595611572266,2018-07-31
79.79421997070312,2018-08-01
80.32039642333984,2018-08-02
80.53086853027344,2018-08-03
80.64485931396484,2018-08-06
80.64485931396484,2018-08-07
80.56595611572266,2018-08-08
80.01347351074219,2018-08-09
80.03976440429688,2018-08-10
80.5220947265625,2018-08-13
81.20613098144531,2018-08-14
81.59197998046875,2018-08-15
82.59171295166016,2018-08-16
82.7320327758789,2018-08-17
82.0743179321289,2018-08-20
81.4692153930664,2018-08-21
81.12720489501953,2018-08-22
80.78519439697266,2018-08-23
81.30091857910156,2018-08-24
80.91302490234375,2018-08-27
80.93064880371094,2018-08-28
81.39789581298828,2018-08-29
81.59184265136719,2018-08-30
81.30975341796875,2018-08-31
81.45077514648438,2018-09-04
82.51752471923828,2018-09-05
82.9230728149414,2018-09-06
82.53516387939453,2018-09-07
81.98856353759766,2018-09-10
82.64093780517578,2018-09-11
82.52633666992188,2018-09-12
83.31095886230469,2018-09-13
82.97594451904297,2018-09-14
83.54900360107422,2018-09-17
83.30215454101562,2018-09-18
81.73290252685547,2018-09-19
82.2618637084961,2018-09-20
82.87896728515625,2018-09-21
82.78202819824219,2018-09-24
82.42935180664062,2018-09-25
81.66236114501953,2018-09-26
82.2442398071289,2018-09-27
82.79082489013672,2018-09-28
81.76817321777344,2018-10-01
82.59687805175781,2018-10-02
81.75935363769531,2018-10-03
81.8475112915039,2018-10-04
83.43438720703125,2018-10-05
85.47088623046875,2018-10-08
85.3650894165039,2018-10-09
84.65098571777344,2018-10-10
82.29712677001953,2018-10-11
81.64474487304688,2018-10-12
82.4029312133789,2018-10-15
83.69005584716797,2018-10-16
83.4255599975586,2018-10-17
84.09559631347656,2018-10-18
85.5766830444336,2018-10-19
85.08296966552734,2018-10-22
84.35124969482422,2018-10-23
85.63838195800781,2018-10-24
84.30717468261719,2018-10-25
82.53516387939453,2018-10-26
83.30215454101562,2018-10-29
83.57544708251953,2018-10-30
82.05909729003906,2018-10-31
81.93567657470703,2018-11-01
81.23038482666016,2018-11-02
82.2442398071289,2018-11-05
84.15730285644531,2018-11-06
85.25047302246094,2018-11-07
84.49230194091797,2018-11-08
85.24165344238281,2018-11-09
85.2240219116211,2018-11-12
84.98600006103516,2018-11-13
85.77062225341797,2018-11-14
87.1988296508789,2018-11-15
87.30460357666016,2018-11-16
87.57788848876953,2018-11-19
86.57286834716797,2018-11-20
86.14969635009766,2018-11-21
86.10981750488281,2018-11-23
86.69482421875,2018-11-26
87.23548126220703,2018-11-27
86.53526306152344,2018-11-28
82.8302993774414,2018-11-29
84.79801177978516,2018-11-30
86.51753997802734,2018-12-03
