TMUS,Date
13.541162490844727,2011-10-04
13.639764785766602,2011-10-05
14.132767677307129,2011-10-06
13.031725883483887,2011-10-07
14.034168243408203,2011-10-10
13.67263126373291,2011-10-11
14.017733573913574,2011-10-12
14.691503524780273,2011-10-13
14.954440116882324,2011-10-14
14.527172088623047,2011-10-17
14.905138969421387,2011-10-18
14.231367111206055,2011-10-19
14.839405059814453,2011-10-20
15.102341651916504,2011-10-21
15.283109664916992,2011-10-24
14.954440116882324,2011-10-25
15.924013137817383,2011-10-26
15.989747047424316,2011-10-27
14.691503524780273,2011-10-28
13.968432426452637,2011-10-31
12.58802318572998,2011-11-01
14.083466529846191,2011-11-02
14.77367115020752,2011-11-03
14.740805625915527,2011-11-04
14.60933780670166,2011-11-07
14.34640121459961,2011-11-08
13.853398323059082,2011-11-09
13.935564994812012,2011-11-10
14.510736465454102,2011-11-11
14.264235496520996,2011-11-14
14.4450044631958,2011-11-15
14.198501586914062,2011-11-16
13.606897354125977,2011-11-17
13.245362281799316,2011-11-18
13.031725883483887,2011-11-21
12.719491004943848,2011-11-22
12.4401216506958,2011-11-23
12.341521263122559,2011-11-25
13.01529312133789,2011-11-28
12.73592472076416,2011-11-29
13.771230697631836,2011-11-30
13.639764785766602,2011-12-01
13.623330116271973,2011-12-02
13.721932411193848,2011-12-05
14.790104866027832,2011-12-06
14.09990119934082,2011-12-07
13.590463638305664,2011-12-08
13.919134140014648,2011-12-09
13.754798889160156,2011-12-12
14.017733573913574,2011-12-13
13.458995819091797,2011-12-14
13.869832992553711,2011-12-15
13.689064979553223,2011-12-16
13.064593315124512,2011-12-19
13.623330116271973,2011-12-20
13.67263126373291,2011-12-21
13.836966514587402,2011-12-22
13.426128387451172,2011-12-23
13.721932411193848,2011-12-27
13.212494850158691,2011-12-28
13.541162490844727,2011-12-29
14.264235496520996,2011-12-30
15.431011199951172,2012-01-03
14.4450044631958,2012-01-04
13.16319465637207,2012-01-05
13.179628372192383,2012-01-06
13.47542953491211,2012-01-09
13.639764785766602,2012-01-10
13.853398323059082,2012-01-11
14.067035675048828,2012-01-12
13.721932411193848,2012-01-13
13.787666320800781,2012-01-17
14.264235496520996,2012-01-18
14.675073623657227,2012-01-19
14.329970359802246,2012-01-20
14.362834930419922,2012-01-23
14.067035675048828,2012-01-24
14.494302749633789,2012-01-25
14.428568840026855,2012-01-26
14.362834930419922,2012-01-27
14.4450044631958,2012-01-30
14.527172088623047,2012-01-31
14.987308502197266,2012-02-01
15.151641845703125,2012-02-02
15.513176918029785,2012-02-03
15.792545318603516,2012-02-06
15.69394588470459,2012-02-07
15.759679794311523,2012-02-08
15.85827922821045,2012-02-09
16.1212158203125,2012-02-10
16.367717742919922,2012-02-13
16.417016983032227,2012-02-14
16.482751846313477,2012-02-15
17.008623123168945,2012-02-16
16.9921875,2012-02-17
16.942888259887695,2012-02-21
16.893587112426758,2012-02-22
19.227136611938477,2012-02-23
19.736574172973633,2012-02-24
19.440773010253906,2012-02-27
18.109663009643555,2012-02-28
16.926454544067383,2012-02-29
17.863161087036133,2012-03-01
17.35372543334961,2012-03-02
16.367717742919922,2012-03-05
15.85827922821045,2012-03-06
16.18695068359375,2012-03-07
16.384151458740234,2012-03-08
16.712820053100586,2012-03-09
16.154081344604492,2012-03-12
16.417016983032227,2012-03-13
16.071914672851562,2012-03-14
16.334848403930664,2012-03-15
16.59778594970703,2012-03-16
16.43345069885254,2012-03-19
16.301982879638672,2012-03-20
16.1212158203125,2012-03-21
16.022615432739258,2012-03-22
15.776113510131836,2012-03-23
16.071914672851562,2012-03-26
15.33241081237793,2012-03-27
15.381709098815918,2012-03-28
15.184508323669434,2012-03-29
14.822973251342773,2012-03-30
14.97087287902832,2012-04-02
15.135208129882812,2012-04-03
14.691503524780273,2012-04-04
14.543603897094727,2012-04-05
14.001299858093262,2012-04-09
13.639764785766602,2012-04-10
14.083466529846191,2012-04-11
14.165634155273438,2012-04-12
13.804099082946777,2012-04-13
13.623330116271973,2012-04-16
13.606897354125977,2012-04-17
13.130326271057129,2012-04-18
13.376830101013184,2012-04-19
13.212494850158691,2012-04-20
13.048160552978516,2012-04-23
13.081027030944824,2012-04-24
13.048160552978516,2012-04-25
11.634882926940918,2012-04-26
11.519848823547363,2012-04-27
11.996418952941895,2012-04-30
11.717050552368164,2012-05-01
11.585582733154297,2012-05-02
11.339080810546875,2012-05-03
10.928244590759277,2012-05-04
10.977545738220215,2012-05-07
10.780344009399414,2012-05-08
12.325088500976562,2012-05-09
11.60201644897461,2012-05-10
11.569149017333984,2012-05-11
11.059712409973145,2012-05-14
10.59957504272461,2012-05-15
10.731043815612793,2012-05-16
10.468107223510742,2012-05-17
10.500974655151367,2012-05-18
10.533842086791992,2012-05-21
10.550275802612305,2012-05-22
10.5667085647583,2012-05-23
10.583142280578613,2012-05-24
10.714609146118164,2012-05-25
10.780344009399414,2012-05-29
10.402374267578125,2012-05-30
10.517409324645996,2012-05-31
10.172306060791016,2012-06-01
9.991538047790527,2012-06-04
10.123005867004395,2012-06-05
10.20517349243164,2012-06-06
10.23803997039795,2012-06-07
10.106572151184082,2012-06-08
9.86007022857666,2012-06-11
9.942237854003906,2012-06-12
9.695735931396484,2012-06-13
9.531401634216309,2012-06-14
9.827203750610352,2012-06-15
9.482100486755371,2012-06-18
9.71216869354248,2012-06-19
9.827203750610352,2012-06-20
9.761469841003418,2012-06-21
9.695735931396484,2012-06-22
9.514967918395996,2012-06-25
9.186299324035645,2012-06-26
9.317766189575195,2012-06-27
9.383500099182129,2012-06-28
9.942237854003906,2012-06-29
10.451675415039062,2012-07-02
10.79677677154541,2012-07-03
10.5667085647583,2012-07-05
10.533842086791992,2012-07-06
10.385941505432129,2012-07-09
10.648876190185547,2012-07-10
10.763911247253418,2012-07-11
10.23803997039795,2012-07-12
10.353074073791504,2012-07-13
10.451675415039062,2012-07-16
10.79677677154541,2012-07-17
10.763911247253418,2012-07-18
10.763911247253418,2012-07-19
10.533842086791992,2012-07-20
10.254472732543945,2012-07-23
10.829644203186035,2012-07-24
10.320207595825195,2012-07-25
14.116333961486816,2012-07-26
14.855838775634766,2012-07-27
14.625770568847656,2012-07-30
14.395702362060547,2012-07-31
14.477869987487793,2012-08-01
14.165634155273438,2012-08-02
14.231367111206055,2012-08-03
14.4450044631958,2012-08-06
14.247801780700684,2012-08-07
14.34640121459961,2012-08-08
14.428568840026855,2012-08-09
14.839405059814453,2012-08-10
14.9215726852417,2012-08-13
15.085907936096191,2012-08-14
16.088348388671875,2012-08-15
15.677512168884277,2012-08-16
16.482751846313477,2012-08-17
16.28554916381836,2012-08-20
16.679950714111328,2012-08-21
15.956880569458008,2012-08-22
15.97331428527832,2012-08-23
16.13764762878418,2012-08-24
16.022615432739258,2012-08-27
15.891146659851074,2012-08-28
16.006181716918945,2012-08-29
15.85827922821045,2012-08-30
15.989747047424316,2012-08-31
16.236249923706055,2012-09-04
16.170515060424805,2012-09-05
16.532052993774414,2012-09-06
16.384151458740234,2012-09-07
16.055482864379883,2012-09-10
16.532052993774414,2012-09-11
16.942888259887695,2012-09-12
17.222253799438477,2012-09-13
17.468759536743164,2012-09-14
17.51805877685547,2012-09-17
17.649524688720703,2012-09-18
18.569799423217773,2012-09-19
18.3890323638916,2012-09-20
19.112102508544922,2012-09-21
19.358604431152344,2012-09-24
18.964200973510742,2012-09-25
18.48763084411621,2012-09-26
19.63797378540039,2012-09-27
19.24357032775879,2012-09-28
18.931337356567383,2012-10-01
22.300193786621094,2012-10-02
20.114543914794922,2012-10-03
20.854047775268555,2012-10-04
20.788314819335938,2012-10-05
20.607547760009766,2012-10-08
20.55824851989746,2012-10-09
19.78587532043457,2012-10-10
19.128536224365234,2012-10-11
19.522939682006836,2012-10-12
18.61910057067871,2012-10-15
18.109663009643555,2012-10-16
17.994626998901367,2012-10-17
18.32329750061035,2012-10-18
18.027494430541992,2012-10-19
18.290430068969727,2012-10-22
17.74812889099121,2012-10-23
17.715259552001953,2012-10-24
17.616661071777344,2012-10-25
17.403024673461914,2012-10-26
16.778553009033203,2012-10-31
17.107221603393555,2012-11-01
16.745685577392578,2012-11-02
16.532052993774414,2012-11-05
16.745685577392578,2012-11-06
16.154081344604492,2012-11-07
16.400583267211914,2012-11-08
16.696386337280273,2012-11-09
16.5156192779541,2012-11-12
16.696386337280273,2012-11-13
16.712820053100586,2012-11-14
17.172956466674805,2012-11-15
17.682392120361328,2012-11-16
18.076797485351562,2012-11-19
17.304424285888672,2012-11-20
17.35372543334961,2012-11-21
17.53449058532715,2012-11-23
17.320858001708984,2012-11-26
17.320858001708984,2012-11-27
17.074356079101562,2012-11-28
16.66352081298828,2012-11-29
17.501625061035156,2012-11-30
17.698827743530273,2012-12-03
16.367717742919922,2012-12-04
16.59778594970703,2012-12-05
17.041488647460938,2012-12-06
17.287992477416992,2012-12-07
16.82785415649414,2012-12-10
16.679950714111328,2012-12-11
16.301982879638672,2012-12-12
16.417016983032227,2012-12-13
16.5156192779541,2012-12-14
16.417016983032227,2012-12-17
16.367717742919922,2012-12-18
16.367717742919922,2012-12-19
16.400583267211914,2012-12-20
16.28554916381836,2012-12-21
16.088348388671875,2012-12-24
16.154081344604492,2012-12-26
16.236249923706055,2012-12-27
16.1212158203125,2012-12-28
16.334848403930664,2012-12-31
15.940446853637695,2013-01-02
15.825413703918457,2013-01-03
15.989747047424316,2013-01-04
15.710379600524902,2013-01-07
15.33241081237793,2013-01-08
15.431011199951172,2013-01-09
15.989747047424316,2013-01-10
15.677512168884277,2013-01-11
15.628211975097656,2013-01-14
15.743246078491211,2013-01-15
15.33241081237793,2013-01-16
15.463876724243164,2013-01-17
15.447444915771484,2013-01-18
15.480310440063477,2013-01-22
