TECH,Date
0.5678565502166748,1991-11-21
0.56125408411026,1991-11-22
0.56125408411026,1991-11-25
0.56125408411026,1991-11-26
0.56125408411026,1991-11-27
0.56125408411026,1991-11-29
0.5414448380470276,1991-12-02
0.5282387137413025,1991-12-03
0.5216360688209534,1991-12-04
0.5414448380470276,1991-12-05
0.5678565502166748,1991-12-06
0.6206807494163513,1991-12-09
0.6272839307785034,1991-12-10
0.6074748039245605,1991-12-11
0.5942687392234802,1991-12-12
0.5942687392234802,1991-12-13
0.5942687392234802,1991-12-16
0.5942687392234802,1991-12-17
0.5810626149177551,1991-12-18
0.5810626149177551,1991-12-19
0.5414448380470276,1991-12-20
0.5414448380470276,1991-12-23
0.5414448380470276,1991-12-24
0.5678565502166748,1991-12-26
0.6206807494163513,1991-12-27
0.6470924615859985,1991-12-30
0.6735044717788696,1991-12-31
0.6602983474731445,1992-01-02
0.6602983474731445,1992-01-03
0.6602983474731445,1992-01-06
0.6602983474731445,1992-01-07
0.6602983474731445,1992-01-08
0.6867103576660156,1992-01-09
0.6999163627624512,1992-01-10
0.6999163627624512,1992-01-13
0.6735044717788696,1992-01-14
0.6735044717788696,1992-01-15
0.6602983474731445,1992-01-16
0.6470924615859985,1992-01-17
0.6470924615859985,1992-01-20
0.6470924615859985,1992-01-21
0.6470924615859985,1992-01-22
0.6470924615859985,1992-01-23
0.6470924615859985,1992-01-24
0.6735044717788696,1992-01-27
0.6602983474731445,1992-01-28
0.6470924615859985,1992-01-29
0.6206807494163513,1992-01-30
0.6206807494163513,1992-01-31
0.6206807494163513,1992-02-03
0.6074748039245605,1992-02-04
0.6206807494163513,1992-02-05
0.6206807494163513,1992-02-06
0.6735044717788696,1992-02-07
0.6338866353034973,1992-02-10
0.6206807494163513,1992-02-11
0.6338866353034973,1992-02-12
0.6338866353034973,1992-02-13
0.6206807494163513,1992-02-14
0.6206807494163513,1992-02-18
0.6338866353034973,1992-02-19
0.6470924615859985,1992-02-20
0.6338866353034973,1992-02-21
0.6338866353034973,1992-02-24
0.6338866353034973,1992-02-25
0.6338866353034973,1992-02-26
0.6338866353034973,1992-02-27
0.6338866353034973,1992-02-28
0.6206807494163513,1992-03-02
0.6206807494163513,1992-03-03
0.6206807494163513,1992-03-04
0.6074748039245605,1992-03-05
0.6074748039245605,1992-03-06
0.5678565502166748,1992-03-09
0.5678565502166748,1992-03-10
0.5546507239341736,1992-03-11
0.5546507239341736,1992-03-12
0.5942687392234802,1992-03-13
0.6074748039245605,1992-03-16
0.6206807494163513,1992-03-17
0.6074748039245605,1992-03-18
0.6074748039245605,1992-03-19
0.5810626149177551,1992-03-20
0.5546507239341736,1992-03-23
0.5414448380470276,1992-03-24
0.5282387137413025,1992-03-25
0.5018270611763,1992-03-26
0.5018270611763,1992-03-27
0.5018270611763,1992-03-30
0.5018270611763,1992-03-31
0.5018270611763,1992-04-01
0.5150328278541565,1992-04-02
0.5150328278541565,1992-04-03
0.5150328278541565,1992-04-06
0.4754149317741394,1992-04-07
0.4490029215812683,1992-04-08
0.46220871806144714,1992-04-09
0.48862069845199585,1992-04-10
0.5282387137413025,1992-04-13
0.5282387137413025,1992-04-14
0.5282387137413025,1992-04-15
0.5282387137413025,1992-04-16
0.5018270611763,1992-04-20
0.46220871806144714,1992-04-21
0.4754149317741394,1992-04-22
0.4754149317741394,1992-04-23
0.4754149317741394,1992-04-24
0.4754149317741394,1992-04-27
0.46220871806144714,1992-04-28
0.4556064009666443,1992-04-29
0.48862069845199585,1992-04-30
0.5018270611763,1992-05-01
0.5018270611763,1992-05-04
0.5018270611763,1992-05-05
0.5282387137413025,1992-05-06
0.5414448380470276,1992-05-07
0.5678565502166748,1992-05-08
0.5678565502166748,1992-05-11
0.5546507239341736,1992-05-12
0.5546507239341736,1992-05-13
0.5546507239341736,1992-05-14
0.5282387137413025,1992-05-15
0.5282387137413025,1992-05-18
0.5282387137413025,1992-05-19
0.5282387137413025,1992-05-20
0.5282387137413025,1992-05-21
0.5282387137413025,1992-05-22
0.5414448380470276,1992-05-26
0.5546507239341736,1992-05-27
0.5810626149177551,1992-05-28
0.5810626149177551,1992-05-29
0.5678565502166748,1992-06-01
0.5810626149177551,1992-06-02
0.5810626149177551,1992-06-03
0.5678565502166748,1992-06-04
0.5678565502166748,1992-06-05
0.5678565502166748,1992-06-08
0.5414448380470276,1992-06-09
0.5150328278541565,1992-06-10
0.5150328278541565,1992-06-11
0.5150328278541565,1992-06-12
0.5414448380470276,1992-06-15
0.5018270611763,1992-06-16
0.5414448380470276,1992-06-17
0.5018270611763,1992-06-18
0.5018270611763,1992-06-19
0.4754149317741394,1992-06-22
0.48862069845199585,1992-06-23
0.4820181727409363,1992-06-24
0.4754149317741394,1992-06-25
0.48862069845199585,1992-06-26
0.48862069845199585,1992-06-29
0.4754149317741394,1992-06-30
0.4754149317741394,1992-07-01
0.4754149317741394,1992-07-02
0.4820181727409363,1992-07-06
0.4754149317741394,1992-07-07
0.5018270611763,1992-07-08
0.5018270611763,1992-07-09
0.48862069845199585,1992-07-10
0.5018270611763,1992-07-13
0.5150328278541565,1992-07-14
0.5414448380470276,1992-07-15
0.5678565502166748,1992-07-16
0.5282387137413025,1992-07-17
0.5348420739173889,1992-07-20
0.5414448380470276,1992-07-21
0.5348420739173889,1992-07-22
0.5348420739173889,1992-07-23
0.5216360688209534,1992-07-24
0.5216360688209534,1992-07-27
0.5414448380470276,1992-07-28
0.5480480194091797,1992-07-29
0.5546507239341736,1992-07-30
0.5810626149177551,1992-07-31
0.5810626149177551,1992-08-03
0.5810626149177551,1992-08-04
0.5348420739173889,1992-08-05
0.5348420739173889,1992-08-06
0.5810626149177551,1992-08-07
0.5546507239341736,1992-08-10
0.5810626149177551,1992-08-11
0.56125408411026,1992-08-12
0.5810626149177551,1992-08-13
0.574459969997406,1992-08-14
0.587666392326355,1992-08-17
0.6074748039245605,1992-08-18
0.6074748039245605,1992-08-19
0.5810626149177551,1992-08-20
0.5810626149177551,1992-08-21
0.6074748039245605,1992-08-24
0.6074748039245605,1992-08-25
0.6074748039245605,1992-08-26
0.6074748039245605,1992-08-27
0.6074748039245605,1992-08-28
0.6074748039245605,1992-08-31
0.6206807494163513,1992-09-01
0.6470924615859985,1992-09-02
0.6338866353034973,1992-09-03
0.6338866353034973,1992-09-04
0.6206807494163513,1992-09-08
0.6272839307785034,1992-09-09
0.6470924615859985,1992-09-10
0.6338866353034973,1992-09-11
0.640489935874939,1992-09-14
0.6735044717788696,1992-09-15
0.6338866353034973,1992-09-16
0.6602983474731445,1992-09-17
0.6338866353034973,1992-09-18
0.6602983474731445,1992-09-21
0.6470924615859985,1992-09-22
0.6867103576660156,1992-09-23
0.6470924615859985,1992-09-24
0.6470924615859985,1992-09-25
0.6602983474731445,1992-09-28
0.6602983474731445,1992-09-29
0.6735044717788696,1992-09-30
0.6867103576660156,1992-10-01
0.6735044717788696,1992-10-02
0.6470924615859985,1992-10-05
0.6669015884399414,1992-10-06
0.6470924615859985,1992-10-07
0.6735044717788696,1992-10-08
0.6602983474731445,1992-10-09
0.6470924615859985,1992-10-12
0.6470924615859985,1992-10-13
0.6735044717788696,1992-10-14
0.6735044717788696,1992-10-15
0.6669015884399414,1992-10-16
0.6536957621574402,1992-10-19
0.6602983474731445,1992-10-20
0.6999163627624512,1992-10-21
0.7131222486495972,1992-10-22
0.7527403235435486,1992-10-23
0.765946090221405,1992-10-26
0.7263283133506775,1992-10-27
0.7131222486495972,1992-10-28
0.7527403235435486,1992-10-29
0.7395340800285339,1992-10-30
0.765946090221405,1992-11-02
0.7527403235435486,1992-11-03
0.765946090221405,1992-11-04
0.7527403235435486,1992-11-05
0.7923583388328552,1992-11-06
0.8055641651153564,1992-11-09
0.825373649597168,1992-11-10
0.8187701106071472,1992-11-11
0.8187701106071472,1992-11-12
