PLD,Date
29.596145629882812,2013-02-01
29.435298919677734,2013-02-04
29.44992446899414,2013-02-05
29.179399490356445,2013-02-06
28.821151733398438,2013-02-07
28.857709884643555,2013-02-08
28.75535011291504,2013-02-11
28.952756881713867,2013-02-12
28.857709884643555,2013-02-13
28.667621612548828,2013-02-14
28.3971004486084,2013-02-15
28.99662208557129,2013-02-19
28.64568328857422,2013-02-20
28.353225708007812,2013-02-21
28.821151733398438,2013-02-22
28.016902923583984,2013-02-25
28.053470611572266,2013-02-26
28.258188247680664,2013-02-27
28.470203399658203,2013-02-28
28.726110458374023,2013-03-01
29.106300354003906,2013-03-04
29.267141342163086,2013-03-05
29.135526657104492,2013-03-06
28.843088150024414,2013-03-07
28.872547149658203,2013-03-08
28.806264877319336,2013-03-11
28.578006744384766,2013-03-12
28.732633590698242,2013-03-13
28.65898895263672,2013-03-14
28.563276290893555,2013-03-15
28.38654327392578,2013-03-18
28.21718978881836,2013-03-19
28.51909065246582,2013-03-20
28.36446189880371,2013-03-21
28.63690948486328,2013-03-22
28.717910766601562,2013-03-25
29.557353973388672,2013-03-26
29.351177215576172,2013-03-27
29.439538955688477,2013-03-28
29.395355224609375,2013-04-01
29.557353973388672,2013-04-02
29.189180374145508,2013-04-03
29.203887939453125,2013-04-04
28.975624084472656,2013-04-05
29.491090774536133,2013-04-08
29.34380340576172,2013-04-09
29.645709991455078,2013-04-10
30.293699264526367,2013-04-11
30.27161407470703,2013-04-12
29.881351470947266,2013-04-15
30.492517471313477,2013-04-16
30.197978973388672,2013-04-17
29.910804748535156,2013-04-18
30.62506675720215,2013-04-19
30.5661678314209,2013-04-22
30.88278579711914,2013-04-23
31.427703857421875,2013-04-24
30.52198028564453,2013-04-25
30.63243293762207,2013-04-26
30.720796585083008,2013-04-29
30.890159606933594,2013-04-30
30.860698699951172,2013-05-01
31.206798553466797,2013-05-02
31.471881866455078,2013-05-03
31.560245513916016,2013-05-06
31.648611068725586,2013-05-07
31.744342803955078,2013-05-08
31.59706687927246,2013-05-09
31.898971557617188,2013-05-10
31.840057373046875,2013-05-13
31.93577766418457,2013-05-14
32.2818717956543,2013-05-15
32.30394744873047,2013-05-16
32.30394744873047,2013-05-17
32.532230377197266,2013-05-20
32.9666862487793,2013-05-21
32.03150939941406,2013-05-22
31.206798553466797,2013-05-23
31.25834083557129,2013-05-24
31.250967025756836,2013-05-28
30.823883056640625,2013-05-29
30.26425552368164,2013-05-30
29.6751766204834,2013-05-31
29.763525009155273,2013-06-03
29.027172088623047,2013-06-04
28.614818572998047,2013-06-05
28.90935707092285,2013-06-06
28.946434020996094,2013-06-07
28.293794631958008,2013-06-10
27.78205680847168,2013-06-11
27.529895782470703,2013-06-12
28.382789611816406,2013-06-13
28.53853988647461,2013-06-14
28.523704528808594,2013-06-17
28.434703826904297,2013-06-18
27.41122817993164,2013-06-19
26.40259552001953,2013-06-20
26.96624183654785,2013-06-21
26.580596923828125,2013-06-24
27.381574630737305,2013-06-25
27.537321090698242,2013-06-26
28.197391510009766,2013-06-27
27.974884033203125,2013-06-28
27.863632202148438,2013-07-01
28.175127029418945,2013-07-02
27.78205680847168,2013-07-03
27.811721801757812,2013-07-05
27.87847328186035,2013-07-08
28.419864654541016,2013-07-09
28.375383377075195,2013-07-10
29.102188110351562,2013-07-11
28.8945255279541,2013-07-12
29.124433517456055,2013-07-15
29.14669418334961,2013-07-16
29.643606185913086,2013-07-17
29.992156982421875,2013-07-18
29.932830810546875,2013-07-19
29.992156982421875,2013-07-22
29.866071701049805,2013-07-23
29.562009811401367,2013-07-24
29.30244255065918,2013-07-25
29.406265258789062,2013-07-26
29.013195037841797,2013-07-29
28.850032806396484,2013-07-30
28.44953155517578,2013-07-31
28.44953155517578,2013-08-01
28.293794631958008,2013-08-02
28.32346534729004,2013-08-05
28.44953155517578,2013-08-06
