MA,Date
21.918378829956055,2011-01-28
22.07142448425293,2011-01-31
22.224470138549805,2011-02-01
22.34018325805664,2011-02-02
22.900115966796875,2011-02-03
23.072757720947266,2011-02-04
23.328468322753906,2011-02-07
23.293928146362305,2011-02-08
23.190343856811523,2011-02-09
23.52910041809082,2011-02-10
23.65601348876953,2011-02-11
23.793197631835938,2011-02-14
23.899587631225586,2011-02-15
23.73906898498535,2011-02-16
23.500165939331055,2011-02-17
23.399389266967773,2011-02-18
23.0858211517334,2011-02-22
22.781597137451172,2011-02-23
22.787199020385742,2011-02-24
23.02330780029297,2011-02-25
22.449373245239258,2011-02-28
22.43071746826172,2011-03-01
22.973844528198242,2011-03-02
23.484310150146484,2011-03-03
23.307004928588867,2011-03-04
23.075565338134766,2011-03-07
23.237001419067383,2011-03-08
23.14181900024414,2011-03-09
22.72933578491211,2011-03-10
23.182876586914062,2011-03-11
23.222074508666992,2011-03-14
22.8310604095459,2011-03-15
22.79839515686035,2011-03-16
22.748003005981445,2011-03-17
22.55388641357422,2011-03-18
23.139955520629883,2011-03-21
23.02796173095703,2011-03-22
23.037302017211914,2011-03-23
23.545902252197266,2011-03-24
23.115690231323242,2011-03-25
23.55150032043457,2011-03-28
23.489900588989258,2011-03-29
23.6718807220459,2011-03-30
23.490840911865234,2011-03-31
23.6616153717041,2011-04-01
24.380189895629883,2011-04-04
24.53697395324707,2011-04-05
24.789081573486328,2011-04-06
24.76014518737793,2011-04-07
24.56311798095703,2011-04-08
24.894594192504883,2011-04-11
24.55377197265625,2011-04-12
25.188722610473633,2011-04-13
25.105623245239258,2011-04-14
24.985172271728516,2011-04-15
24.74893569946289,2011-04-18
24.93661117553711,2011-04-19
25.21300506591797,2011-04-20
25.51740264892578,2011-04-21
25.344667434692383,2011-04-25
25.80499839782715,2011-04-26
25.711627960205078,2011-04-27
25.649993896484375,2011-04-28
25.761110305786133,2011-04-29
25.705089569091797,2011-05-02
26.367115020751953,2011-05-03
26.3680477142334,2011-05-04
25.631319046020508,2011-05-05
25.607973098754883,2011-05-06
26.030029296875,2011-05-09
26.247594833374023,2011-05-10
25.97026824951172,2011-05-11
26.340967178344727,2011-05-12
26.144882202148438,2011-05-13
26.06551170349121,2011-05-16
26.336292266845703,2011-05-17
26.270938873291016,2011-05-18
26.52398681640625,2011-05-19
25.9179744720459,2011-05-20
25.394145965576172,2011-05-23
25.21954345703125,2011-05-24
25.629451751708984,2011-05-25
26.340967178344727,2011-05-26
26.634166717529297,2011-05-27
26.80316925048828,2011-05-31
26.206510543823242,2011-06-01
26.401662826538086,2011-06-02
25.870363235473633,2011-06-03
25.390413284301758,2011-06-06
25.60331153869629,2011-06-07
25.211139678955078,2011-06-08
25.3698787689209,2011-06-09
24.93381118774414,2011-06-10
24.970226287841797,2011-06-13
25.595840454101562,2011-06-14
25.255022048950195,2011-06-15
24.901134490966797,2011-06-16
24.84604263305664,2011-06-17
25.206472396850586,2011-06-20
25.587430953979492,2011-06-21
25.317581176757812,2011-06-22
25.503400802612305,2011-06-23
25.60331153869629,2011-06-24
25.453903198242188,2011-06-27
25.9796085357666,2011-06-28
28.918106079101562,2011-06-29
28.137496948242188,2011-06-30
29.36350440979004,2011-07-01
29.50263214111328,2011-07-05
29.23078727722168,2011-07-06
29.80251121520996,2011-07-07
29.454050064086914,2011-07-08
28.72258186340332,2011-07-11
28.39094352722168,2011-07-12
28.575916290283203,2011-07-13
28.556304931640625,2011-07-14
28.73099136352539,2011-07-15
28.73099136352539,2011-07-18
29.0897159576416,2011-07-19
28.798254013061523,2011-07-20
29.008440017700195,2011-07-21
29.346620559692383,2011-07-22
29.55307388305664,2011-07-25
29.217702865600586,2011-07-26
28.31434440612793,2011-07-27
28.670270919799805,2011-07-28
28.32929229736328,2011-07-29
28.410566329956055,2011-08-01
27.88461685180664,2011-08-02
31.619504928588867,2011-08-03
