INTU,Date
4.827225685119629,1996-09-09
4.474468231201172,1996-09-10
4.270238399505615,1996-09-11
4.233105659484863,1996-09-12
4.474468231201172,1996-09-13
4.790093898773193,1996-09-16
4.901491165161133,1996-09-17
4.864359378814697,1996-09-18
4.715829849243164,1996-09-19
4.567298412322998,1996-09-20
4.530167102813721,1996-09-23
4.604430675506592,1996-09-24
4.827225685119629,1996-09-25
5.031454563140869,1996-09-26
4.938623428344727,1996-09-27
4.678696632385254,1996-09-30
4.678696632385254,1996-10-01
4.6229963302612305,1996-10-02
4.530167102813721,1996-10-03
4.678696632385254,1996-10-04
4.567298412322998,1996-10-07
4.455903053283691,1996-10-08
4.455903053283691,1996-10-09
4.455903053283691,1996-10-10
4.493031978607178,1996-10-11
4.418768882751465,1996-10-14
4.233105659484863,1996-10-15
4.20525598526001,1996-10-16
3.8617801666259766,1996-10-17
4.195974826812744,1996-10-18
4.251671314239502,1996-10-21
4.121709823608398,1996-10-22
4.270238399505615,1996-10-23
4.158840179443359,1996-10-24
4.158840179443359,1996-10-25
4.08457612991333,1996-10-28
4.066009521484375,1996-10-29
4.047444820404053,1996-10-30
4.010310649871826,1996-10-31
3.9917447566986084,1996-11-01
4.066009521484375,1996-11-04
4.3816375732421875,1996-11-05
5.421347141265869,1996-11-06
4.994321823120117,1996-11-07
5.421347141265869,1996-11-08
5.477045059204102,1996-11-11
5.328515529632568,1996-11-12
5.161418437957764,1996-11-13
5.235682487487793,1996-11-14
5.347082614898682,1996-11-15
5.644140720367432,1996-11-18
5.495613098144531,1996-11-19
5.904069900512695,1996-11-20
5.644140720367432,1996-11-21
5.2728166580200195,1996-11-22
5.347082614898682,1996-11-25
5.309947490692139,1996-11-26
5.384214401245117,1996-11-27
5.309947490692139,1996-11-29
5.2728166580200195,1996-12-02
5.198552131652832,1996-12-03
5.161418437957764,1996-12-04
5.198552131652832,1996-12-05
5.105721473693848,1996-12-06
5.068587303161621,1996-12-09
4.827225685119629,1996-12-10
4.715829849243164,1996-12-11
4.455903053283691,1996-12-12
4.994321823120117,1996-12-13
4.938623428344727,1996-12-16
4.827225685119629,1996-12-17
4.938623428344727,1996-12-18
5.050022125244141,1996-12-19
5.0128889083862305,1996-12-20
4.752960205078125,1996-12-23
4.864359378814697,1996-12-24
4.864359378814697,1996-12-26
4.752960205078125,1996-12-27
4.715829849243164,1996-12-30
4.678696632385254,1996-12-31
4.678696632385254,1997-01-02
4.790093898773193,1997-01-03
4.882924556732178,1997-01-06
5.2728166580200195,1997-01-07
5.198552131652832,1997-01-08
5.309947490692139,1997-01-09
5.384214401245117,1997-01-10
5.198552131652832,1997-01-13
5.235682487487793,1997-01-14
5.142851829528809,1997-01-15
5.161418437957764,1997-01-16
5.198552131652832,1997-01-17
