SBAC,Date
17.92411231994629,2001-03-23
18.32740592956543,2001-03-26
18.999561309814453,2001-03-27
17.565629959106445,2001-03-28
17.326644897460938,2001-03-29
15.116002082824707,2001-03-30
15.653725624084473,2001-04-02
14.51853084564209,2001-04-03
12.427384376525879,2001-04-04
13.861313819885254,2001-04-05
13.323591232299805,2001-04-06
13.144350051879883,2001-04-09
13.813519477844238,2001-04-10
15.945291519165039,2001-04-11
19.119050979614258,2001-04-12
18.784473419189453,2001-04-16
20.54342269897461,2001-04-17
26.040151596069336,2001-04-18
26.766674041748047,2001-04-19
27.818225860595703,2001-04-20
27.215972900390625,2001-04-23
27.340246200561523,2001-04-24
29.32863426208496,2001-04-25
31.355247497558594,2001-04-26
31.613357543945312,2001-04-27
32.58842086791992,2001-04-30
31.5942440032959,2001-05-01
32.26340103149414,2001-05-02
31.881023406982422,2001-05-03
30.676525115966797,2001-05-04
31.020673751831055,2001-05-07
28.009414672851562,2001-05-08
28.563867568969727,2001-05-09
28.047653198242188,2001-05-10
27.37848663330078,2001-05-11
25.457021713256836,2001-05-14
25.753368377685547,2001-05-15
25.284948348999023,2001-05-16
25.801164627075195,2001-05-17
25.237150192260742,2001-05-18
25.868072509765625,2001-05-21
26.097511291503906,2001-05-22
24.940807342529297,2001-05-23
24.644460678100586,2001-05-24
24.300317764282227,2001-05-25
23.937055587768555,2001-05-29
22.082508087158203,2001-05-30
22.13030433654785,2001-05-31
22.990663528442383,2001-06-01
23.229644775390625,2001-06-04
23.459081649780273,2001-06-05
22.990663528442383,2001-06-06
22.80902862548828,2001-06-07
21.891313552856445,2001-06-08
20.45738983154297,2001-06-11
19.94117546081543,2001-06-12
19.8169002532959,2001-06-13
18.717554092407227,2001-06-14
18.210899353027344,2001-06-15
16.069562911987305,2001-06-18
16.77696990966797,2001-06-19
19.348487854003906,2001-06-20
19.15729522705078,2001-06-21
18.880067825317383,2001-06-22
19.013896942138672,2001-06-25
19.15729522705078,2001-06-26
19.453638076782227,2001-06-27
20.247081756591797,2001-06-28
23.659828186035156,2001-06-29
20.98316192626953,2001-07-02
21.681011199951172,2001-07-03
21.75748634338379,2001-07-05
21.00227928161621,2001-07-06
21.126558303833008,2001-07-09
21.22215461730957,2001-07-10
20.02720832824707,2001-07-11
21.040517807006836,2001-07-12
20.791967391967773,2001-07-13
19.539670944213867,2001-07-16
20.218399047851562,2001-07-17
18.8322696685791,2001-07-18
17.589527130126953,2001-07-19
17.72336196899414,2001-07-20
17.69468879699707,2001-07-23
17.579973220825195,2001-07-24
18.14398193359375,2001-07-25
18.58371925354004,2001-07-26
18.975664138793945,2001-07-27
18.163105010986328,2001-07-30
18.841827392578125,2001-07-31
18.46900749206543,2001-08-01
18.07706642150879,2001-08-02
18.038829803466797,2001-08-03
18.25870132446289,2001-08-06
18.163105010986328,2001-08-07
17.771163940429688,2001-08-08
18.39253044128418,2001-08-09
17.01595687866211,2001-08-10
17.38878059387207,2001-08-13
16.66225242614746,2001-08-14
14.262816429138184,2001-08-15
12.790648460388184,2001-08-16
13.287739753723145,2001-08-17
12.685494422912598,2001-08-20
12.522980690002441,2001-08-21
12.264872550964355,2001-08-22
11.691301345825195,2001-08-23
12.714170455932617,2001-08-24
13.220826148986816,2001-08-27
12.609014511108398,2001-08-28
12.905360221862793,2001-08-29
12.379587173461914,2001-08-30
12.73328971862793,2001-08-31
12.561219215393066,2001-09-04
11.471431732177734,2001-09-05
10.544157028198242,2001-09-06
10.534597396850586,2001-09-07
11.33759880065918,2001-09-10
11.471431732177734,2001-09-17
11.949408531188965,2001-09-18
12.092802047729492,2001-09-19
11.56702709197998,2001-09-20
12.2839937210083,2001-09-21
12.991395950317383,2001-09-24
12.953161239624023,2001-09-25
12.666373252868652,2001-09-26
12.169275283813477,2001-09-27
12.761968612670898,2001-09-28
12.609014511108398,2001-10-01
14.817266464233398,2001-10-02
14.37752914428711,2001-10-03
15.400398254394531,2001-10-04
14.3392915725708,2001-10-05
14.301054000854492,2001-10-08
14.052504539489746,2001-10-09
13.431137084960938,2001-10-10
13.698801040649414,2001-10-11
12.217076301574707,2001-10-12
11.901610374450684,2001-10-15
11.49055004119873,2001-10-16
10.9647798538208,2001-10-17
10.152216911315918,2001-10-18
9.530847549438477,2001-10-19
9.033753395080566,2001-10-22
8.890359878540039,2001-10-23
8.12559986114502,2001-10-24
9.559525489807129,2001-10-25
9.043313026428223,2001-10-26
9.033753395080566,2001-10-29
8.77564525604248,2001-10-30
7.838811874389648,2001-10-31
8.163835525512695,2001-11-01
8.441061019897461,2001-11-02
8.80432415008545,2001-11-05
7.4564313888549805,2001-11-06
5.974704265594482,2001-11-07
6.643869876861572,2001-11-08
7.045372009277344,2001-11-09
