BWA,Date
4.966301918029785,2002-03-25
5.160741329193115,2002-03-26
5.358577728271484,2002-03-27
5.342445373535156,2002-03-28
5.297445297241211,2002-04-01
5.224423885345459,2002-04-02
5.134418964385986,2002-04-03
5.15989351272583,2002-04-04
5.2660298347473145,2002-04-05
5.350937366485596,2002-04-08
5.438390254974365,2002-04-09
5.583584785461426,2002-04-10
5.350937366485596,2002-04-11
5.266876697540283,2002-04-12
5.268576145172119,2002-04-15
5.4171648025512695,2002-04-16
5.22357177734375,2002-04-17
5.103853225708008,2002-04-18
5.158195972442627,2002-04-19
5.136966705322266,2002-04-22
5.206592559814453,2002-04-23
5.309330463409424,2002-04-24
5.254138946533203,2002-04-25
5.317821502685547,2002-04-26
5.221649646759033,2002-04-29
5.319558620452881,2002-04-30
5.3774542808532715,2002-05-01
5.423428058624268,2002-05-02
5.358723163604736,2002-05-03
5.327221870422363,2002-05-06
5.340844631195068,2002-05-07
5.396185398101807,2002-05-08
5.364683628082275,2002-05-09
5.298273086547852,2002-05-10
5.373197555541992,2002-05-13
5.445565223693848,2002-05-14
5.5128254890441895,2002-05-15
5.471108913421631,2002-05-16
5.529856204986572,2002-05-17
5.343400001525879,2002-05-20
5.513678550720215,2002-05-21
5.591156482696533,2002-05-22
5.8321027755737305,2002-05-23
5.713757514953613,2002-05-24
5.722273349761963,2002-05-28
5.689069747924805,2002-05-29
5.427688121795654,2002-05-30
5.483026504516602,2002-05-31
5.2914628982543945,2002-06-03
4.971333980560303,2002-06-04
5.12544059753418,2002-06-05
5.062436103820801,2002-06-06
5.182485103607178,2002-06-07
5.2003631591796875,2002-06-10
5.148426532745361,2002-06-11
5.193551063537598,2002-06-12
5.0403008460998535,2002-06-13
4.92706298828125,2002-06-14
5.146726131439209,2002-06-17
5.193551063537598,2002-06-18
5.121182441711426,2002-06-19
4.964524269104004,2002-06-20
4.938132286071777,2002-06-21
4.951754093170166,2002-06-24
4.8632073402404785,2002-06-25
4.8461785316467285,2002-06-26
4.801908016204834,2002-06-27
4.917699813842773,2002-06-28
5.00454044342041,2002-07-01
4.956860065460205,2002-07-02
4.88023567199707,2002-07-03
5.081164836883545,2002-07-05
4.910887241363525,2002-07-08
4.789138317108154,2002-07-09
4.698885440826416,2002-07-10
4.588205814361572,2002-07-11
4.555001258850098,2002-07-12
4.486036777496338,2002-07-15
4.449426174163818,2002-07-16
4.371949195861816,2002-07-17
4.383868217468262,2002-07-18
4.279146194458008,2002-07-19
4.203372001647949,2002-07-22
4.2016682624816895,2002-07-23
4.497956275939941,2002-07-24
4.572027683258057,2002-07-25
4.488592147827148,2002-07-26
4.754227638244629,2002-07-29
4.626160144805908,2002-07-30
4.584314823150635,2002-07-31
4.651782035827637,2002-08-01
4.42461633682251,2002-08-02
4.369958400726318,2002-08-05
4.541615009307861,2002-08-06
4.617622375488281,2002-08-07
4.7064385414123535,2002-08-08
4.780735492706299,2002-08-09
4.897733211517334,2002-08-12
4.744014263153076,2002-08-13
4.786715507507324,2002-08-14
4.987407207489014,2002-08-15
4.937019348144531,2002-08-16
5.149667263031006,2002-08-19
5.124049186706543,2002-08-20
5.149667263031006,2002-08-21
5.206031799316406,2002-08-22
5.107821941375732,2002-08-23
5.217990398406982,2002-08-26
5.192367076873779,2002-08-27
5.1411285400390625,2002-08-28
5.103553295135498,2002-08-29
5.1445441246032715,2002-08-30
5.060850620269775,2002-09-03
5.154789924621582,2002-09-04
5.048896312713623,2002-09-05
5.221405982971191,2002-09-06
5.286310195922852,2002-09-09
5.335841178894043,2002-09-10
5.322176933288574,2002-09-11
5.207740306854248,2002-09-12
5.124049186706543,2002-09-13
5.08305549621582,2002-09-16
4.915672302246094,2002-09-17
4.842224597930908,2002-09-18
4.714123725891113,2002-09-19
4.603102207183838,2002-09-20
4.463046073913574,2002-09-23
4.370813846588135,2002-09-24
4.371666431427002,2002-09-25
4.451088905334473,2002-09-26
4.276017665863037,2002-09-27
4.239295482635498,2002-09-30
4.234171390533447,2002-10-01
4.151331901550293,2002-10-02
3.992487668991089,2002-10-03
3.8806138038635254,2002-10-04
3.7448229789733887,2002-10-07
3.5099730491638184,2002-10-08
3.3664989471435547,2002-10-09
3.651738166809082,2002-10-10
3.8643856048583984,2002-10-11
3.6508851051330566,2002-10-14
3.977968692779541,2002-10-15
3.743971347808838,2002-10-16
3.9497885704040527,2002-10-17
3.9455158710479736,2002-10-18
4.215383052825928,2002-10-21
4.118882179260254,2002-10-22
4.171828746795654,2002-10-23
3.911358118057251,2002-10-24
3.9839484691619873,2002-10-25
3.854992628097534,2002-10-28
3.7875258922576904,2002-10-29
3.790989398956299,2002-10-30
3.856144428253174,2002-10-31
3.8750052452087402,2002-11-01
3.8690030574798584,2002-11-04
3.901580810546875,2002-11-05
4.125338077545166,2002-11-06
3.9821689128875732,2002-11-07
3.9230124950408936,2002-11-08
3.8149936199188232,2002-11-11
3.7807016372680664,2002-11-12
3.8664302825927734,2002-11-13
3.937586545944214,2002-11-14
3.9633066654205322,2002-11-15
3.905010223388672,2002-11-18
3.9092977046966553,2002-11-19
3.7798430919647217,2002-11-20
4.085042953491211,2002-11-21
4.1579155921936035,2002-11-22
4.249643325805664,2002-11-25
4.213639736175537,2002-11-26
4.4065327644348145,2002-11-27
4.416818141937256,2002-11-29
4.517123222351074,2002-12-02
4.3525214195251465,2002-12-03
4.303657054901123,2002-12-04
4.248788833618164,2002-12-05
4.209352493286133,2002-12-06
4.151055335998535,2002-12-09
4.321659088134766,2002-12-10
4.300227165222168,2002-12-11
4.347377777099609,2002-12-12
4.240215301513672,2002-12-13
4.295082092285156,2002-12-16
4.301941871643066,2002-12-17
4.217067718505859,2002-12-18
4.235071659088135,2002-12-19
4.316514492034912,2002-12-20
4.265933513641357,2002-12-23
