FLEX,Date
6.09375,1998-05-01
6.140625,1998-05-04
5.984375,1998-05-05
6.03125,1998-05-06
5.794921875,1998-05-07
5.921875,1998-05-08
6.03125,1998-05-11
6.1875,1998-05-12
6.09375,1998-05-13
5.984375,1998-05-14
5.84375,1998-05-15
5.6875,1998-05-18
5.6875,1998-05-19
5.328125,1998-05-20
5.203125,1998-05-21
4.9375,1998-05-22
4.828125,1998-05-26
4.9375,1998-05-27
5.125,1998-05-28
4.953125,1998-05-29
4.609375,1998-06-01
4.734375,1998-06-02
4.75,1998-06-03
5.023437976837158,1998-06-04
4.875,1998-06-05
5.089844226837158,1998-06-08
4.984375,1998-06-09
5.0,1998-06-10
4.8125,1998-06-11
4.75,1998-06-12
4.546875,1998-06-15
4.8125,1998-06-16
4.78125,1998-06-17
4.75,1998-06-18
4.71875,1998-06-19
4.75,1998-06-22
4.875,1998-06-23
5.015625,1998-06-24
5.15625,1998-06-25
5.171875,1998-06-26
5.492187976837158,1998-06-29
5.4375,1998-06-30
5.28125,1998-07-01
5.453125,1998-07-02
5.328125,1998-07-06
5.371094226837158,1998-07-07
5.414062976837158,1998-07-08
5.59375,1998-07-09
5.6875,1998-07-10
5.875,1998-07-13
5.625,1998-07-14
5.8125,1998-07-15
5.765625,1998-07-16
5.75,1998-07-17
5.546875,1998-07-20
5.625,1998-07-21
5.46875,1998-07-22
5.3125,1998-07-23
5.210937976837158,1998-07-24
4.875,1998-07-27
5.09375,1998-07-28
5.0625,1998-07-29
5.125,1998-07-30
5.101562976837158,1998-07-31
5.015625,1998-08-03
4.65625,1998-08-04
4.71875,1998-08-05
4.953125,1998-08-06
4.828125,1998-08-07
4.632812976837158,1998-08-10
4.625,1998-08-11
4.734375,1998-08-12
4.546875,1998-08-13
4.429687976837158,1998-08-14
4.4375,1998-08-17
4.6875,1998-08-18
4.828125,1998-08-19
4.84375,1998-08-20
4.78125,1998-08-21
4.796875,1998-08-24
4.65625,1998-08-25
4.609375,1998-08-26
4.375,1998-08-27
4.234375,1998-08-28
3.375,1998-08-31
3.5625,1998-09-01
3.1875,1998-09-02
3.070312976837158,1998-09-03
2.828125,1998-09-04
3.125,1998-09-08
3.148437976837158,1998-09-09
3.242187976837158,1998-09-10
3.6875,1998-09-11
3.796875,1998-09-14
4.0,1998-09-15
4.1875,1998-09-16
3.9375,1998-09-17
4.0,1998-09-18
3.890625,1998-09-21
4.015625,1998-09-22
4.625,1998-09-23
4.65625,1998-09-24
4.46875,1998-09-25
4.78125,1998-09-28
4.59375,1998-09-29
4.429687976837158,1998-09-30
4.054687976837158,1998-10-01
4.125,1998-10-02
3.71875,1998-10-05
3.640625,1998-10-06
3.75,1998-10-07
3.765625,1998-10-08
3.796875,1998-10-09
4.203125,1998-10-12
4.296875,1998-10-13
4.296875,1998-10-14
4.640625,1998-10-15
5.265625,1998-10-16
5.375,1998-10-19
5.375,1998-10-20
5.359375,1998-10-21
5.375,1998-10-22
5.640625,1998-10-23
5.59375,1998-10-26
5.859375,1998-10-27
6.0,1998-10-28
6.25,1998-10-29
6.492187976837158,1998-10-30
6.226562976837158,1998-11-02
