GL,Date
4.03902530670166,1991-07-03
4.03902530670166,1991-07-05
3.9755866527557373,1991-07-08
3.996734619140625,1991-07-09
4.03902530670166,1991-07-10
4.091892719268799,1991-07-11
4.113039970397949,1991-07-12
4.113039970397949,1991-07-15
4.123610973358154,1991-07-16
4.123610973358154,1991-07-17
4.165905475616455,1991-07-18
4.2082014083862305,1991-07-19
4.21877384185791,1991-07-22
4.21877384185791,1991-07-23
4.21877384185791,1991-07-24
4.2082014083862305,1991-07-25
4.21877384185791,1991-07-26
4.2082014083862305,1991-07-29
4.261066436767578,1991-07-30
4.25049352645874,1991-07-31
4.292787075042725,1991-08-01
4.335080623626709,1991-08-02
4.25049352645874,1991-08-05
4.292787075042725,1991-08-06
4.261066436767578,1991-08-07
4.25049352645874,1991-08-08
4.22934627532959,1991-08-09
4.2082014083862305,1991-08-12
4.239920139312744,1991-08-13
4.197626113891602,1991-08-14
4.187052249908447,1991-08-15
4.123610973358154,1991-08-16
4.070745944976807,1991-08-19
4.070745944976807,1991-08-20
4.165905475616455,1991-08-21
4.144759654998779,1991-08-22
4.22934627532959,1991-08-23
4.239920139312744,1991-08-26
4.21877384185791,1991-08-27
4.25049352645874,1991-08-28
4.25049352645874,1991-08-29
4.25049352645874,1991-08-30
4.292787075042725,1991-09-03
4.313934803009033,1991-09-04
4.377373218536377,1991-09-05
4.387948036193848,1991-09-06
4.3985209465026855,1991-09-09
4.335080623626709,1991-09-10
4.292787075042725,1991-09-11
4.271641254425049,1991-09-12
4.22934627532959,1991-09-13
4.239920139312744,1991-09-16
4.2082014083862305,1991-09-17
4.197626113891602,1991-09-18
4.187052249908447,1991-09-19
4.25049352645874,1991-09-20
4.2082014083862305,1991-09-23
4.25049352645874,1991-09-24
4.165905475616455,1991-09-25
4.176481246948242,1991-09-26
4.2082014083862305,1991-09-27
4.21877384185791,1991-09-30
4.25049352645874,1991-10-01
4.32450532913208,1991-10-02
4.273353576660156,1991-10-03
4.220067977905273,1991-10-04
4.230726718902588,1991-10-07
4.2946696281433105,1991-10-08
4.230726718902588,1991-10-09
4.284012317657471,1991-10-10
4.273353576660156,1991-10-11
4.369266986846924,1991-10-14
4.422550201416016,1991-10-15
4.411893367767334,1991-10-16
4.486487865447998,1991-10-17
4.529116153717041,1991-10-18
4.486487865447998,1991-10-21
4.465176582336426,1991-10-22
4.411893367767334,1991-10-23
4.422550201416016,1991-10-24
4.422550201416016,1991-10-25
4.507802963256836,1991-10-28
4.454520225524902,1991-10-29
4.486487865447998,1991-10-30
4.518458843231201,1991-10-31
4.507802963256836,1991-11-01
4.486487865447998,1991-11-04
4.507802963256836,1991-11-05
4.518458843231201,1991-11-06
4.614371299743652,1991-11-07
4.625028610229492,1991-11-08
4.667654514312744,1991-11-11
4.7102789878845215,1991-11-12
4.678310394287109,1991-11-13
4.688968181610107,1991-11-14
4.539773464202881,1991-11-15
4.454520225524902,1991-11-18
4.433204174041748,1991-11-19
4.465176582336426,1991-11-20
4.465176582336426,1991-11-21
4.443864345550537,1991-11-22
4.390577793121338,1991-11-25
4.518458843231201,1991-11-26
4.486487865447998,1991-11-27
4.475833415985107,1991-11-29
4.475833415985107,1991-12-02
4.486487865447998,1991-12-03
4.486487865447998,1991-12-04
4.465176582336426,1991-12-05
4.465176582336426,1991-12-06
4.433204174041748,1991-12-09
4.411893367767334,1991-12-10
4.401235580444336,1991-12-11
4.507802963256836,1991-12-12
4.5504302978515625,1991-12-13
4.561086177825928,1991-12-16
4.529116153717041,1991-12-17
4.486487865447998,1991-12-18
4.539773464202881,1991-12-19
4.614371299743652,1991-12-20
4.603713035583496,1991-12-23
4.635685443878174,1991-12-24
4.667654514312744,1991-12-26
4.742250919342041,1991-12-27
4.976700782775879,1991-12-30
4.934070587158203,1991-12-31
4.912757873535156,1992-01-02
4.923418998718262,1992-01-03
5.0006818771362305,1992-01-06
5.065066814422607,1992-01-07
5.097259044647217,1992-01-08
5.05433464050293,1992-01-09
5.129453659057617,1992-01-10
5.03287410736084,1992-01-13
5.107992172241211,1992-01-14
5.22603178024292,1992-01-15
5.17237663269043,1992-01-16
5.279686450958252,1992-01-17
5.215303421020508,1992-01-20
5.075796127319336,1992-01-21
5.065066814422607,1992-01-22
5.022144317626953,1992-01-23
4.957757472991943,1992-01-24
5.03287410736084,1992-01-27
5.097259044647217,1992-01-28
5.097259044647217,1992-01-29
5.1187238693237305,1992-01-30
4.989949703216553,1992-01-31
5.043603420257568,1992-02-03
4.979217529296875,1992-02-04
4.947021961212158,1992-02-05
4.764595031738281,1992-02-06
4.721673011779785,1992-02-07
4.914830684661865,1992-02-10
4.861174583435059,1992-02-11
4.818251132965088,1992-02-12
4.796789169311523,1992-02-13
4.904101848602295,1992-02-14
4.786060333251953,1992-02-18
4.807522296905518,1992-02-19
4.871908187866211,1992-02-20
4.871908187866211,1992-02-21
4.904101848602295,1992-02-24
4.871908187866211,1992-02-25
4.893366813659668,1992-02-26
4.871908187866211,1992-02-27
4.957757472991943,1992-02-28
4.979217529296875,1992-03-02
5.05433464050293,1992-03-03
5.075796127319336,1992-03-04
5.03287410736084,1992-03-05
5.086529731750488,1992-03-06
5.03287410736084,1992-03-09
5.075796127319336,1992-03-10
5.022144317626953,1992-03-11
5.0006818771362305,1992-03-12
4.957757472991943,1992-03-13
5.043603420257568,1992-03-16
5.107992172241211,1992-03-17
5.161645412445068,1992-03-18
5.107992172241211,1992-03-19
5.097259044647217,1992-03-20
5.097259044647217,1992-03-23
5.065066814422607,1992-03-24
4.957757472991943,1992-03-25
5.05433464050293,1992-03-26
4.957757472991943,1992-03-27
4.8826398849487305,1992-03-30
4.893366813659668,1992-03-31
4.839712142944336,1992-04-01
4.786060333251953,1992-04-02
4.786060333251953,1992-04-03
4.939539909362793,1992-04-06
4.961158275604248,1992-04-07
4.961158275604248,1992-04-08
5.015200614929199,1992-04-09
5.069243907928467,1992-04-10
5.198948383331299,1992-04-13
5.231372356414795,1992-04-14
5.17733097076416,1992-04-15
5.166520118713379,1992-04-16
5.134096145629883,1992-04-20
5.069243907928467,1992-04-21
5.026008605957031,1992-04-22
4.961158275604248,1992-04-23
4.939539909362793,1992-04-24
4.961158275604248,1992-04-27
4.744986534118652,1992-04-28
4.939539909362793,1992-04-29
4.917924404144287,1992-04-30
4.863880634307861,1992-05-01
4.8530731201171875,1992-05-04
4.8098368644714355,1992-05-05
4.8530731201171875,1992-05-06
4.885497093200684,1992-05-07
4.993584632873535,1992-05-08
5.101669788360596,1992-05-11
5.155713081359863,1992-05-12
5.134096145629883,1992-05-13
5.015200614929199,1992-05-14
5.015200614929199,1992-05-15
5.069243907928467,1992-05-18
5.144905090332031,1992-05-19
5.112479209899902,1992-05-20
5.069243907928467,1992-05-21
5.047626972198486,1992-05-22
4.993584632873535,1992-05-26
4.993584632873535,1992-05-27
5.026008605957031,1992-05-28
4.971965312957764,1992-05-29
4.993584632873535,1992-06-01
4.993584632873535,1992-06-02
5.112479209899902,1992-06-03
5.317842960357666,1992-06-04
5.285414695739746,1992-06-05
5.49077844619751,1992-06-08
5.42592716217041,1992-06-09
5.41511869430542,1992-06-10
5.469162464141846,1992-06-11
5.38269567489624,1992-06-12
5.371882438659668,1992-06-15
5.404313564300537,1992-06-16
5.43673849105835,1992-06-17
5.512397289276123,1992-06-18
5.501588821411133,1992-06-19
5.5448222160339355,1992-06-22
5.609675407409668,1992-06-23
5.782613277435303,1992-06-24
5.620481014251709,1992-06-25
5.696142673492432,1992-06-26
5.7934184074401855,1992-06-29
5.869081020355225,1992-06-30
5.869081020355225,1992-07-01
5.706954479217529,1992-07-02
5.763499736785889,1992-07-06
5.817873001098633,1992-07-07
5.915744781494141,1992-07-08
5.904868125915527,1992-07-09
5.872247219085693,1992-07-10
5.883121013641357,1992-07-13
6.024487018585205,1992-07-14
6.024487018585205,1992-07-15
6.024487018585205,1992-07-16
6.046236991882324,1992-07-17
6.057113170623779,1992-07-20
6.035365581512451,1992-07-21
6.024487018585205,1992-07-22
6.046236991882324,1992-07-23
6.024487018585205,1992-07-24
6.002739429473877,1992-07-27
6.046236991882324,1992-07-28
6.144108772277832,1992-07-29
6.241982460021973,1992-07-30
6.252854347229004,1992-07-31
6.241982460021973,1992-08-03
6.307226181030273,1992-08-04
6.274602890014648,1992-08-05
6.307226181030273,1992-08-06
6.328973770141602,1992-08-07
6.31810188293457,1992-08-10
6.350723743438721,1992-08-11
6.361595153808594,1992-08-12
6.328973770141602,1992-08-13
6.307226181030273,1992-08-14
6.350723743438721,1992-08-17
6.307226181030273,1992-08-18
6.252854347229004,1992-08-19
6.361595153808594,1992-08-20
6.58996057510376,1992-08-21
6.377908706665039,1992-08-24
6.2800397872924805,1992-08-25
6.231104373931885,1992-08-26
6.231104373931885,1992-08-27
6.067987442016602,1992-08-28
6.116922855377197,1992-08-31
6.133233070373535,1992-09-01
6.149545192718506,1992-09-02
6.328973770141602,1992-09-03
6.296351909637451,1992-09-04
6.2800397872924805,1992-09-08
6.328973770141602,1992-09-09
6.50840425491333,1992-09-10
6.58996057510376,1992-09-11
6.687834739685059,1992-09-14
6.50840425491333,1992-09-15
6.638901710510254,1992-09-16
6.687834739685059,1992-09-17
6.818329334259033,1992-09-18
6.67152214050293,1992-09-21
6.638901710510254,1992-09-22
6.573649883270264,1992-09-23
6.541025161743164,1992-09-24
6.638901710510254,1992-09-25
6.802016735076904,1992-09-28
6.720458030700684,1992-09-29
6.541025161743164,1992-09-30
6.622586727142334,1992-10-01
6.6062750816345215,1992-10-02
6.638901710510254,1992-10-05
6.622586727142334,1992-10-06
6.655210971832275,1992-10-07
6.67152214050293,1992-10-08
6.493380069732666,1992-10-09
6.6081624031066895,1992-10-12
6.575370788574219,1992-10-13
6.6081624031066895,1992-10-14
6.62455940246582,1992-10-15
6.657354354858398,1992-10-16
6.739342212677002,1992-10-19
6.870523929595947,1992-10-20
6.968905448913574,1992-10-21
6.7229437828063965,1992-10-22
6.8377251625061035,1992-10-23
7.034493446350098,1992-10-26
6.886921405792236,1992-10-27
6.9033203125,1992-10-28
6.870523929595947,1992-10-29
6.739342212677002,1992-10-30
6.870523929595947,1992-11-02
6.804931640625,1992-11-03
6.854124069213867,1992-11-04
6.886921405792236,1992-11-05
6.9033203125,1992-11-06
7.034493446350098,1992-11-09
7.034493446350098,1992-11-10
7.132883071899414,1992-11-11
7.050894737243652,1992-11-12
7.018097877502441,1992-11-13
7.001699447631836,1992-11-16
6.919714450836182,1992-11-17
6.739342212677002,1992-11-18
6.7229437828063965,1992-11-19
6.640960216522217,1992-11-20
6.575370788574219,1992-11-23
6.62455940246582,1992-11-24
6.739342212677002,1992-11-25
6.772138595581055,1992-11-27
6.755739688873291,1992-11-30
6.804931640625,1992-12-01
6.6737542152404785,1992-12-02
6.804931640625,1992-12-03
6.755739688873291,1992-12-04
6.821330547332764,1992-12-07
6.936110019683838,1992-12-08
6.919714450836182,1992-12-09
6.9033203125,1992-12-10
6.936110019683838,1992-12-11
6.936110019683838,1992-12-14
6.886921405792236,1992-12-15
6.919714450836182,1992-12-16
7.050894737243652,1992-12-17
7.280457973480225,1992-12-18
7.329654693603516,1992-12-21
7.444431304931641,1992-12-22
7.444431304931641,1992-12-23
