HRL,Date
0.1251881718635559,1981-04-06
0.1251881718635559,1981-04-07
0.1251881718635559,1981-04-08
0.1251881718635559,1981-04-09
0.1271146535873413,1981-04-10
0.1261511743068695,1981-04-13
0.122299425303936,1981-04-14
0.122299425303936,1981-04-15
0.1251881718635559,1981-04-16
0.12422534078359604,1981-04-20
0.12326241284608841,1981-04-21
0.1261511743068695,1981-04-22
0.1271146535873413,1981-04-23
0.1261511743068695,1981-04-24
0.1251881718635559,1981-04-27
0.12422534078359604,1981-04-28
0.12133659422397614,1981-04-29
0.12133659422397614,1981-04-30
0.12326241284608841,1981-05-01
0.1251881718635559,1981-05-04
0.1251881718635559,1981-05-05
0.1271146535873413,1981-05-06
0.12422534078359604,1981-05-07
0.1271146535873413,1981-05-08
0.1271146535873413,1981-05-11
0.1251881718635559,1981-05-12
0.12422534078359604,1981-05-13
0.12422534078359604,1981-05-14
0.1319292187690735,1981-05-15
0.1328921765089035,1981-05-18
0.1328921765089035,1981-05-19
0.1309661865234375,1981-05-20
0.1328921765089035,1981-05-21
0.1319292187690735,1981-05-22
0.13385504484176636,1981-05-26
0.13481852412223816,1981-05-27
0.13481852412223816,1981-05-28
0.1415589302778244,1981-05-29
0.13963311910629272,1981-06-01
0.1454111486673355,1981-06-02
0.14926281571388245,1981-06-03
0.14637401700019836,1981-06-04
0.1444481909275055,1981-06-05
0.1415589302778244,1981-06-08
0.14348527789115906,1981-06-09
0.1444481909275055,1981-06-10
0.14252237975597382,1981-06-11
0.14348527789115906,1981-06-12
0.1444481909275055,1981-06-15
0.1444481909275055,1981-06-16
0.14252237975597382,1981-06-17
0.14252237975597382,1981-06-18
0.1444481909275055,1981-06-19
0.1444481909275055,1981-06-22
0.14252237975597382,1981-06-23
0.14252237975597382,1981-06-24
0.14252237975597382,1981-06-25
0.1444481909275055,1981-06-26
0.1454111486673355,1981-06-29
0.14637401700019836,1981-06-30
0.14637401700019836,1981-07-01
0.14733710885047913,1981-07-02
0.14733710885047913,1981-07-06
0.15022625029087067,1981-07-07
0.1444481909275055,1981-07-08
0.1444481909275055,1981-07-09
0.1454111486673355,1981-07-10
0.14252237975597382,1981-07-13
0.14348527789115906,1981-07-14
0.14637401700019836,1981-07-15
0.1454111486673355,1981-07-16
0.14637401700019836,1981-07-17
0.14348527789115906,1981-07-20
0.14348527789115906,1981-07-21
0.14252237975597382,1981-07-22
