HWM,Date
23.681787490844727,2017-10-23
23.662334442138672,2017-10-24
24.16806411743164,2017-10-25
23.915203094482422,2017-10-26
23.934650421142578,2017-10-27
24.099987030029297,2017-10-30
24.430654525756836,2017-10-31
24.430654525756836,2017-11-01
24.606136322021484,2017-11-02
24.703630447387695,2017-11-03
24.96683692932129,2017-11-06
24.450153350830078,2017-11-07
24.157691955566406,2017-11-08
23.835975646972656,2017-11-09
23.631248474121094,2017-11-10
23.192550659179688,2017-11-13
22.617368698120117,2017-11-14
22.773344039916992,2017-11-15
23.13405418395996,2017-11-16
23.251047134399414,2017-11-17
23.290037155151367,2017-11-20
23.14380645751953,2017-11-21
23.153553009033203,2017-11-22
23.387521743774414,2017-11-24
23.01706886291504,2017-11-27
23.621498107910156,2017-11-28
23.46551513671875,2017-11-29
23.991960525512695,2017-11-30
23.884719848632812,2017-12-01
24.10894012451172,2017-12-04
23.621498107910156,2017-12-05
23.52401351928711,2017-12-06
23.972463607788086,2017-12-07
23.8554744720459,2017-12-08
23.816476821899414,2017-12-11
24.03095245361328,2017-12-12
24.54764175415039,2017-12-13
24.362409591674805,2017-12-14
24.664623260498047,2017-12-15
24.96683692932129,2017-12-18
24.986337661743164,2017-12-19
25.47378921508789,2017-12-20
26.126962661743164,2017-12-21
26.15620994567871,2017-12-22
26.390178680419922,2017-12-26
26.653396606445312,2017-12-27
26.926362991333008,2017-12-28
26.565654754638672,2017-12-29
27.062849044799805,2018-01-02
27.277324676513672,2018-01-03
28.58367347717285,2018-01-04
28.866390228271484,2018-01-05
29.012619018554688,2018-01-08
29.06136703491211,2018-01-09
29.041868209838867,2018-01-10
29.63654899597168,2018-01-11
30.06549644470215,2018-01-12
29.646297454833984,2018-01-16
29.773035049438477,2018-01-17
29.58780288696289,2018-01-18
29.46106719970703,2018-01-19
29.665794372558594,2018-01-22
29.5390625,2018-01-23
29.714536666870117,2018-01-24
29.704790115356445,2018-01-25
30.06549644470215,2018-01-26
