DFS,Date
18.740053176879883,2011-06-21
18.389259338378906,2011-06-22
18.623125076293945,2011-06-23
19.324705123901367,2011-06-24
19.6521053314209,2011-06-27
20.377077102661133,2011-06-28
20.743459701538086,2011-06-29
20.85259437561035,2011-06-30
20.696687698364258,2011-07-01
20.94670867919922,2011-07-05
21.126401901245117,2011-07-06
21.501428604125977,2011-07-07
21.188915252685547,2011-07-08
20.860761642456055,2011-07-11
20.665441513061523,2011-07-12
20.423227310180664,2011-07-13
19.860700607299805,2011-07-14
19.868511199951172,2011-07-15
20.157583236694336,2011-07-18
20.165407180786133,2011-07-19
20.360719680786133,2011-07-20
20.688875198364258,2011-07-21
20.290409088134766,2011-07-22
20.446680068969727,2011-07-25
20.376358032226562,2011-07-26
19.93101692199707,2011-07-27
20.13414764404297,2011-07-28
20.00914764404297,2011-07-29
20.001333236694336,2011-08-01
19.290342330932617,2011-08-02
19.438791275024414,2011-08-03
18.313716888427734,2011-08-04
17.83712387084961,2011-08-05
16.19638442993164,2011-08-08
17.680864334106445,2011-08-09
17.094884872436523,2011-08-10
18.360593795776367,2011-08-11
18.2277774810791,2011-08-12
18.649669647216797,2011-08-15
18.516855239868164,2011-08-16
18.751249313354492,2011-08-17
17.829307556152344,2011-08-18
17.89963150024414,2011-08-19
18.165273666381836,2011-08-22
18.673112869262695,2011-08-23
19.39972496032715,2011-08-24
19.06376838684082,2011-08-25
19.368480682373047,2011-08-26
19.61849021911621,2011-08-29
19.47004508972168,2011-08-30
19.65755844116211,2011-08-31
19.40753936767578,2011-09-01
18.923141479492188,2011-09-02
18.665302276611328,2011-09-06
19.38409996032715,2011-09-07
19.12627410888672,2011-09-08
18.688743591308594,2011-09-09
19.555992126464844,2011-09-12
19.595046997070312,2011-09-13
20.157583236694336,2011-09-14
20.462297439575195,2011-09-15
20.681066513061523,2011-09-16
20.524803161621094,2011-09-19
20.931079864501953,2011-09-20
19.79818344116211,2011-09-21
19.727880477905273,2011-09-22
19.805999755859375,2011-09-23
20.3372859954834,2011-09-26
19.423168182373047,2011-09-27
18.657485961914062,2011-09-28
18.438724517822266,2011-09-29
17.92306900024414,2011-09-30
17.391782760620117,2011-10-03
17.908830642700195,2011-10-04
18.01068115234375,2011-10-05
18.79408836364746,2011-10-06
18.339710235595703,2011-10-07
19.20929718017578,2011-10-10
19.546171188354492,2011-10-11
19.922208786010742,2011-10-12
18.989946365356445,2011-10-13
18.903766632080078,2011-10-14
17.916669845581055,2011-10-17
18.05768394470215,2011-10-18
17.305604934692383,2011-10-19
17.603307723999023,2011-10-20
18.13602066040039,2011-10-21
19.154462814331055,2011-10-24
17.95583724975586,2011-10-25
18.2535400390625,2011-10-26
19.20929718017578,2011-10-27
19.177967071533203,2011-10-28
18.457216262817383,2011-10-31
17.893165588378906,2011-11-01
18.46505355834961,2011-11-02
19.279800415039062,2011-11-03
19.193634033203125,2011-11-04
19.365978240966797,2011-11-07
19.24063491821289,2011-11-08
18.52773094177246,2011-11-09
18.598237991333008,2011-11-10
19.4051513671875,2011-11-11
19.24063491821289,2011-11-14
19.514829635620117,2011-11-15
18.582571029663086,2011-11-16
17.77565574645996,2011-11-17
18.042016983032227,2011-11-18
17.908830642700195,2011-11-21
18.18303108215332,2011-11-22
17.9480037689209,2011-11-23
17.987178802490234,2011-11-25
18.143856048583984,2011-11-28
17.81482696533203,2011-11-29
18.66090965270996,2011-11-30
18.833261489868164,2011-12-01
18.966440200805664,2011-12-02
19.20146369934082,2011-12-05
19.099620819091797,2011-12-06
19.21712875366211,2011-12-07
18.778427124023438,2011-12-08
19.381649017333984,2011-12-09
18.966440200805664,2011-12-12
18.707910537719727,2011-12-13
18.66090965270996,2011-12-14
18.073347091674805,2011-12-15
18.982105255126953,2011-12-16
18.46505355834961,2011-12-19
18.974273681640625,2011-12-20
18.93511199951172,2011-12-21
19.036949157714844,2011-12-22
19.18579864501953,2011-12-23
19.028470993041992,2011-12-27
18.83968162536621,2011-12-28
18.989139556884766,2011-12-29
18.879009246826172,2011-12-30
19.04420280456543,2012-01-03
19.12286949157715,2012-01-04
19.288055419921875,2012-01-05
19.115001678466797,2012-01-06
19.193660736083984,2012-01-09
20.17694854736328,2012-01-10
20.34213638305664,2012-01-11
20.711849212646484,2012-01-12
20.853439331054688,2012-01-13
21.238887786865234,2012-01-17
21.175960540771484,2012-01-18
21.34115219116211,2012-01-19
21.545677185058594,2012-01-20
21.820995330810547,2012-01-23
21.891786575317383,2012-01-24
21.59287452697754,2012-01-25
21.99405288696289,2012-01-26
21.34901237487793,2012-01-27
21.46701431274414,2012-01-30
21.380481719970703,2012-01-31
21.805259704589844,2012-02-01
21.82886505126953,2012-02-02
22.198570251464844,2012-02-03
22.245771408081055,2012-02-06
22.764949798583984,2012-02-07
22.639087677001953,2012-02-08
22.725610733032227,2012-02-09
22.167112350463867,2012-02-10
22.5604190826416,2012-02-13
22.40309715270996,2012-02-14
22.820011138916016,2012-02-15
23.26838493347168,2012-02-16
23.236915588378906,2012-02-17
23.354917526245117,2012-02-21
23.37850570678711,2012-02-22
23.630233764648438,2012-02-23
23.748226165771484,2012-02-24
23.4729061126709,2012-02-27
23.889820098876953,2012-02-28
23.606639862060547,2012-02-29
24.125810623168945,2012-03-01
24.01568031311035,2012-03-02
23.984210968017578,2012-03-05
23.543699264526367,2012-03-06
23.905555725097656,2012-03-07
23.897686004638672,2012-03-08
24.0786075592041,2012-03-09
24.212337493896484,2012-03-12
25.187747955322266,2012-03-13
25.203489303588867,2012-03-14
25.187747955322266,2012-03-15
25.211355209350586,2012-03-16
25.549596786499023,2012-03-19
25.061887741088867,2012-03-20
24.888830184936523,2012-03-21
25.557466506958008,2012-03-22
26.611543655395508,2012-03-23
26.611543655395508,2012-03-26
26.595808029174805,2012-03-27
26.084495544433594,2012-03-28
25.919313430786133,2012-03-29
26.226093292236328,2012-03-30
26.5092830657959,2012-04-02
26.43827247619629,2012-04-03
26.035892486572266,2012-04-04
26.099021911621094,2012-04-05
25.759765625,2012-04-09
25.388946533203125,2012-04-10
25.783437728881836,2012-04-11
26.248924255371094,2012-04-12
25.94911766052246,2012-04-13
25.657194137573242,2012-04-16
25.90178680419922,2012-04-17
25.759765625,2012-04-18
25.85443878173828,2012-04-19
25.980669021606445,2012-04-20
25.85443878173828,2012-04-23
25.86232566833496,2012-04-24
26.461938858032227,2012-04-25
26.730199813842773,2012-04-26
26.895875930786133,2012-04-27
26.745969772338867,2012-04-30
27.132572174072266,2012-05-01
27.07733917236328,2012-05-02
26.6355037689209,2012-05-03
26.446165084838867,2012-05-04
26.430387496948242,2012-05-07
26.335710525512695,2012-05-08
26.335710525512695,2012-05-09
26.430387496948242,2012-05-10
26.919538497924805,2012-05-11
26.509281158447266,2012-05-14
26.351491928100586,2012-05-15
26.106910705566406,2012-05-16
24.844562530517578,2012-05-17
24.86823272705078,2012-05-18
25.64930534362793,2012-05-21
25.515188217163086,2012-05-22
25.5230712890625,2012-05-23
25.736095428466797,2012-05-24
25.8228816986084,2012-05-25
26.31993293762207,2012-05-29
26.248924255371094,2012-05-30
26.12269401550293,2012-05-31
24.237058639526367,2012-06-01
24.300172805786133,2012-06-04
24.497413635253906,2012-06-05
24.931350708007812,2012-06-06
25.452068328857422,2012-06-07
25.893888473510742,2012-06-08
25.562522888183594,2012-06-11
25.9727783203125,2012-06-12
25.341609954833984,2012-06-13
25.538848876953125,2012-06-14
26.028017044067383,2012-06-15
25.90178680419922,2012-06-18
26.48561668395996,2012-06-19
26.935317993164062,2012-06-20
26.390939712524414,2012-06-21
26.517169952392578,2012-06-22
26.509281158447266,2012-06-25
26.43827247619629,2012-06-26
26.564504623413086,2012-06-27
26.31993293762207,2012-06-28
27.282468795776367,2012-06-29
27.606882095336914,2012-07-02
28.049983978271484,2012-07-03
27.978778839111328,2012-07-05
27.93921661376953,2012-07-06
27.701828002929688,2012-07-09
27.092573165893555,2012-07-10
27.4169921875,2012-07-11
27.3299503326416,2012-07-12
27.662275314331055,2012-07-13
27.8126163482666,2012-07-16
28.239892959594727,2012-07-17
27.82842445373535,2012-07-18
27.638530731201172,2012-07-19
27.622716903686523,2012-07-20
27.298301696777344,2012-07-23
27.092573165893555,2012-07-24
27.04509162902832,2012-07-25
28.1132869720459,2012-07-26
28.809595108032227,2012-07-27
28.864973068237305,2012-07-30
28.453523635864258,2012-07-31
28.247798919677734,2012-08-01
27.907560348510742,2012-08-02
28.872892379760742,2012-08-03
28.96784210205078,2012-08-06
29.181480407714844,2012-08-07
29.33972930908203,2012-08-08
28.9045467376709,2012-08-09
29.149831771850586,2012-08-10
29.110267639160156,2012-08-13
29.046968460083008,2012-08-14
29.157743453979492,2012-08-15
29.91735076904297,2012-08-16
29.88570785522461,2012-08-17
29.410947799682617,2012-08-20
29.27642059326172,2012-08-21
30.407922744750977,2012-08-22
30.146804809570312,2012-08-23
30.542436599731445,2012-08-24
30.795642852783203,2012-08-27
30.50288963317871,2012-08-28
30.46330451965332,2012-08-29
30.36045265197754,2012-08-30
30.64529800415039,2012-08-31
30.66112518310547,2012-09-04
29.996469497680664,2012-09-05
30.249671936035156,2012-09-06
30.4395751953125,2012-09-07
30.241748809814453,2012-09-10
30.336708068847656,2012-09-11
30.273418426513672,2012-09-12
31.064653396606445,2012-09-13
31.104230880737305,2012-09-14
30.64529800415039,2012-09-17
30.471233367919922,2012-09-18
30.471233367919922,2012-09-19
30.194286346435547,2012-09-20
30.558269500732422,2012-09-21
30.5661678314209,2012-09-24
29.782835006713867,2012-09-25
29.292266845703125,2012-09-26
31.420724868774414,2012-09-27
31.436552047729492,2012-09-28
31.58689308166504,2012-10-01
31.325124740600586,2012-10-02
31.4916934967041,2012-10-03
32.05491256713867,2012-10-04
32.039039611816406,2012-10-05
31.959726333618164,2012-10-08
31.5472354888916,2012-10-09
31.285470962524414,2012-10-10
31.404455184936523,2012-10-11
30.769853591918945,2012-10-12
31.24579429626465,2012-10-15
31.769336700439453,2012-10-16
32.3642692565918,2012-10-17
32.07077407836914,2012-10-18
31.428234100341797,2012-10-19
31.690025329589844,2012-10-22
31.41237449645996,2012-10-23
31.594833374023438,2012-10-24
31.61069107055664,2012-10-25
31.92799186706543,2012-10-26
32.52292251586914,2012-10-31
32.776763916015625,2012-11-01
32.50706100463867,2012-11-02
31.935911178588867,2012-11-05
32.8560791015625,2012-11-06
32.205631256103516,2012-11-07
32.33253860473633,2012-11-08
32.58638381958008,2012-11-09
32.64982986450195,2012-11-12
32.66571044921875,2012-11-13
31.713815689086914,2012-11-14
30.412893295288086,2012-11-15
31.30132484436035,2012-11-16
32.37221145629883,2012-11-19
32.75295639038086,2012-11-20
32.626033782958984,2012-11-21
