MCIC,Date
2238295.5,2000-11-06
2238295.5,2000-11-07
1807848.5,2000-11-08
1807848.5,2000-11-09
2238295.5,2000-11-10
2066113.625,2000-11-13
2066113.625,2000-11-14
1893939.375,2000-11-15
1893939.375,2000-11-16
1893939.375,2000-11-17
1721765.125,2000-11-20
1893939.375,2000-11-21
1721765.125,2000-11-22
1721765.125,2000-11-24
1807848.5,2000-11-27
1807848.5,2000-11-28
1807848.5,2000-11-29
1635674.25,2000-11-30
1721765.125,2000-12-01
1377409.125,2000-12-04
1635674.25,2000-12-05
1635674.25,2000-12-06
1635674.25,2000-12-07
1549583.375,2000-12-08
1463500.0,2000-12-11
1463500.0,2000-12-12
1205234.875,2000-12-13
1033060.625,2000-12-14
1033060.625,2000-12-15
774795.4375,2000-12-18
792007.5625,2000-12-19
1033060.625,2000-12-20
688704.5625,2000-12-21
774795.4375,2000-12-22
688704.5625,2000-12-26
860878.8125,2000-12-27
860878.8125,2000-12-28
774795.4375,2000-12-29
774795.4375,2001-01-02
774795.4375,2001-01-03
774795.4375,2001-01-04
774795.4375,2001-01-05
774795.4375,2001-01-08
774795.4375,2001-01-09
774795.4375,2001-01-10
1721765.125,2001-01-11
1291325.75,2001-01-12
1205234.875,2001-01-16
1549583.375,2001-01-17
1549583.375,2001-01-18
1377409.125,2001-01-19
1205234.875,2001-01-22
1377409.125,2001-01-23
1377409.125,2001-01-24
1549583.375,2001-01-25
1377409.125,2001-01-26
1377409.125,2001-01-29
1205234.875,2001-01-30
1205234.875,2001-01-31
1205234.875,2001-02-01
1291325.75,2001-02-02
1291325.75,2001-02-05
1291325.75,2001-02-06
1291325.75,2001-02-07
1291325.75,2001-02-08
1205234.875,2001-02-09
1205234.875,2001-02-12
1205234.875,2001-02-13
1033060.625,2001-02-14
1033060.625,2001-02-15
1033060.625,2001-02-16
1033060.625,2001-02-20
1291325.75,2001-02-21
1205234.875,2001-02-22
1205234.875,2001-02-23
1205234.875,2001-02-26
1205234.875,2001-02-27
1205234.875,2001-02-28
1291325.75,2001-03-01
1291325.75,2001-03-02
1205234.875,2001-03-05
1205234.875,2001-03-06
1205234.875,2001-03-07
1119144.0,2001-03-08
1205234.875,2001-03-09
1205234.875,2001-03-12
1033060.625,2001-03-13
1205234.875,2001-03-14
1205234.875,2001-03-15
1205234.875,2001-03-16
1033060.625,2001-03-19
1033060.625,2001-03-20
1205234.875,2001-03-21
1033060.625,2001-03-22
1033060.625,2001-03-23
946969.6875,2001-03-26
946969.6875,2001-03-27
946969.6875,2001-03-28
946969.6875,2001-03-29
946969.6875,2001-03-30
878098.5,2001-04-02
860878.8125,2001-04-03
774795.4375,2001-04-04
774795.4375,2001-04-05
860878.8125,2001-04-06
774795.4375,2001-04-09
860878.8125,2001-04-10
688704.5625,2001-04-11
774795.4375,2001-04-12
671484.875,2001-04-16
671484.875,2001-04-17
671484.875,2001-04-18
