PKG,Date
91.70500183105469,2020-02-05
92.16438293457031,2020-02-06
89.5583724975586,2020-02-07
88.84280395507812,2020-02-10
90.63610076904297,2020-02-11
89.88521575927734,2020-02-12
88.32160949707031,2020-02-13
87.40288543701172,2020-02-14
87.73857116699219,2020-02-18
87.39405059814453,2020-02-19
87.54421997070312,2020-02-20
90.42408752441406,2020-02-21
87.40288543701172,2020-02-24
83.2862777709961,2020-02-25
83.22443389892578,2020-02-26
81.20146942138672,2020-02-27
80.05305480957031,2020-02-28
83.7456283569336,2020-03-02
80.30040740966797,2020-03-03
82.96824645996094,2020-03-04
80.39759063720703,2020-03-05
80.19438171386719,2020-03-06
75.12371826171875,2020-03-09
79.5760269165039,2020-03-10
75.41525268554688,2020-03-11
69.03108215332031,2020-03-12
75.21907806396484,2020-03-13
72.19642639160156,2020-03-16
83.58269500732422,2020-03-17
81.1663589477539,2020-03-18
78.87481689453125,2020-03-19
76.57438659667969,2020-03-20
67.96109771728516,2020-03-23
70.95703125,2020-03-24
71.17993927001953,2020-03-25
77.81375885009766,2020-03-26
76.76162719726562,2020-03-27
80.92560577392578,2020-03-30
77.42144012451172,2020-03-31
74.80892944335938,2020-04-01
74.86241912841797,2020-04-02
71.7862548828125,2020-04-03
76.17312622070312,2020-04-06
75.78974151611328,2020-04-07
78.32200622558594,2020-04-08
80.65811920166016,2020-04-09
79.2314682006836,2020-04-13
78.91049194335938,2020-04-14
76.28014373779297,2020-04-15
75.95023345947266,2020-04-16
80.99694061279297,2020-04-17
76.78836822509766,2020-04-20
76.39604187011719,2020-04-21
76.28014373779297,2020-04-22
76.80620574951172,2020-04-23
76.67245483398438,2020-04-24
80.39061737060547,2020-04-27
87.63969421386719,2020-04-28
89.34272766113281,2020-04-29
86.17738342285156,2020-04-30
84.48326110839844,2020-05-01
85.40165710449219,2020-05-04
83.35087585449219,2020-05-05
83.35087585449219,2020-05-06
83.62728118896484,2020-05-07
87.50592803955078,2020-05-08
86.9352798461914,2020-05-11
84.8488540649414,2020-05-12
80.06963348388672,2020-05-13
83.22605895996094,2020-05-14
81.06825256347656,2020-05-15
83.55594635009766,2020-05-18
81.06825256347656,2020-05-19
83.31521606445312,2020-05-20
82.8426513671875,2020-05-21
82.9139633178711,2020-05-22
87.70209503173828,2020-05-26
91.35783386230469,2020-05-27
90.68018341064453,2020-05-28
90.42160034179688,2020-05-29
91.5005111694336,2020-06-01
91.71449279785156,2020-06-02
95.82496643066406,2020-06-03
96.8592758178711,2020-06-04
98.58015441894531,2020-06-05
99.70362854003906,2020-06-08
96.16380310058594,2020-06-09
93.9079360961914,2020-06-10
87.49700927734375,2020-06-11
88.917236328125,2020-06-12
89.41163635253906,2020-06-15
90.72399139404297,2020-06-16
89.06108856201172,2020-06-17
87.74871063232422,2020-06-18
89.663330078125,2020-06-19
88.60264587402344,2020-06-22
89.83409881591797,2020-06-23
88.03636169433594,2020-06-24
86.22960662841797,2020-06-25
86.00486755371094,2020-06-26
88.10824584960938,2020-06-29
89.70826721191406,2020-06-30
89.32176208496094,2020-07-01
89.57342529296875,2020-07-02
89.8880386352539,2020-07-06
88.69254302978516,2020-07-07
86.57118225097656,2020-07-08
85.72623443603516,2020-07-09
88.89027404785156,2020-07-10
88.79141235351562,2020-07-13
91.79367065429688,2020-07-14
92.44086456298828,2020-07-15
96.22515869140625,2020-07-16
94.12178039550781,2020-07-17
93.23186492919922,2020-07-20
93.5914306640625,2020-07-21
93.72626495361328,2020-07-22
92.99816131591797,2020-07-23
92.39592742919922,2020-07-24
93.06109619140625,2020-07-27
91.66783142089844,2020-07-28
91.6588363647461,2020-07-29
88.34197235107422,2020-07-30
86.400390625,2020-07-31
86.24756622314453,2020-08-03
85.72623443603516,2020-08-04
86.16667175292969,2020-08-05
85.40263366699219,2020-08-06
85.81610870361328,2020-08-07
87.69477844238281,2020-08-10
89.8880386352539,2020-08-11
89.34871673583984,2020-08-12
89.18692016601562,2020-08-13
89.59142303466797,2020-08-14
89.19590759277344,2020-08-17
88.11726379394531,2020-08-18
88.18916320800781,2020-08-19
86.93970489501953,2020-08-20
86.2565689086914,2020-08-21
89.6363525390625,2020-08-24
89.15996551513672,2020-08-25
89.76220703125,2020-08-26
91.77568054199219,2020-08-27
91.92850494384766,2020-08-28
91.0026626586914,2020-08-31
93.68132781982422,2020-09-01
96.3060531616211,2020-09-02
95.23638153076172,2020-09-03
95.77571868896484,2020-09-04
93.01615142822266,2020-09-08
93.9419937133789,2020-09-09
93.0431137084961,2020-09-10
94.03189849853516,2020-09-11
95.94294738769531,2020-09-14
97.3921127319336,2020-09-15
100.54401397705078,2020-09-16
102.31017303466797,2020-09-17
102.47319030761719,2020-09-18
97.84495544433594,2020-09-21
97.04793548583984,2020-09-22
94.33077239990234,2020-09-23
94.439453125,2020-09-24
99.12203979492188,2020-09-25
100.67080688476562,2020-09-28
98.49708557128906,2020-09-29
98.768798828125,2020-09-30
97.50079345703125,2020-10-01
98.19819641113281,2020-10-02
100.4806137084961,2020-10-05
99.0948715209961,2020-10-06
101.41351318359375,2020-10-07
103.08002471923828,2020-10-08
102.25582885742188,2020-10-09
105.70660400390625,2020-10-12
105.42584228515625,2020-10-13
105.57074737548828,2020-10-14
107.50898742675781,2020-10-15
108.31507110595703,2020-10-16
106.20475769042969,2020-10-19
105.54356384277344,2020-10-20
106.61234283447266,2020-10-21
107.04708099365234,2020-10-22
107.96184539794922,2020-10-23
104.86430358886719,2020-10-26
103.22494506835938,2020-10-27
101.37728118896484,2020-10-28
103.95856475830078,2020-10-29
103.69593048095703,2020-10-30
106.75724792480469,2020-11-02
111.63003540039062,2020-11-03
107.2553939819336,2020-11-04
110.98696899414062,2020-11-05
111.59379577636719,2020-11-06
114.83628845214844,2020-11-09
117.68929290771484,2020-11-10
115.83256530761719,2020-11-11
114.90873718261719,2020-11-12
117.69834899902344,2020-11-13
121.69258117675781,2020-11-16
122.79755401611328,2020-11-17
119.4554443359375,2020-11-18
117.56249237060547,2020-11-19
117.56249237060547,2020-11-20
119.0750503540039,2020-11-23
121.90997314453125,2020-11-24
119.32865142822266,2020-11-25
120.25247955322266,2020-11-27
117.74365234375,2020-11-30
119.500732421875,2020-12-01
119.5369644165039,2020-12-02
119.13845825195312,2020-12-03
120.61475372314453,2020-12-04
122.20884704589844,2020-12-07
124.14707946777344,2020-12-08
123.46778106689453,2020-12-09
122.77944946289062,2020-12-10
122.79755401611328,2020-12-11
119.26525115966797,2020-12-14
121.5385971069336,2020-12-15
122.82473754882812,2020-12-16
122.86095428466797,2020-12-17
123.05257415771484,2020-12-18
122.05799865722656,2020-12-21
122.0945053100586,2020-12-22
123.84638977050781,2020-12-23
124.18400573730469,2020-12-24
124.8044662475586,2020-12-28
123.79165649414062,2020-12-29
125.4340591430664,2020-12-30
125.83553314208984,2020-12-31
123.86463165283203,2021-01-04
125.14209747314453,2021-01-05
131.8668212890625,2021-01-06
132.2591552734375,2021-01-07
132.10403442382812,2021-01-08
133.06210327148438,2021-01-11
134.3395233154297,2021-01-12
131.0729522705078,2021-01-13
130.47988891601562,2021-01-14
130.05104064941406,2021-01-15
127.45055389404297,2021-01-19
128.17140197753906,2021-01-20
128.24441528320312,2021-01-21
128.1075439453125,2021-01-22
128.5819854736328,2021-01-25
