SJM,Date
107.13612365722656,2019-05-03
108.53235626220703,2019-05-06
108.48033905029297,2019-05-07
108.0727310180664,2019-05-08
109.23481750488281,2019-05-09
110.04998779296875,2019-05-10
109.92858123779297,2019-05-13
109.94591522216797,2019-05-14
110.5703125,2019-05-15
109.7758560180664,2019-05-16
110.78857421875,2019-05-17
111.21637725830078,2019-05-20
110.6052474975586,2019-05-21
111.12032318115234,2019-05-22
110.99810028076172,2019-05-23
110.6052474975586,2019-05-24
107.97737884521484,2019-05-28
105.59400177001953,2019-05-29
105.78605651855469,2019-05-30
106.12653350830078,2019-05-31
108.51868438720703,2019-06-03
108.78059387207031,2019-06-04
109.35679626464844,2019-06-05
106.83370971679688,2019-06-06
108.71946716308594,2019-06-07
107.06942749023438,2019-06-10
107.47976684570312,2019-06-11
108.13452911376953,2019-06-12
107.82897186279297,2019-06-13
107.65437316894531,2019-06-14
106.85989379882812,2019-06-17
105.28844451904297,2019-06-18
105.5241470336914,2019-06-19
105.7249526977539,2019-06-20
106.09162139892578,2019-06-21
105.90829467773438,2019-06-24
105.26224517822266,2019-06-25
101.2724380493164,2019-06-26
102.04946899414062,2019-06-27
100.56529235839844,2019-06-28
101.71771240234375,2019-07-01
102.65185546875,2019-07-02
104.5289077758789,2019-07-03
104.31936645507812,2019-07-05
104.07489776611328,2019-07-08
103.69076538085938,2019-07-09
103.14076232910156,2019-07-10
99.97161865234375,2019-07-11
99.70098114013672,2019-07-12
100.47798919677734,2019-07-15
100.80101776123047,2019-07-16
101.28118133544922,2019-07-17
101.17642211914062,2019-07-18
99.78829956054688,2019-07-19
97.88507080078125,2019-07-22
98.33905029296875,2019-07-23
97.86760711669922,2019-07-24
98.69701385498047,2019-07-25
99.75337982177734,2019-07-26
99.83193969726562,2019-07-29
98.76683044433594,2019-07-30
97.07312774658203,2019-07-31
97.5445785522461,2019-08-01
97.9112777709961,2019-08-02
96.35726165771484,2019-08-05
96.61914825439453,2019-08-06
97.27393341064453,2019-08-07
99.1247787475586,2019-08-08
97.64060974121094,2019-08-09
99.10733032226562,2019-08-12
99.52637481689453,2019-08-13
98.9676513671875,2019-08-14
99.89149475097656,2019-08-15
100.61298370361328,2019-08-16
102.2935562133789,2019-08-19
100.81536102294922,2019-08-20
99.72431945800781,2019-08-21
100.21707153320312,2019-08-22
97.84138488769531,2019-08-23
99.36357116699219,2019-08-26
91.23358917236328,2019-08-27
91.83190155029297,2019-08-28
90.4769058227539,2019-08-29
92.52700805664062,2019-08-30
94.12835693359375,2019-09-03
93.51246643066406,2019-09-04
92.10466003417969,2019-09-05
92.57099914550781,2019-09-06
92.4917984008789,2019-09-09
93.87321472167969,2019-09-10
95.20178985595703,2019-09-11
93.13410186767578,2019-09-12
93.71482849121094,2019-09-13
94.30431365966797,2019-09-16
95.65933227539062,2019-09-17
95.75611877441406,2019-09-18
94.70907592773438,2019-09-19
94.85865020751953,2019-09-20
94.17235565185547,2019-09-23
94.81465911865234,2019-09-24
94.99943542480469,2019-09-25
96.03768157958984,2019-09-26
95.94090270996094,2019-09-27
96.80316162109375,2019-09-30
94.99063110351562,2019-10-01
93.961181640625,2019-10-02
93.55644226074219,2019-10-03
94.74427032470703,2019-10-04
94.46270751953125,2019-10-07
93.22211456298828,2019-10-08
93.51246643066406,2019-10-09
94.16357421875,2019-10-10
94.16357421875,2019-10-11
94.05799102783203,2019-10-14
94.4363021850586,2019-10-15
94.6298828125,2019-10-16
95.2809829711914,2019-10-17
94.69146728515625,2019-10-18
95.26339721679688,2019-10-21
93.93478393554688,2019-10-22
94.85865020751953,2019-10-23
95.35139465332031,2019-10-24
95.27218627929688,2019-10-25
94.12835693359375,2019-10-28
95.10501861572266,2019-10-29
93.56523895263672,2019-10-30
92.9845199584961,2019-10-31
92.89655303955078,2019-11-01
94.07557678222656,2019-11-04
94.5331039428711,2019-11-05
95.3161849975586,2019-11-06
94.26033782958984,2019-11-07
93.503662109375,2019-11-08
91.88468933105469,2019-11-11
92.50060272216797,2019-11-12
93.0725326538086,2019-11-13
92.70874786376953,2019-11-14
93.1612319946289,2019-11-15
93.45402526855469,2019-11-18
92.4070816040039,2019-11-19
93.56050109863281,2019-11-20
92.4070816040039,2019-11-21
96.17789459228516,2019-11-22
93.89766693115234,2019-11-25
95.10433197021484,2019-11-26
94.11946105957031,2019-11-27
93.24108123779297,2019-11-29
93.78231811523438,2019-12-02
94.22594451904297,2019-12-03
94.28804779052734,2019-12-04
94.71393585205078,2019-12-05
95.2019271850586,2019-12-06
94.51873779296875,2019-12-09
94.10173797607422,2019-12-10
92.65550994873047,2019-12-11
90.91649627685547,2019-12-12
90.06475067138672,2019-12-13
91.06733703613281,2019-12-16
90.62370300292969,2019-12-17
91.5287094116211,2019-12-18
92.72648620605469,2019-12-19
92.01669311523438,2019-12-20
91.71501922607422,2019-12-23
92.05218505859375,2019-12-24
91.0761947631836,2019-12-26
91.47544860839844,2019-12-27
91.51982116699219,2019-12-30
92.38934326171875,2019-12-31
90.62370300292969,2020-01-02
90.75678253173828,2020-01-03
92.01669311523438,2020-01-06
90.72129821777344,2020-01-07
91.65292358398438,2020-01-08
91.92797088623047,2020-01-09
92.61114501953125,2020-01-10
93.37419128417969,2020-01-13
92.62890625,2020-01-14
92.76197052001953,2020-01-15
93.15237426757812,2020-01-16
94.3945083618164,2020-01-17
95.64555358886719,2020-01-21
94.9268798828125,2020-01-22
96.1601333618164,2020-01-23
95.53019714355469,2020-01-24
95.10433197021484,2020-01-27
94.28804779052734,2020-01-28
93.32093811035156,2020-01-29
93.8887939453125,2020-01-30
91.92797088623047,2020-01-31
92.42481994628906,2020-02-03
92.79745483398438,2020-02-04
95.29064178466797,2020-02-05
95.61891174316406,2020-02-06
96.02706909179688,2020-02-07
97.49989318847656,2020-02-10
97.82818603515625,2020-02-11
97.12724304199219,2020-02-12
96.34909057617188,2020-02-13
98.38839721679688,2020-02-14
97.79808044433594,2020-02-18
98.97874450683594,2020-02-19
98.88929748535156,2020-02-20
99.16656494140625,2020-02-21
98.22740936279297,2020-02-24
96.37592315673828,2020-02-25
97.65496826171875,2020-02-26
94.90904235839844,2020-02-27
92.11839294433594,2020-02-28
95.47251892089844,2020-03-02
95.03427124023438,2020-03-03
99.9089584350586,2020-03-04
99.0592269897461,2020-03-05
98.37947845458984,2020-03-06
96.88575744628906,2020-03-09
99.36334228515625,2020-03-10
94.44391632080078,2020-03-11
88.79106140136719,2020-03-12
92.17204284667969,2020-03-13
96.45641326904297,2020-03-16
104.74789428710938,2020-03-17
106.31315612792969,2020-03-18
97.51187133789062,2020-03-19
93.17382049560547,2020-03-20
85.67843627929688,2020-03-23
94.56916046142578,2020-03-24
94.0861587524414,2020-03-25
92.54771423339844,2020-03-26
92.15416717529297,2020-03-27
98.95189666748047,2020-03-30
99.28284454345703,2020-03-31
98.03062438964844,2020-04-01
98.6209716796875,2020-04-02
100.47247314453125,2020-04-03
103.03056335449219,2020-04-06
101.85884094238281,2020-04-07
102.08243560791016,2020-04-08
100.84812927246094,2020-04-09
98.6209716796875,2020-04-13
101.10750579833984,2020-04-14
103.21839904785156,2020-04-15
108.34352111816406,2020-04-16
108.74603271484375,2020-04-17
108.78181457519531,2020-04-20
104.97148895263672,2020-04-21
106.04481506347656,2020-04-22
104.47955322265625,2020-04-23
105.36502838134766,2020-04-24
108.09310150146484,2020-04-27
106.11637115478516,2020-04-28
102.13611602783203,2020-04-29
102.78011322021484,2020-04-30
103.31676483154297,2020-05-01
102.8516616821289,2020-05-04
103.77293395996094,2020-05-05
102.10034942626953,2020-05-06
101.54578399658203,2020-05-07
103.82661437988281,2020-05-08
104.56004333496094,2020-05-11
105.52603149414062,2020-05-12
105.71388244628906,2020-05-13
102.79415130615234,2020-05-14
103.388916015625,2020-05-15
102.7310791015625,2020-05-18
99.61310577392578,2020-05-19
99.31570434570312,2020-05-20
97.23406219482422,2020-05-21
97.82881164550781,2020-05-22
96.76545715332031,2020-05-26
99.22559356689453,2020-05-27
100.44215393066406,2020-05-28
102.6679916381836,2020-05-29
103.92058563232422,2020-06-01
103.77642059326172,2020-06-02
103.26274108886719,2020-06-03
98.31543731689453,2020-06-04
96.81952667236328,2020-06-05
100.17180633544922,2020-06-08
97.71166229248047,2020-06-09
97.99102783203125,2020-06-10
95.783203125,2020-06-11
94.35038757324219,2020-06-12
95.3416519165039,2020-06-15
97.38726043701172,2020-06-16
98.27039337158203,2020-06-17
97.85585021972656,2020-06-18
98.1712646484375,2020-06-19
98.18025970458984,2020-06-22
95.91838073730469,2020-06-23
95.7381591796875,2020-06-24
95.2875747680664,2020-06-25
92.82743072509766,2020-06-26
94.69280242919922,2020-06-29
95.35066223144531,2020-06-30
94.81896209716797,2020-07-01
94.63874053955078,2020-07-02
95.40472412109375,2020-07-06
95.56693267822266,2020-07-07
94.35938262939453,2020-07-08
93.16986846923828,2020-07-09
94.7829360961914,2020-07-10
94.33235168457031,2020-07-13
96.59425354003906,2020-07-14
95.41372680664062,2020-07-15
95.59395599365234,2020-07-16
96.16168212890625,2020-07-17
94.90005493164062,2020-07-20
96.0265121459961,2020-07-21
96.95470428466797,2020-07-22
97.70265197753906,2020-07-23
97.4503402709961,2020-07-24
98.1081771850586,2020-07-27
98.46864318847656,2020-07-28
99.56803894042969,2020-07-29
98.54072570800781,2020-07-30
98.54072570800781,2020-07-31
100.0005874633789,2020-08-03
102.06422424316406,2020-08-04
100.1537857055664,2020-08-05
99.38780975341797,2020-08-06
100.07269287109375,2020-08-07
101.68572998046875,2020-08-10
101.56858825683594,2020-08-11
103.59618377685547,2020-08-12
104.1138916015625,2020-08-13
103.51443481445312,2020-08-14
103.08753967285156,2020-08-17
103.4690170288086,2020-08-18
101.14388275146484,2020-08-19
101.63433837890625,2020-08-20
101.80689239501953,2020-08-21
102.62432861328125,2020-08-24
109.67244720458984,2020-08-25
110.56254577636719,2020-08-26
109.82683563232422,2020-08-27
108.67334747314453,2020-08-28
109.15473175048828,2020-08-31
107.13838958740234,2020-09-01
109.76327514648438,2020-09-02
107.38362121582031,2020-09-03
106.77507781982422,2020-09-04
103.68701171875,2020-09-08
