AM,Date
4.231154441833496,2019-09-11
4.032375335693359,2019-09-12
4.094849109649658,2019-09-13
4.401535987854004,2019-09-16
4.293628215789795,2019-09-17
4.373139381408691,2019-09-18
4.089168548583984,2019-09-19
4.174360275268555,2019-09-20
4.145963191986084,2019-09-23
3.9982986450195312,2019-09-24
4.123245716094971,2019-09-25
4.21411657333374,2019-09-26
4.21411657333374,2019-09-27
4.202757358551025,2019-09-30
4.066452503204346,2019-10-01
4.066452503204346,2019-10-02
3.9982986450195312,2019-10-03
4.021017074584961,2019-10-04
4.0437331199646,2019-10-07
3.850635290145874,2019-10-08
3.9131081104278564,2019-10-09
4.089168548583984,2019-10-10
4.157322406768799,2019-10-11
4.208436489105225,2019-10-14
4.231154441833496,2019-10-15
4.111887454986572,2019-10-16
4.265231609344482,2019-10-17
4.140284061431885,2019-10-18
4.1175665855407715,2019-10-21
4.197077751159668,2019-10-22
4.299307346343994,2019-10-23
4.157322406768799,2019-10-24
4.219795227050781,2019-10-25
4.1686811447143555,2019-10-28
4.236833572387695,2019-10-29
4.089168548583984,2019-10-30
3.820988178253174,2019-10-31
3.969318151473999,2019-11-01
4.27191162109375,2019-11-04
4.176980972290039,2019-11-05
4.058317184448242,2019-11-06
3.809122323989868,2019-11-07
3.654858350753784,2019-11-08
3.3463306427001953,2019-11-11
3.44126296043396,2019-11-12
3.340398073196411,2019-11-13
3.192068338394165,2019-11-14
3.1742680072784424,2019-11-15
2.9725394248962402,2019-11-18
2.8479418754577637,2019-11-19
2.8479418754577637,2019-11-20
2.8894741535186768,2019-11-21
2.86574125289917,2019-11-22
2.9666054248809814,2019-11-25
2.86574125289917,2019-11-26
2.7648766040802,2019-11-27
2.717411518096924,2019-11-29
2.6284127235412598,2019-12-02
2.616546154022217,2019-12-03
2.723344087600708,2019-12-04
2.6758782863616943,2019-12-05
2.6640119552612305,2019-12-06
3.0496702194213867,2019-12-09
3.2929329872131348,2019-12-10
3.245466470718384,2019-12-11
3.512460947036743,2019-12-12
3.470928907394409,2019-12-13
3.548060655593872,2019-12-16
3.7497897148132324,2019-12-17
3.9574527740478516,2019-12-18
4.046449661254883,2019-12-19
4.111715316772461,2019-12-20
4.283778190612793,2019-12-23
4.260046482086182,2019-12-24
4.42617654800415,2019-12-26
4.3846435546875,2019-12-27
4.354977607727051,2019-12-30
4.503307342529297,2019-12-31
4.2066473960876465,2020-01-02
4.236313343048096,2020-01-03
4.390576362609863,2020-01-06
4.337177753448486,2020-01-07
4.123582363128662,2020-01-08
4.176980972290039,2020-01-09
4.171048164367676,2020-01-10
4.265979290008545,2020-01-13
4.396510124206543,2020-01-14
4.503307342529297,2020-01-15
4.49144172668457,2020-01-16
