INVH,Date
24.311981201171875,2019-06-24
24.393083572387695,2019-06-25
23.825380325317383,2019-06-26
23.906478881835938,2019-06-27
24.086700439453125,2019-06-28
24.176816940307617,2019-07-01
24.555282592773438,2019-07-02
24.771547317504883,2019-07-03
24.690446853637695,2019-07-05
24.879684448242188,2019-07-08
25.186054229736328,2019-07-09
25.24913787841797,2019-07-10
25.07792854309082,2019-07-11
25.159027099609375,2019-07-12
25.231115341186523,2019-07-15
25.195072174072266,2019-07-16
25.07792854309082,2019-07-17
24.96078109741211,2019-07-18
24.357032775878906,2019-07-19
24.474185943603516,2019-07-22
24.68143653869629,2019-07-23
24.492204666137695,2019-07-24
24.60033416748047,2019-07-25
24.663414001464844,2019-07-26
24.843637466430664,2019-07-29
25.014848709106445,2019-07-30
24.753520965576172,2019-07-31
24.735504150390625,2019-08-01
24.93375015258789,2019-08-02
24.438133239746094,2019-08-05
24.672426223754883,2019-08-06
24.861663818359375,2019-08-07
25.095945358276367,2019-08-08
25.095945358276367,2019-08-09
24.987812042236328,2019-08-12
25.113969802856445,2019-08-13
24.996280670166016,2019-08-14
25.21355628967285,2019-08-15
25.63906478881836,2019-08-16
25.874452590942383,2019-08-19
25.74770164489746,2019-08-20
25.856348037719727,2019-08-21
26.28185272216797,2019-08-22
25.883506774902344,2019-08-23
26.27280044555664,2019-08-26
26.309011459350586,2019-08-27
26.028358459472656,2019-08-28
26.19131851196289,2019-08-29
26.03740882873535,2019-08-30
26.37238883972168,2019-09-03
26.290904998779297,2019-09-04
25.901613235473633,2019-09-05
26.05552101135254,2019-09-06
25.675277709960938,2019-09-09
25.322195053100586,2019-09-10
25.150182723999023,2019-09-11
25.29503631591797,2019-09-12
25.21355628967285,2019-09-13
25.521373748779297,2019-09-16
25.792970657348633,2019-09-17
25.802024841308594,2019-09-18
26.2275333404541,2019-09-19
26.481021881103516,2019-09-20
26.109838485717773,2019-09-23
26.318063735961914,2019-09-24
26.6168270111084,2019-09-25
26.897480010986328,2019-09-26
26.80694580078125,2019-09-27
26.80694580078125,2019-09-30
26.834104537963867,2019-10-01
26.969905853271484,2019-10-02
27.06949234008789,2019-10-03
27.24151039123535,2019-10-04
27.096656799316406,2019-10-07
26.888427734375,2019-10-08
27.332042694091797,2019-10-09
27.47689437866211,2019-10-10
27.386363983154297,2019-10-11
27.377309799194336,2019-10-14
27.540267944335938,2019-10-15
27.594585418701172,2019-10-16
27.53121566772461,2019-10-17
27.95671844482422,2019-10-18
28.146839141845703,2019-10-21
27.82997703552246,2019-10-22
27.920507431030273,2019-10-23
27.96577262878418,2019-10-24
27.96577262878418,2019-10-25
27.866188049316406,2019-10-28
27.884294509887695,2019-10-29
27.576480865478516,2019-10-30
27.875242233276367,2019-10-31
27.920507431030273,2019-11-01
27.52216339111328,2019-11-04
26.825048446655273,2019-11-05
27.1600284576416,2019-11-06
26.725467681884766,2019-11-07
26.716411590576172,2019-11-08
26.67115020751953,2019-11-11
26.62567901611328,2019-11-12
27.125822067260742,2019-11-13
27.28040885925293,2019-11-14
27.27131462097168,2019-11-15
27.27131462097168,2019-11-18
27.21675682067871,2019-11-19
27.334970474243164,2019-11-20
26.66205596923828,2019-11-21
26.95305061340332,2019-11-22
27.39862060546875,2019-11-25
27.725990295410156,2019-11-26
27.598678588867188,2019-11-27
27.762365341186523,2019-11-29
27.434999465942383,2019-12-02
27.3531551361084,2019-12-03
27.39862060546875,2019-12-04
27.116722106933594,2019-12-05
27.307689666748047,2019-12-06
27.4077205657959,2019-12-09
27.162195205688477,2019-12-10
26.78936195373535,2019-12-11
26.189191818237305,2019-12-12
26.398344039916992,2019-12-13
26.534746170043945,2019-12-16
26.08916473388672,2019-12-17
26.234661102294922,2019-12-18
26.580209732055664,2019-12-19
26.7984561920166,2019-12-20
26.534746170043945,2019-12-23
26.552932739257812,2019-12-24
26.7620792388916,2019-12-26
26.834827423095703,2019-12-27
27.062162399291992,2019-12-30
27.253129959106445,2019-12-31
26.7984561920166,2020-01-02
27.3531551361084,2020-01-03
27.453184127807617,2020-01-06
26.862112045288086,2020-01-07
27.134912490844727,2020-01-08
27.125822067260742,2020-01-09
27.334970474243164,2020-01-10
27.453184127807617,2020-01-13
27.162195205688477,2020-01-14
27.362253189086914,2020-01-15
27.762365341186523,2020-01-16
27.725990295410156,2020-01-17
28.1079158782959,2020-01-21
28.32615852355957,2020-01-22
28.517118453979492,2020-01-23
28.49893569946289,2020-01-24
