MU,Date
40.48332595825195,2020-04-03
45.54128646850586,2020-04-06
45.708248138427734,2020-04-07
47.42697525024414,2020-04-08
45.30556869506836,2020-04-09
45.344852447509766,2020-04-13
46.76893997192383,2020-04-14
45.60021209716797,2020-04-15
44.7162971496582,2020-04-16
44.883262634277344,2020-04-17
42.624366760253906,2020-04-20
40.6699333190918,2020-04-21
43.12525177001953,2020-04-22
42.98775100708008,2020-04-23
43.37078094482422,2020-04-24
44.47075653076172,2020-04-27
44.5002326965332,2020-04-28
48.939453125,2020-04-29
47.034114837646484,2020-04-30
44.254695892333984,2020-05-01
43.66542053222656,2020-05-04
44.59843444824219,2020-05-05
45.25647735595703,2020-05-06
45.75735855102539,2020-05-07
47.3876838684082,2020-05-08
47.33857727050781,2020-05-11
44.87343978881836,2020-05-12
42.75203323364258,2020-05-13
44.9127197265625,2020-05-14
43.61631393432617,2020-05-15
45.09932327270508,2020-05-18
44.31362533569336,2020-05-19
45.80645751953125,2020-05-20
44.411842346191406,2020-05-21
44.136837005615234,2020-05-22
44.98147201538086,2020-05-26
48.56623840332031,2020-05-27
45.63949966430664,2020-05-28
47.05376434326172,2020-05-29
45.51182174682617,2020-06-01
45.983238220214844,2020-06-02
48.045711517333984,2020-06-03
50.30460739135742,2020-06-04
52.759925842285156,2020-06-05
52.74028778076172,2020-06-08
52.20011520385742,2020-06-09
51.53226852416992,2020-06-10
47.65285873413086,2020-06-11
47.819820404052734,2020-06-12
48.359989166259766,2020-06-15
50.10818099975586,2020-06-16
50.04924011230469,2020-06-17
49.57783126831055,2020-06-18
49.921573638916016,2020-06-19
50.23585891723633,2020-06-22
48.94926834106445,2020-06-23
47.42697525024414,2020-06-24
48.310882568359375,2020-06-25
47.62339782714844,2020-06-26
48.271602630615234,2020-06-29
50.5992431640625,2020-06-30
48.81177520751953,2020-07-01
48.939453125,2020-07-02
50.00996017456055,2020-07-06
48.21266555786133,2020-07-07
48.82158279418945,2020-07-08
49.086769104003906,2020-07-09
49.79389953613281,2020-07-10
48.5760612487793,2020-07-13
48.82158279418945,2020-07-14
49.60729217529297,2020-07-15
49.204620361328125,2020-07-16
48.585880279541016,2020-07-17
50.29478454589844,2020-07-20
50.5992431640625,2020-07-21
50.726924896240234,2020-07-22
51.699222564697266,2020-07-23
49.12605285644531,2020-07-24
50.667999267578125,2020-07-27
49.194801330566406,2020-07-28
49.489444732666016,2020-07-29
49.833187103271484,2020-07-30
49.16533660888672,2020-07-31
49.489444732666016,2020-08-03
50.383182525634766,2020-08-04
50.13764572143555,2020-08-05
47.829647064208984,2020-08-06
47.878746032714844,2020-08-07
48.271602630615234,2020-08-10
46.906436920166016,2020-08-11
47.61357116699219,2020-08-12
45.315391540527344,2020-08-13
44.78504943847656,2020-08-14
44.411842346191406,2020-08-17
43.60649108886719,2020-08-18
43.26273727416992,2020-08-19
42.2216911315918,2020-08-20
41.897586822509766,2020-08-21
42.97793197631836,2020-08-24
44.29397964477539,2020-08-25
44.1564826965332,2020-08-26
43.82255554199219,2020-08-27
44.87343978881836,2020-08-28
44.6966552734375,2020-08-31
44.94218444824219,2020-09-01
46.97519302368164,2020-09-02
45.50199890136719,2020-09-03
45.649314880371094,2020-09-04
44.2252311706543,2020-09-08
44.34309005737305,2020-09-09
44.068092346191406,2020-09-10
45.26628875732422,2020-09-11
48.15373992919922,2020-09-14
48.17338562011719,2020-09-15
49.31265640258789,2020-09-16
50.06889724731445,2020-09-17
49.833187103271484,2020-09-18
48.271602630615234,2020-09-21
48.81177520751953,2020-09-22
48.95908737182617,2020-09-23
48.585880279541016,2020-09-24
48.261783599853516,2020-09-25
48.8314094543457,2020-09-28
49.8037223815918,2020-09-29
46.120731353759766,2020-09-30
47.0635871887207,2020-10-01
45.71807098388672,2020-10-02
46.749298095703125,2020-10-05
46.474308013916016,2020-10-06
47.544830322265625,2020-10-07
49.00819396972656,2020-10-08
48.998374938964844,2020-10-09
49.77425765991211,2020-10-12
50.923336029052734,2020-10-13
50.70728302001953,2020-10-14
51.01173782348633,2020-10-15
50.68763732910156,2020-10-16
51.68940734863281,2020-10-19
52.57331466674805,2020-10-20
52.35725402832031,2020-10-21
53.40813446044922,2020-10-22
51.90547180175781,2020-10-23
51.208160400390625,2020-10-26
51.03137969970703,2020-10-27
49.10641098022461,2020-10-28
49.57783126831055,2020-10-29
49.440330505371094,2020-10-30
48.82158279418945,2020-11-02
50.167110443115234,2020-11-03
51.03137969970703,2020-11-04
