URBN,Date
1.90625,1996-04-10
1.90625,1996-04-11
1.90625,1996-04-12
1.8984379768371582,1996-04-15
1.9375,1996-04-16
1.90625,1996-04-17
1.9140629768371582,1996-04-18
1.953125,1996-04-19
1.953125,1996-04-22
2.054687976837158,1996-04-23
2.019531011581421,1996-04-24
2.046875,1996-04-25
2.023437976837158,1996-04-26
2.0,1996-04-29
2.085937976837158,1996-04-30
2.140625,1996-05-01
2.1875,1996-05-02
2.203125,1996-05-03
2.1875,1996-05-06
2.1875,1996-05-07
2.1875,1996-05-08
2.21875,1996-05-09
2.304687976837158,1996-05-10
2.46875,1996-05-13
2.515625,1996-05-14
2.507812976837158,1996-05-15
2.507812976837158,1996-05-16
2.515625,1996-05-17
2.59375,1996-05-20
2.5625,1996-05-21
2.609375,1996-05-22
2.625,1996-05-23
2.703125,1996-05-24
2.65625,1996-05-28
2.609375,1996-05-29
2.59375,1996-05-30
2.640625,1996-05-31
2.546875,1996-06-03
2.71875,1996-06-04
3.0,1996-06-05
3.3125,1996-06-06
3.1875,1996-06-07
3.21875,1996-06-10
3.203125,1996-06-11
3.1875,1996-06-12
3.1875,1996-06-13
3.265625,1996-06-14
3.21875,1996-06-17
3.171875,1996-06-18
3.203125,1996-06-19
3.164062976837158,1996-06-20
3.1875,1996-06-21
3.171875,1996-06-24
3.15625,1996-06-25
3.0,1996-06-26
2.9375,1996-06-27
3.15625,1996-06-28
3.125,1996-07-01
3.125,1996-07-02
3.109375,1996-07-03
2.984375,1996-07-05
2.96875,1996-07-08
3.03125,1996-07-09
2.703125,1996-07-10
2.515625,1996-07-11
2.421875,1996-07-12
2.09375,1996-07-15
2.15625,1996-07-16
2.46875,1996-07-17
2.625,1996-07-18
2.53125,1996-07-19
2.4375,1996-07-22
2.4375,1996-07-23
2.34375,1996-07-24
2.40625,1996-07-25
2.3125,1996-07-26
2.125,1996-07-29
2.21875,1996-07-30
2.34375,1996-07-31
2.40625,1996-08-01
2.5625,1996-08-02
2.75,1996-08-05
2.65625,1996-08-06
2.65625,1996-08-07
2.625,1996-08-08
2.59375,1996-08-09
2.65625,1996-08-12
2.65625,1996-08-13
2.609375,1996-08-14
2.75,1996-08-15
2.984375,1996-08-16
3.0625,1996-08-19
2.671875,1996-08-20
2.65625,1996-08-21
2.6875,1996-08-22
2.546875,1996-08-23
2.59375,1996-08-26
2.75,1996-08-27
2.8125,1996-08-28
2.75,1996-08-29
2.859375,1996-08-30
2.828125,1996-09-03
2.703125,1996-09-04
2.601562976837158,1996-09-05
2.6875,1996-09-06
2.71875,1996-09-09
2.796875,1996-09-10
2.84375,1996-09-11
2.859375,1996-09-12
2.8125,1996-09-13
2.8125,1996-09-16
2.78125,1996-09-17
2.84375,1996-09-18
2.84375,1996-09-19
2.859375,1996-09-20
2.8125,1996-09-23
2.9375,1996-09-24
2.875,1996-09-25
2.796875,1996-09-26
2.8125,1996-09-27
2.90625,1996-09-30
2.78125,1996-10-01
2.8125,1996-10-02
2.6875,1996-10-03
2.476562976837158,1996-10-04
2.5,1996-10-07
2.46875,1996-10-08
2.5,1996-10-09
2.625,1996-10-10
2.65625,1996-10-11
2.5,1996-10-14
2.46875,1996-10-15
2.484375,1996-10-16
2.5625,1996-10-17
2.484375,1996-10-18
2.203125,1996-10-21
1.890625,1996-10-22
1.890625,1996-10-23
1.9375,1996-10-24
1.96875,1996-10-25
1.984375,1996-10-28
1.9375,1996-10-29
2.0,1996-10-30
1.96875,1996-10-31
1.9375,1996-11-01
1.734375,1996-11-04
1.7265629768371582,1996-11-05
1.84375,1996-11-06
1.875,1996-11-07
1.875,1996-11-08
1.875,1996-11-11
1.890625,1996-11-12
1.875,1996-11-13
1.921875,1996-11-14
1.9375,1996-11-15
2.0,1996-11-18
2.0625,1996-11-19
1.75,1996-11-20
1.765625,1996-11-21
1.90625,1996-11-22
1.890625,1996-11-25
1.9375,1996-11-26
1.84375,1996-11-27
1.828125,1996-11-29
1.75,1996-12-02
1.8125,1996-12-03
1.78125,1996-12-04
