AMT,Date
14.708670616149902,2001-07-12
14.550939559936523,2001-07-13
14.314338684082031,2001-07-16
14.669235229492188,2001-07-17
14.180261611938477,2001-07-18
13.26540756225586,2001-07-19
13.36004638671875,2001-07-20
13.312732696533203,2001-07-23
13.091899871826172,2001-07-24
13.391595840454102,2001-07-25
13.15499496459961,2001-07-26
13.438913345336914,2001-07-27
13.438913345336914,2001-07-30
13.367937088012695,2001-07-31
13.328503608703613,2001-08-01
14.669235229492188,2001-08-02
14.795425415039062,2001-08-03
14.472075462341309,2001-08-06
13.9436616897583,2001-08-07
13.509891510009766,2001-08-08
13.15499496459961,2001-08-09
13.13133716583252,2001-08-10
13.344273567199707,2001-08-13
12.997259140014648,2001-08-14
12.500399589538574,2001-08-15
11.830032348632812,2001-08-16
12.106062889099121,2001-08-17
11.830032348632812,2001-08-20
11.475127220153809,2001-08-21
11.711730003356934,2001-08-22
11.475127220153809,2001-08-23
11.96410083770752,2001-08-24
12.539831161499023,2001-08-27
12.303231239318848,2001-08-28
11.814254760742188,2001-08-29
11.325284004211426,2001-08-30
11.41203498840332,2001-08-31
10.647027015686035,2001-09-04
9.700626373291016,2001-09-05
8.825203895568848,2001-09-06
8.675355911254883,2001-09-07
9.030256271362305,2001-09-10
9.101239204406738,2001-09-17
9.187992095947266,2001-09-18
9.148558616638184,2001-09-19
9.227422714233398,2001-09-20
9.26685905456543,2001-09-21
10.370993614196777,2001-09-24
9.866242408752441,2001-09-25
10.016092300415039,2001-09-26
10.473523139953613,2001-09-27
10.954606056213379,2001-09-28
10.568161964416504,2001-10-01
11.388372421264648,2001-10-02
11.7511625289917,2001-10-03
12.14549732208252,2001-10-04
11.640752792358398,2001-10-05
11.61708927154541,2001-10-08
11.09656810760498,2001-10-09
11.553997039794922,2001-10-10
12.831643104553223,2001-10-11
12.279574394226074,2001-10-12
11.774822235107422,2001-10-15
11.790596961975098,2001-10-16
11.727502822875977,2001-10-17
11.585543632507324,2001-10-18
11.601318359375,2001-10-19
11.435697555541992,2001-10-22
11.0177001953125,2001-10-23
10.087071418762207,2001-10-24
10.008204460144043,2001-10-25
10.000320434570312,2001-10-26
9.464025497436523,2001-10-29
8.659579277038574,2001-10-30
8.691128730773926,2001-10-31
8.541285514831543,2001-11-01
8.604375839233398,2001-11-02
8.54917049407959,2001-11-05
5.520682334899902,2001-11-06
4.716238975524902,2001-11-07
4.929179668426514,2001-11-08
5.0790276527404785,2001-11-09
4.9686150550842285,2001-11-12
5.055366516113281,2001-11-13
5.520682334899902,2001-11-14
5.99388313293457,2001-11-15
6.0569748878479,2001-11-16
6.411876678466797,2001-11-19
6.198936939239502,2001-11-20
6.1121826171875,2001-11-21
6.246255397796631,2001-11-23
6.758892059326172,2001-11-26
