NSC,Date
85.36412048339844,2014-07-16
84.6183090209961,2014-07-17
86.07749938964844,2014-07-18
86.10991668701172,2014-07-21
87.23675537109375,2014-07-22
86.61253356933594,2014-07-23
87.37457275390625,2014-07-24
87.14759826660156,2014-07-25
85.38839721679688,2014-07-28
83.87246704101562,2014-07-29
84.49198150634766,2014-07-30
82.86981201171875,2014-07-31
82.49482727050781,2014-08-01
82.63341522216797,2014-08-04
82.07910919189453,2014-08-05
81.5899887084961,2014-08-06
81.5166244506836,2014-08-07
82.63341522216797,2014-08-08
83.83170318603516,2014-08-11
83.51378631591797,2014-08-12
84.14962768554688,2014-08-13
84.75283813476562,2014-08-14
85.17672729492188,2014-08-15
86.43207550048828,2014-08-18
86.47283935546875,2014-08-19
86.70106506347656,2014-08-20
85.73921966552734,2014-08-21
85.9837417602539,2014-08-22
86.04080963134766,2014-08-25
86.02448272705078,2014-08-26
87.0760498046875,2014-08-27
86.88043975830078,2014-08-28
87.2227783203125,2014-08-29
87.23094177246094,2014-09-02
88.00537109375,2014-09-03
88.49445343017578,2014-09-04
89.30147552490234,2014-09-05
88.55967712402344,2014-09-08
88.67378997802734,2014-09-09
88.02980041503906,2014-09-10
88.55967712402344,2014-09-11
87.94828796386719,2014-09-12
88.17652130126953,2014-09-15
88.99169921875,2014-09-16
91.11115264892578,2014-09-17
91.42091369628906,2014-09-18
91.29863739013672,2014-09-19
90.48344421386719,2014-09-22
89.71720123291016,2014-09-23
90.85028839111328,2014-09-24
89.50525665283203,2014-09-25
90.73615264892578,2014-09-26
90.82581329345703,2014-09-29
90.97256469726562,2014-09-30
88.56783294677734,2014-10-01
89.76609802246094,2014-10-02
91.68175506591797,2014-10-03
90.57313537597656,2014-10-06
88.24173736572266,2014-10-07
88.97538757324219,2014-10-08
85.9429702758789,2014-10-09
83.44042205810547,2014-10-10
84.13330078125,2014-10-13
85.14411163330078,2014-10-14
85.75548553466797,2014-10-15
85.42941284179688,2014-10-16
86.84781646728516,2014-10-17
87.27986907958984,2014-10-20
89.5459976196289,2014-10-21
86.81521606445312,2014-10-22
87.9319839477539,2014-10-23
89.1710433959961,2014-10-24
89.1465835571289,2014-10-27
90.72801208496094,2014-10-28
90.22261047363281,2014-10-29
89.2933120727539,2014-10-30
90.18999481201172,2014-10-31
89.18733215332031,2014-11-03
88.68191528320312,2014-11-04
89.96849060058594,2014-11-05
90.73056030273438,2014-11-06
92.4842300415039,2014-11-07
95.54902648925781,2014-11-10
95.57359313964844,2014-11-11
95.59818267822266,2014-11-12
94.60662078857422,2014-11-13
95.0819091796875,2014-11-14
94.91800689697266,2014-11-17
94.54926300048828,2014-11-18
94.37718963623047,2014-11-19
94.54926300048828,2014-11-20
94.5328598022461,2014-11-21
95.3441390991211,2014-11-24
95.98331451416016,2014-11-25
96.04068756103516,2014-11-26
91.48448944091797,2014-11-28
87.15773010253906,2014-12-01
