PDCO,Date
25.05222511291504,2020-11-16
24.74823760986328,2020-11-17
24.256488800048828,2020-11-18
24.649885177612305,2020-11-19
24.837644577026367,2020-11-20
24.935991287231445,2020-11-23
25.257862091064453,2020-11-24
24.62306785583496,2020-11-25
24.96281623840332,2020-11-27
24.81976318359375,2020-11-30
24.7661190032959,2020-12-01
28.557035446166992,2020-12-02
28.60173797607422,2020-12-03
29.15607452392578,2020-12-04
28.68220329284668,2020-12-07
29.594165802001953,2020-12-08
28.78949737548828,2020-12-09
28.521272659301758,2020-12-10
28.101049423217773,2020-12-11
27.922231674194336,2020-12-14
28.896785736083984,2020-12-15
29.048778533935547,2020-12-16
29.08453941345215,2020-12-17
28.449745178222656,2020-12-18
28.655384063720703,2020-12-21
28.861021041870117,2020-12-22
28.77161407470703,2020-12-23
28.35139274597168,2020-12-24
28.503387451171875,2020-12-28
28.288806915283203,2020-12-29
27.01026725769043,2020-12-30
26.49169921875,2020-12-31
26.053598403930664,2021-01-04
26.72416114807129,2021-01-05
27.957996368408203,2021-01-06
27.984817504882812,2021-01-07
28.74479103088379,2021-01-08
28.637502670288086,2021-01-11
29.352766036987305,2021-01-12
29.674638748168945,2021-01-13
30.341476440429688,2021-01-14
29.31417465209961,2021-01-15
28.62030029296875,2021-01-19
28.530183792114258,2021-01-20
28.250831604003906,2021-01-21
29.28714370727539,2021-01-22
29.521438598632812,2021-01-25
29.917943954467773,2021-01-26
30.909202575683594,2021-01-27
29.21505355834961,2021-01-28
28.548208236694336,2021-01-29
28.62030029296875,2021-02-01
28.665355682373047,2021-02-02
28.349958419799805,2021-02-03
28.782506942749023,2021-02-04
28.7464599609375,2021-02-05
29.160987854003906,2021-02-08
29.665626525878906,2021-02-09
29.44934844970703,2021-02-10
29.99905014038086,2021-02-11
30.08014678955078,2021-02-12
29.440338134765625,2021-02-16
28.295888900756836,2021-02-17
27.953453063964844,2021-02-18
28.503150939941406,2021-02-19
28.90866470336914,2021-02-22
28.674367904663086,2021-02-23
29.133953094482422,2021-02-24
27.51189422607422,2021-02-25
27.989500045776367,2021-02-26
29.17901039123535,2021-03-01
29.160987854003906,2021-03-02
27.20550537109375,2021-03-03
26.49360466003418,2021-03-04
27.638051986694336,2021-03-05
28.241819381713867,2021-03-08
28.331933975219727,2021-03-09
28.674367904663086,2021-03-10
28.476116180419922,2021-03-11
28.638322830200195,2021-03-12
29.16999626159668,2021-03-15
28.836572647094727,2021-03-16
29.872888565063477,2021-03-17
29.142963409423828,2021-03-18
29.22406578063965,2021-03-19
28.9447078704834,2021-03-22
28.18775177001953,2021-03-23
27.49386978149414,2021-03-24
28.629310607910156,2021-03-25
29.251096725463867,2021-03-26
29.188020706176758,2021-03-29
29.160987854003906,2021-03-30
28.79151725769043,2021-03-31
28.890644073486328,2021-04-01
29.034828186035156,2021-04-05
29.332202911376953,2021-04-06
28.548208236694336,2021-04-07
28.971750259399414,2021-04-08
29.28714370727539,2021-04-09
29.692663192749023,2021-04-12
29.31417465209961,2021-04-13
29.341215133666992,2021-04-14
29.186784744262695,2021-04-15
29.350299835205078,2021-04-16
29.186784744262695,2021-04-19
29.032358169555664,2021-04-20
29.6864070892334,2021-04-21
29.695486068725586,2021-04-22
30.394956588745117,2021-04-23
30.00433921813965,2021-04-26
29.877166748046875,2021-04-27
29.73181915283203,2021-04-28
29.559228897094727,2021-04-29
29.19586944580078,2021-04-30
30.385868072509766,2021-05-03
32.19356918334961,2021-05-04
31.8938045501709,2021-05-05
33.147396087646484,2021-05-06
32.70227813720703,2021-05-07
32.338924407958984,2021-05-10
32.62961196899414,2021-05-11
31.793880462646484,2021-05-12
31.74846649169922,2021-05-13
32.11182403564453,2021-05-14
32.329837799072266,2021-05-17
32.366172790527344,2021-05-18
32.47518539428711,2021-05-19
32.066402435302734,2021-05-20
31.530445098876953,2021-05-21
30.87640380859375,2021-05-24
30.385868072509766,2021-05-25
30.640216827392578,2021-05-26
30.195104598999023,2021-05-27
29.559228897094727,2021-05-28
30.240524291992188,2021-06-01
30.431289672851562,2021-06-02
31.06716537475586,2021-06-03
31.294269561767578,2021-06-04
30.549386978149414,2021-06-07
31.975568771362305,2021-06-08
32.17540740966797,2021-06-09
32.66593933105469,2021-06-10
33.274574279785156,2021-06-11
32.15724563598633,2021-06-14
32.711360931396484,2021-06-15
32.16632843017578,2021-06-16
32.039154052734375,2021-06-17
31.385101318359375,2021-06-18
32.0482292175293,2021-06-21
31.90289306640625,2021-06-22
28.13304328918457,2021-06-23
28.414649963378906,2021-06-24
27.597087860107422,2021-06-25
27.65159797668457,2021-06-28
27.460832595825195,2021-06-29
27.606172561645508,2021-06-30
27.951366424560547,2021-07-01
27.606172561645508,2021-07-02
27.524417877197266,2021-07-06
27.351825714111328,2021-07-07
27.179227828979492,2021-07-08
