CBRE,Date
33.279998779296875,2014-12-10
33.279998779296875,2014-12-11
32.790000915527344,2014-12-12
33.060001373291016,2014-12-15
32.16999816894531,2014-12-16
33.119998931884766,2014-12-17
34.349998474121094,2014-12-18
35.0099983215332,2014-12-19
35.040000915527344,2014-12-22
34.9900016784668,2014-12-23
34.93000030517578,2014-12-24
34.970001220703125,2014-12-26
35.060001373291016,2014-12-29
34.93000030517578,2014-12-30
34.25,2014-12-31
34.66999816894531,2015-01-02
33.91999816894531,2015-01-05
33.65999984741211,2015-01-06
34.0099983215332,2015-01-07
34.75,2015-01-08
34.650001525878906,2015-01-09
34.5,2015-01-12
34.09000015258789,2015-01-13
33.7599983215332,2015-01-14
33.2400016784668,2015-01-15
33.09000015258789,2015-01-16
32.95000076293945,2015-01-20
32.63999938964844,2015-01-21
33.11000061035156,2015-01-22
32.95000076293945,2015-01-23
33.27000045776367,2015-01-26
33.22999954223633,2015-01-27
32.720001220703125,2015-01-28
32.9900016784668,2015-01-29
32.34000015258789,2015-01-30
32.56999969482422,2015-02-02
33.68000030517578,2015-02-03
33.7400016784668,2015-02-04
34.779998779296875,2015-02-05
33.91999816894531,2015-02-06
34.029998779296875,2015-02-09
34.599998474121094,2015-02-10
34.720001220703125,2015-02-11
35.130001068115234,2015-02-12
34.959999084472656,2015-02-13
34.77000045776367,2015-02-17
35.0,2015-02-18
34.560001373291016,2015-02-19
34.7599983215332,2015-02-20
34.88999938964844,2015-02-23
34.66999816894531,2015-02-24
34.779998779296875,2015-02-25
34.459999084472656,2015-02-26
34.2599983215332,2015-02-27
34.810001373291016,2015-03-02
34.47999954223633,2015-03-03
34.209999084472656,2015-03-04
34.529998779296875,2015-03-05
34.65999984741211,2015-03-06
34.869998931884766,2015-03-09
34.119998931884766,2015-03-10
34.13999938964844,2015-03-11
34.9900016784668,2015-03-12
34.540000915527344,2015-03-13
35.0099983215332,2015-03-16
34.93000030517578,2015-03-17
35.810001373291016,2015-03-18
35.7400016784668,2015-03-19
36.790000915527344,2015-03-20
36.58000183105469,2015-03-23
36.060001373291016,2015-03-24
35.4900016784668,2015-03-25
35.650001525878906,2015-03-26
35.93000030517578,2015-03-27
36.40999984741211,2015-03-30
38.709999084472656,2015-03-31
38.83000183105469,2015-04-01
38.88999938964844,2015-04-02
38.91999816894531,2015-04-06
38.349998474121094,2015-04-07
38.43000030517578,2015-04-08
38.650001525878906,2015-04-09
38.5099983215332,2015-04-10
38.58000183105469,2015-04-13
38.31999969482422,2015-04-14
38.40999984741211,2015-04-15
38.880001068115234,2015-04-16
38.41999816894531,2015-04-17
38.540000915527344,2015-04-20
38.33000183105469,2015-04-21
38.33000183105469,2015-04-22
38.22999954223633,2015-04-23
38.4900016784668,2015-04-24
38.36000061035156,2015-04-27
38.65999984741211,2015-04-28
38.59000015258789,2015-04-29
