CB,Date
22.19466781616211,2001-10-25
23.04106330871582,2001-10-26
22.94701385498047,2001-10-29
23.07868194580078,2001-10-30
22.100610733032227,2001-10-31
23.49247169494629,2001-11-01
24.031673431396484,2001-11-02
25.084989547729492,2001-11-05
25.05364990234375,2001-11-06
25.02228546142578,2001-11-07
24.044214248657227,2001-11-08
23.07868194580078,2001-11-09
23.13510513305664,2001-11-12
23.072418212890625,2001-11-13
22.82162094116211,2001-11-14
22.82162094116211,2001-11-15
23.354551315307617,2001-11-16
24.075565338134766,2001-11-19
23.975250244140625,2001-11-20
24.389057159423828,2001-11-21
23.968978881835938,2001-11-23
23.918825149536133,2001-11-26
24.19468116760254,2001-11-27
23.573999404907227,2001-11-28
24.31381607055664,2001-11-29
23.887466430664062,2001-11-30
24.106908798217773,2001-12-03
24.664913177490234,2001-12-04
24.45174217224121,2001-12-05
24.4392032623291,2001-12-06
24.45174217224121,2001-12-07
23.950166702270508,2001-12-10
23.699373245239258,2001-12-11
23.511293411254883,2001-12-12
23.273048400878906,2001-12-13
23.511293411254883,2001-12-14
23.7620849609375,2001-12-17
24.012874603271484,2001-12-18
24.2323055267334,2001-12-19
24.106908798217773,2001-12-20
24.33262062072754,2001-12-21
24.345165252685547,2001-12-24
25.047378540039062,2001-12-26
25.1480712890625,2001-12-27
25.343149185180664,2001-12-28
25.267635345458984,2001-12-31
24.839689254760742,2002-01-02
24.550189971923828,2002-01-03
24.22922706604004,2002-01-04
23.977493286132812,2002-01-07
23.738351821899414,2002-01-08
24.1977596282959,2002-01-09
23.901973724365234,2002-01-10
23.914566040039062,2002-01-11
22.813249588012695,2002-01-14
23.385929107666016,2002-01-15
23.064979553222656,2002-01-16
22.215373992919922,2002-01-17
22.5740966796875,2002-01-18
22.385303497314453,2002-01-22
22.152442932128906,2002-01-23
23.25377082824707,2002-01-24
23.851642608642578,2002-01-25
24.00897216796875,2002-01-28
24.1977596282959,2002-01-29
24.059314727783203,2002-01-30
24.449504852294922,2002-01-31
24.581668853759766,2002-02-01
24.31104850769043,2002-02-04
24.235517501831055,2002-02-05
24.103376388549805,2002-02-06
24.518728256225586,2002-02-07
24.386564254760742,2002-02-08
24.827091217041016,2002-02-11
25.273927688598633,2002-02-12
27.69055938720703,2002-02-13
27.684261322021484,2002-02-14
27.187095642089844,2002-02-15
26.41932487487793,2002-02-19
26.74655532836914,2002-02-20
26.3186092376709,2002-02-21
26.406721115112305,2002-02-22
26.75913429260254,2002-02-25
27.287778854370117,2002-02-26
27.847888946533203,2002-02-27
27.62763023376465,2002-02-28
27.061222076416016,2002-03-01
27.161914825439453,2002-03-04
27.62763023376465,2002-03-05
27.93599510192871,2002-03-06
27.130434036254883,2002-03-07
26.54517364501953,2002-03-08
26.620691299438477,2002-03-11
26.49482536315918,2002-03-12
26.4759464263916,2002-03-13
27.375892639160156,2002-03-14
27.375892639160156,2002-03-15
26.526302337646484,2002-03-18
